Organisational Unit,Payment Date,Amount,Benificiary Name
PLACE,2017-07-24,2000.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-07-03,7500.00,EMMAUS SHEFFIELD LTD
RESOURCES,2017-07-03,1445.55,SINTONS SOLICITORS
RESOURCES,2017-07-03,770.00,INFORMATION COMMISSIONER
RESOURCES,2017-07-03,6000.00,THOMPSONS CLIENT ACCOUNT
COMMUNITIES,2017-07-03,375.00,TAPTON ESTATES PROPERTIES LTD
COMMUNITIES,2017-07-03,390.00,MU PROPERTIES
COMMUNITIES,2017-07-03,410.00,MR R L WILLEY
COMMUNITIES,2017-07-03,336.61,ARCHES HOUSING LIMITED
PLACE,2017-07-03,5391.00,BRADFORD COUNCIL (HOUSING)
CYPF,2017-07-03,349.60,REDACTED PERSONAL DATA
COMMUNITIES,2017-07-03,500.00,MANOR LIBRARY FRIENDSHIP CIRCLE
COMMUNITIES,2017-07-03,1380.00,RUBIES LTD
COMMUNITIES,2017-07-03,1035.00,PHILLIMORE PARK COMMUNITY ASSOCIATION
CYPF,2017-07-03,1800.00,SOAR
COMMUNITIES,2017-07-03,297.00,METROPOLITAN
CYPF,2017-07-03,2490.00,HEELEY DEVELOPMENT TRUST
COMMUNITIES,2017-07-03,590.00,DEAFBLIND UK
COMMUNITIES,2017-07-03,842.25,DEAFBLIND UK
COMMUNITIES,2017-07-03,842.25,DEAFBLIND UK
CYPF,2017-07-03,2159.52,GIRAFFE LEARNING (E YOXALL T/AS)
CYPF,2017-07-03,340.00,STEELGRAM FABRICATIONS LTD
CYPF,2017-07-03,267.75,OPTIMUM HOLDINGS LIMITED
PLACE,2017-07-03,330.91,SRCL LTD
PLACE,2017-07-03,995.00,BARBER OF SHEFFIELD LIMITED
CYPF,2017-07-03,352.00,POLYPLAS ENGINEERING LTD
COMMUNITIES,2017-07-03,549.08,INTERSERVE FS (UK) LTD
CYPF,2017-07-03,1584.00,ADVANCED PLASTERING (MR C A SMITH T/A)
PLACE,2017-07-03,6319.00,WSP UK LTD
CYPF,2017-07-03,1500.00,SHEFFIELD LEP LTD
CYPF,2017-07-03,2940.00,SHEFFIELD LEP LTD
CYPF,2017-07-03,123023.58,SHEFFIELD LEP LTD
CYPF,2017-07-03,3149.00,LANDMARKS
CYPF,2017-07-03,675.00,MASTERCARE
COMMUNITIES,2017-07-03,2375.00,VIEWPOINT RESEARCH COMMUNITY INTEREST CO
CYPF,2017-07-03,1938.00,PHILIP HODGSON FINE JOINERY
PLACE,2017-07-03,6803.00,LEEDS CITY COUNCIL
CYPF,2017-07-03,8937.50,THE DARTINGTON HALL TRUST
PLACE,2017-07-03,480.00,JOHN HEATH & SONS
PLACE,2017-07-03,769.50,CHEMSOL LTD
PLACE,2017-07-03,611.02,CHEMSOL LTD
PLACE,2017-07-03,266.64,CHEMSOL LTD
COMMUNITIES,2017-07-03,16070.70,METROPOLITAN
COMMUNITIES,2017-07-03,16581.11,METROPOLITAN
CYPF,2017-07-03,1720.61,STOCKPORT PSYCHOLOGY SERVICES LIMITED
CYPF,2017-07-03,853.90,CARTER BROWN
PLACE,2017-07-03,1940.00,NATIONWIDE DATA COLLECTION
CYPF,2017-07-03,285.00,R J WOOD
PLACE,2017-07-03,2109.80,BROXAP LTD
CYPF,2017-07-03,1635.00,CONSILIENT CONSULTING LTD
CYPF,2017-07-03,1635.00,CONSILIENT CONSULTING LTD
CYPF,2017-07-03,361.25,FORENSIC TESTING SERVICE LTD
CYPF,2017-07-03,516.00,BAXTER STOREY LTD
CYPF,2017-07-03,941.50,SHEFFIELD ASSOCIATION FOR THE VOLUNTARY
CYPF,2017-07-03,700.56,7 HILLS LEISURE TRUST
RESOURCES,2017-07-03,656.80,ST MARY'S (CONFERENCE & CATERING) LTD
RESOURCES,2017-07-03,439.99,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-07-03,345.71,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-07-03,345.71,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-07-03,947.72,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-07-03,345.71,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-07-03,597.13,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-07-03,377.14,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-07-03,659.99,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-07-03,345.71,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-07-03,251.42,SHEFFIELD NEWSPAPERS LTD
PLACE,2017-07-03,1224.69,ARGENT CATERING SOLUTIONS LIMITED
RESOURCES,2017-07-03,5670.29,ARGENT CATERING SOLUTIONS LIMITED
RESOURCES,2017-07-03,439.99,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-07-03,906.75,EASTWICK ENGINEERING SERVICES
RESOURCES,2017-07-03,307.75,EASTWICK ENGINEERING SERVICES
COMMUNITIES,2017-07-03,3682.00,VIGIL SECURITY SYSTEMS LTD
COMMUNITIES,2017-07-03,3182.00,VIGIL SECURITY SYSTEMS LTD
COMMUNITIES,2017-07-03,3501.00,VIGIL SECURITY SYSTEMS LTD
RESOURCES,2017-07-03,300.00,PROFORCE SECURITY SERVICES LIMITED
RESOURCES,2017-07-03,300.00,PROFORCE SECURITY SERVICES LIMITED
PLACE,2017-07-03,594.00,DRONFIELD TREE SERVICES LTD
CYPF,2017-07-03,656.26,STOCKPORT PSYCHOLOGY SERVICES LIMITED
COMMUNITIES,2017-07-03,410.00,REGIONAL PUBLICATIONS LIMITED
CYPF,2017-07-03,560.00,IBK INITIATIVES
CYPF,2017-07-03,829.09,THE RIVA CLUB
COMMUNITIES,2017-07-03,450.00,HOMELESS LINK
POLICY PERFORMANCE AND COMMS,2017-07-03,3400.00,ASSOC OF DIRECTORS OF PUBLIC HEALTH
RESOURCES,2017-07-03,350.00,TOTALJOBS GROUP LIMITED
RESOURCES,2017-07-03,1500.00,HB EDITORIAL SERVICES LTD
PLACE,2017-07-03,444.60,AMP TECHNOLOGY CENTRE
PLACE,2017-07-03,815.00,WHITTAKERS GROUND CARE
PLACE,2017-07-03,400.00,WHITTAKERS GROUND CARE
COMMUNITIES,2017-07-03,2943.36,DIMENSIONS (UK) LTD (SP)
COMMUNITIES,2017-07-03,126643.00,GUINNESS PARTNERSHIP LTD (SP)
COMMUNITIES,2017-07-03,8109.90,DIMENSIONS (UK) LTD (SP)
COMMUNITIES,2017-07-03,5644.80,DIMENSIONS (UK) LTD (SP)
CYPF,2017-07-03,16783.07,MEDINA CAPITAL DAIRY CO LTD
CYPF,2017-07-03,3784.12,LINKAGE COMMUNITY TRUST
RESOURCES,2017-07-03,257.00,YESSS (B) ELECTRICAL LTD
RESOURCES,2017-07-03,363.50,YESSS (B) ELECTRICAL LTD
RESOURCES,2017-07-03,877.50,ASK4 BUSINESS LTD
RESOURCES,2017-07-03,877.50,ASK4 BUSINESS LTD
RESOURCES,2017-07-03,4697.60,JOHNSON STARLEY LTD
PLACE,2017-07-03,437.42,FIELD HOSPITALITY T/A LEOPOLD HOTEL
RESOURCES,2017-07-03,383.25,THE TILE PLACE (DRONFIELD) LTD
CYPF,2017-07-03,3686.13,CLEAPSS
CYPF,2017-07-03,256.00,CITY & GUILDS
CYPF,2017-07-03,2236.15,SEVEN HILLS SCHOOL
CYPF,2017-07-03,720.00,ONBOARD SHEFFIELD SKATEPARK
CYPF,2017-07-03,480.00,ONBOARD SHEFFIELD SKATEPARK
RESOURCES,2017-07-03,2119.91,JEWSON LTD
RESOURCES,2017-07-03,641.20,JEWSON LTD
RESOURCES,2017-07-03,1680.20,JEWSON LTD
RESOURCES,2017-07-03,802.00,ARNOLD LAVER & CO LTD
RESOURCES,2017-07-03,266.00,RUSSELL RICHARDSON & SONS LIMITED
RESOURCES,2017-07-03,7169.01,INDEPENDENT CONTRACTOR SECURITY LTD
RESOURCES,2017-07-03,20632.64,ARGENT CATERING SOLUTIONS LIMITED
PLACE,2017-07-03,6628.36,ARGENT CATERING SOLUTIONS LIMITED
RESOURCES,2017-07-03,4369.98,CYCLESCHEME LTD
RESOURCES,2017-07-03,143925.70,CORDANT CLEANING LIMITED
PLACE,2017-07-03,51473.09,DSM DEMOLITION LTD
