Organisational Unit,Payment Date,Amount,Benificiary Name
COMMUNITIES,2017-05-01,1260.00,DR LESZEK PABJAN INDEPENDENT PSYCHIATRIS
COMMUNITIES,2017-05-01,510.00,DR LESZEK PABJAN INDEPENDENT PSYCHIATRIS
COMMUNITIES,2017-05-01,984.85,DR T AWANI  C/O CAJUSTRAND CONSULTING
COMMUNITIES,2017-05-01,1661.36,GAUTAM BAL
COMMUNITIES,2017-05-01,690.00,SJT PLATINUM LTD
COMMUNITIES,2017-05-01,747.25,SHIVA HEALTH LTD
COMMUNITIES,2017-05-01,670.94,SHIVA HEALTH LTD
CYPF,2017-05-01,1946.68,JANE HAYWOOD
CYPF,2017-05-01,531.34,REDACTED PERSONAL DATA
PLACE,2017-05-01,4883.89,THYSSENKRUPP ENCASA
PLACE,2017-05-01,3619.74,THYSSENKRUPP ENCASA
PLACE,2017-05-01,5820.00,ROGER SELBY BUILDING & PLUMBING CONTRACT
PLACE,2017-05-01,4055.00,BANCROFT PLUMBING & HEATING LTD
PLACE,2017-05-01,5232.32,ELITE WETROOMS
CYPF,2017-05-01,635.28,REDACTED PERSONAL DATA
RESOURCES,2017-05-02,35448.90,DEPARTMENT FOR WORK & PENSIONS
CYPF,2017-05-02,900.00,REDACTED PERSONAL DATA
CYPF,2017-05-02,397.45,REDACTED PERSONAL DATA
CYPF,2017-05-02,740.00,SUNSHINE DAY NURSERY
CYPF,2017-05-02,480.00,BIRLEY COMMUNITY PRE-SCHOOL
CYPF,2017-05-02,864.00,MANOR COMMUNITY CHILDCARE CENTRE
CYPF,2017-05-02,520.00,KELHAM ISLAND COMMUNITY CHILDCARE
CYPF,2017-05-02,480.00,HYDRA TOTS PRIVATE DAY NURSERY
CYPF,2017-05-02,1440.00,LITTLE IMP PRE-SCHOOL
CYPF,2017-05-02,480.00,THE SHEFFIELD COLLEGE
RESOURCES,2017-05-02,1000.00,STEVE FAULKNER LTD
COMMUNITIES,2017-05-02,500.00,HOWELLS SOLICITORS LLP
RESOURCES,2017-05-02,1229.15,REDACTED PERSONAL DATA
RESOURCES,2017-05-02,4814.72,WNS ASSISTANCE
COMMUNITIES,2017-05-02,400.00,HM COURTS & TRIBUNALS SERVICE
RESOURCES,2017-05-02,1080.00,ENTERPRISE RENT A CAR UK LTD
RESOURCES,2017-05-02,1961.53,GALLAGHER BASSETT
CYPF,2017-05-02,400.00,REDACTED PERSONAL DATA
RESOURCES,2017-05-02,5364.72,CARTWRIGHT KING
PLACE,2017-05-02,2000.00,FRIENDS OF CROOKESMOOR PARKS
CYPF,2017-05-02,4170.00,TAYLOR SHAW LTD
PLACE,2017-05-02,1530.00,EDEN BROWN LTD
PLACE,2017-05-02,1530.00,EDEN BROWN LTD
PLACE,2017-05-02,1520.00,EDEN BROWN LTD
PLACE,2017-05-02,1510.00,EDEN BROWN LTD
RESOURCES,2017-05-02,560.00,ST MARY'S (CONFERENCE & CATERING) LTD
RESOURCES,2017-05-02,872.00,VOLUNTARY ACTION SHEFFIELD
PLACE,2017-05-02,250.80,D M GOULD WHOLESALE LIMITED
RESOURCES,2017-05-02,947.72,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-05-02,690.37,TIMES EDUCATIONAL SUPPLEMENT
RESOURCES,2017-05-02,690.37,TIMES EDUCATIONAL SUPPLEMENT
CYPF,2017-05-02,4674.80,BARNSLEY CATERING SERVICES LTD
RESOURCES,2017-05-02,380.00,JOHN MICHAEL TURNER T/A J T SKIPS
COMMUNITIES,2017-05-02,292.00,SHEFFIELD CREDIT UNION
RESOURCES,2017-05-02,7750.00,SHARROW COMMUNITY FORUM
PLACE,2017-05-02,1086.00,DIAMOND BUSINESS INTERIORS LTD
PLACE,2017-05-02,513.79,1 UP ACCESS LTD
PLACE,2017-05-02,1530.00,EDEN BROWN LTD
PLACE,2017-05-02,16068.42,SIG TRADING LTD
PLACE,2017-05-02,1514.92,SIG TRADING LTD
COMMUNITIES,2017-05-02,549.08,INTERSERVE FS (UK) LTD
COMMUNITIES,2017-05-02,262.00,ARROW COUNTY SUPPLIES
PLACE,2017-05-02,300.00,WATERSTONES
PLACE,2017-05-02,287.50,IMPERIAL SIGNS LTD
PLACE,2017-05-02,1000.00,CERQL
COMMUNITIES,2017-05-02,1971.25,VIEWPOINT RESEARCH COMMUNITY INTEREST CO
RESOURCES,2017-05-02,408.56,SHEFFIELD NEWSPAPERS LTD
CYPF,2017-05-02,17920.14,MEDINA CAPITAL DAIRY CO LTD
PLACE,2017-05-02,19058.16,SIG TRADING LTD
PLACE,2017-05-02,1280.00,EDEN BROWN LTD
COMMUNITIES,2017-05-02,1045.00,SHEFFIELD CO-OPERATIVE FUNERALCARE
CYPF,2017-05-02,927.33,MEDINA CAPITAL DAIRY CO LTD
PLACE,2017-05-02,10052.89,SIG TRADING LTD
CYPF,2017-05-02,4280.89,DIAL A CAB
RESOURCES,2017-05-02,6664.50,DIAL A CAB
CYPF,2017-05-02,5939.05,DIAL A CAB
CYPF,2017-05-02,24000.00,DIAL A CAB
RESOURCES,2017-05-02,1889.60,CARLTON FUELS
RESOURCES,2017-05-02,472.40,CARLTON FUELS
COMMUNITIES,2017-05-02,532.00,ELITE SECURITY SYSTEMS
COMMUNITIES,2017-05-02,650.00,HQN LTD
RESOURCES,2017-05-02,1458.03,SHEFFIELD NEWSPAPERS LTD
CYPF,2017-05-02,1365.00,MYLNHURST SCHOOL AND NURSERY
CYPF,2017-05-02,940.00,MYLNHURST SCHOOL AND NURSERY
CYPF,2017-05-02,885.00,MYLNHURST SCHOOL AND NURSERY
POLICY PERFORMANCE AND COMMS,2017-05-02,398.00,CVC EVENT SERVICES LTD
RESOURCES,2017-05-02,345.71,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-05-02,691.42,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-05-02,471.42,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-05-02,502.85,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-05-02,471.42,SHEFFIELD NEWSPAPERS LTD
CYPF,2017-05-02,24294.75,NORTHERN TAXIS LIMITED
CYPF,2017-05-02,12857.50,NORTHERN TAXIS LIMITED
RESOURCES,2017-05-02,345.71,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-05-02,408.56,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-05-02,439.99,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-05-02,377.14,SHEFFIELD NEWSPAPERS LTD
CYPF,2017-05-02,900.00,REDACTED PERSONAL DATA
CYPF,2017-05-02,600.00,REDACTED PERSONAL DATA
CYPF,2017-05-02,600.00,NICOLA QUINNEY
CYPF,2017-05-02,600.00,NICOLA QUINNEY
CYPF,2017-05-02,600.00,NICOLA QUINNEY
CYPF,2017-05-02,600.00,JUSTINE COLE
RESOURCES,2017-05-02,273.60,MICROSOFT IRELAND OPERATIONS LTD
RESOURCES,2017-05-02,5000.00,APTAKER & PARTNERS
RESOURCES,2017-05-02,3364.76,APTAKER & PARTNERS
RESOURCES,2017-05-02,5000.00,APTAKER & PARTNERS
RESOURCES,2017-05-02,2602.34,APTAKER & PARTNERS
RESOURCES,2017-05-02,4095.50,TRAVELLERS TAXIS
RESOURCES,2017-05-02,874.82,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2017-05-02,40834.57,BLACKWALL GREEN
CYPF,2017-05-02,4256.70,DRONFIELD HENRY FANSHAWE SCHOOL
CYPF,2017-05-02,949.00,BETHANY SCHOOL
CYPF,2017-05-02,427.00,BETHANY SCHOOL
CYPF,2017-05-02,704.00,BETHANY SCHOOL
CYPF,2017-05-02,2035.81,DRONFIELD HENRY FANSHAWE SCHOOL
CYPF,2017-05-02,2444.17,STEPHEN BROWN
CYPF,2017-05-02,600.00,REDACTED PERSONAL DATA
CYPF,2017-05-02,600.00,REDACTED PERSONAL DATA
CYPF,2017-05-02,300.00,REDACTED PERSONAL DATA
CYPF,2017-05-02,600.00,FIONA WALKER
CYPF,2017-05-02,600.00,FIONA WALKER
PLACE,2017-05-02,4750.00,NABARRO LLP
RESOURCES,2017-05-02,4806.54,CARLTON FUELS
COMMUNITIES,2017-05-02,1269.00,SHEFFIELD CO-OPERATIVE FUNERALCARE
RESOURCES,2017-05-02,143925.70,CORDANT CLEANING LIMITED
PLACE,2017-05-02,639.00,BSI
CYPF,2017-05-02,850.20,J L HARPHAM LTD
RESOURCES,2017-05-02,1080.00,JOHN MICHAEL TURNER T/A J T SKIPS
PLACE,2017-05-02,885.21,CERTAS ENERGY UK LTD
PLACE,2017-05-02,4610.00,FORWARD ENVIRONMENTAL LIMITED
PLACE,2017-05-02,1397.10,CERTAS ENERGY UK LTD
RESOURCES,2017-05-02,1507.50,GALLAGHER BASSETT
RESOURCES,2017-05-02,4235.00,GRIFFITHS & ARMOUR INSURANCE BROKERS LTD
RESOURCES,2017-05-02,2948.00,GRIFFITHS & ARMOUR INSURANCE BROKERS LTD
RESOURCES,2017-05-02,8441.18,SCHOOLS ADVISORY SERVICE
RESOURCES,2017-05-02,9900.00,GRIFFITHS & ARMOUR INSURANCE BROKERS LTD
RESOURCES,2017-05-02,6600.00,GRIFFITHS & ARMOUR INSURANCE BROKERS LTD
RESOURCES,2017-05-02,22000.00,GRIFFITHS & ARMOUR INSURANCE BROKERS LTD
RESOURCES,2017-05-02,1567.50,GRIFFITHS & ARMOUR INSURANCE BROKERS LTD
RESOURCES,2017-05-02,23536.58,GRIFFITHS & ARMOUR INSURANCE BROKERS LTD
RESOURCES,2017-05-02,22000.00,GRIFFITHS & ARMOUR INSURANCE BROKERS LTD
PLACE,2017-05-02,845.14,ARGO FEEDS LTD
PLACE,2017-05-02,990.15,D M GOULD WHOLESALE LIMITED
