Organisational Unit,Payment Date,Amount,Benificiary Name
COMMUNITIES,2016-08-01,279.11,MR RAKESH CHAUHAN
PLACE,2016-08-01,69991.00,WOSSKOW BROWN SOLICITORS
PLACE,2016-08-01,60000.00,THORPE AND CO SOLICITORS
CYPF,2016-08-01,1440.00,ANDREW HERBERT LTD
CYPF,2016-08-01,720.00,ANDREW HERBERT LTD
RESOURCES,2016-08-01,3050.00,ACCOUNTANT GENERAL OF THE SENIOR COURTS
RESOURCES,2016-08-01,2632.00,KH INJURY LAWYERS
RESOURCES,2016-08-01,5421.28,O H PARSONS & PARTNERS CLIENT ACCOUNT
CYPF,2016-08-01,285.90,R J WOOD
CYPF,2016-08-01,650.00,ROMA SUPPORT GROUP
CYPF,2016-08-01,598.90,KING EDWARD SWIMMING POOL TRUST
PLACE,2016-08-01,270.00,M WHITE LTD
POLICY PERFORMANCE AND COMMS,2016-08-01,3722.63,DAVID A GRAHAM ASSOCIATES LIMITED
CYPF,2016-08-01,450.00,QUALSURV INTERNATIONAL LTD
RESOURCES,2016-08-01,4990.00,QUALSURV INTERNATIONAL LTD
PLACE,2016-08-01,3480.00,AMK FENCE-IN  LTD
CYPF,2016-08-01,296.04,ADT FIRE & SECURITY PLC
CA LEP,2016-08-01,15800.00,CARRIER RAIL CONSULTING LTD
CYPF,2016-08-01,850.00,DO THE WRITE THING LTD
CYPF,2016-08-01,5205.00,LANGUAGELINE SOLUTIONS
RESOURCES,2016-08-01,138807.34,CORDANT CLEANING LIMITED
POLICY PERFORMANCE AND COMMS,2016-08-01,1080.00,CHESHIRE WOODLANDS LIMITED
POLICY PERFORMANCE AND COMMS,2016-08-01,1080.00,CHESHIRE WOODLANDS LIMITED
CYPF,2016-08-01,2940.00,LINBURG TOURING LTD
COMMUNITIES,2016-08-01,1070.00,BADENOCH AND CLARK LTD
CYPF,2016-08-01,255.00,R J WOOD
CYPF,2016-08-01,600.00,LOUISE STANBURY
PLACE,2016-08-01,3400.00,CYCLE EXPERIENCE LTD (PART OF TTC GR
PLACE,2016-08-01,255.66,RIJO 42 INGREDIENTS LTD
RESOURCES,2016-08-01,51709.00,KPMG
CYPF,2016-08-01,1375.00,ASHLEY TRAVEL LTD
CYPF,2016-08-01,975.00,QUALSURV INTERNATIONAL LTD
PLACE,2016-08-01,1000.00,AAA 1ST CALL
RESOURCES,2016-08-01,2781.50,QUALSURV INTERNATIONAL LTD
RESOURCES,2016-08-01,7677.60,CYCLESCHEME LTD
CYPF,2016-08-01,316.80,HOUSEMARTIN INTERIORS
CYPF,2016-08-01,912.00,ACTIVE COMMUNITY TRUST T/A
PLACE,2016-08-01,689.50,STREETMASTER (SOUTH WALES) LTD
CYPF,2016-08-01,2249.00,DERBYSHIRE COMMUNITY HEALTH SERVICES
CYPF,2016-08-01,268.00,DERBYSHIRE COMMUNITY HEALTH SERVICES
CYPF,2016-08-01,352.00,FORENSIC TESTING SERVICE LTD
CYPF,2016-08-01,600.00,MRS K E HAYES
CYPF,2016-08-01,600.00,FIONA WALKER
PLACE,2016-08-01,773.00,NORTHERN POWERGRID (YORKSHIRE) PLC
RESOURCES,2016-08-01,306.40,SHEFFIELD NEWSPAPERS LTD
PLACE,2016-08-01,1105.00,HN WOODLAND & ESTATE MANAGEMENT
CYPF,2016-08-01,1260.78,NPOWER NORTHERN LTD
CYPF,2016-08-01,464.13,NPOWER NORTHERN LTD
COMMUNITIES,2016-08-01,386.11,BRITISH GAS
CYPF,2016-08-01,260.07,BRITISH TELECOMMUNICATIONS PLC
COMMUNITIES,2016-08-01,300.02,REDACTED PERSONAL DATA
COMMUNITIES,2016-08-01,300.02,REDACTED PERSONAL DATA
COMMUNITIES,2016-08-01,557.18,REDACTED PERSONAL DATA
COMMUNITIES,2016-08-01,685.76,REDACTED PERSONAL DATA
COMMUNITIES,2016-08-01,9085.44,REDACTED PERSONAL DATA
CYPF,2016-08-01,17560.34,THE NATIONAL AUTISTIC SOCIETY
CYPF,2016-08-01,20578.00,THE NATIONAL AUTISTIC SOCIETY
CYPF,2016-08-01,12061.16,THE NATIONAL AUTISTIC SOCIETY
CYPF,2016-08-01,12061.16,THE NATIONAL AUTISTIC SOCIETY
CYPF,2016-08-01,23364.00,THE NATIONAL AUTISTIC SOCIETY
CYPF,2016-08-01,17560.43,THE NATIONAL AUTISTIC SOCIETY
CYPF,2016-08-01,23364.00,THE NATIONAL AUTISTIC SOCIETY
CYPF,2016-08-01,17560.33,THE NATIONAL AUTISTIC SOCIETY
CYPF,2016-08-01,17792.34,THE NATIONAL AUTISTIC SOCIETY
CYPF,2016-08-01,37625.00,WINGS EDUCATION LTD
CYPF,2016-08-01,8776.50,WINGS EDUCATION LTD
CYPF,2016-08-01,19928.57,THE HESLEY GROUP
CYPF,2016-08-01,2400.00,REDACTED PERSONAL DATA
