Organisational Unit,Payment Date,Amount,Benificiary Name
CYPF,2016-07-08,1439.20,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-22,811.00,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-29,811.00,REDACTED PERSONAL DATA
PLACE,2016-07-01,2125.00,OUGHTIBRIDGE PRIMARY SCHOOL
CYPF,2016-07-01,260.00,ROMA SUPPORT GROUP
COMMUNITIES,2016-07-01,500.00,FRIENDS OF TANNERY PARK
PLACE,2016-07-01,672.00,REDACTED PERSONAL DATA
CYPF,2016-07-01,400.00,REDACTED PERSONAL DATA
PLACE,2016-07-01,510.00,DAVID JACKSON
CYPF,2016-07-01,4750.00,WORCESTERSHIRE COUNTY COUNCIL
PLACE,2016-07-01,12000.00,PUBLIC SCULPTURE LIMITED
CYPF,2016-07-01,1901.00,QUALSURV INTERNATIONAL LTD
PLACE,2016-07-01,300.00,FOUNDATION
PLACE,2016-07-01,576.00,CLARITY TRAVEL MANAGEMENT
RESOURCES,2016-07-01,924.20,VEOLIA ES (UK) LIMITED
PLACE,2016-07-01,500057.00,TURNER & TOWNSEND
PLACE,2016-07-01,7150.00,AVANTI STEEL FABRICATIONS
PLACE,2016-07-01,46686.00,TURNER & TOWNSEND
PLACE,2016-07-01,592.50,CARLTON FUELS
CYPF,2016-07-01,2550.00,DO THE WRITE THING LTD
CYPF,2016-07-01,1785.00,FLOWER ESTATE FAMILY ACTION (GROUP A/C)
POLICY PERFORMANCE AND COMMS,2016-07-01,328.00,THE PRINT AND DESIGN FACTORY LTD
PLACE,2016-07-01,396.00,MR DAVID PARAMORE
CYPF,2016-07-01,920.00,REDACTED PERSONAL DATA
CYPF,2016-07-01,17266.40,NORTH YORKSHIRE COUNTY COUNCIL
CYPF,2016-07-01,399.00,MANOR TRAINING & RESOURCE CENTRE LTD
CYPF,2016-07-01,399.00,MANOR TRAINING & RESOURCE CENTRE LTD
CYPF,2016-07-01,271.00,MANOR TRAINING & RESOURCE CENTRE LTD
CYPF,2016-07-01,271.00,MANOR TRAINING & RESOURCE CENTRE LTD
CYPF,2016-07-01,395.00,HEELEY DEVELOPMENT TRUST
CYPF,2016-07-01,929.99,JIGSAW SYSTEMS LTD
CYPF,2016-07-01,732.50,HEELEY DEVELOPMENT TRUST
CYPF,2016-07-01,850.00,DO THE WRITE THING LTD
COMMUNITIES,2016-07-01,10230.00,BADENOCH AND CLARK LTD
COMMUNITIES,2016-07-01,354.00,MOONLIGHT TEXTILES LTD
CYPF,2016-07-01,350.00,DODS PARLIAMENTARY COMMUNICATIONS LTD
CYPF,2016-07-01,465.00,CITY & GUILDS
CYPF,2016-07-01,4530.51,CONSILIENT CONSULTING LTD
COMMUNITIES,2016-07-01,511.00,MR H S CUTTS NEIL CONSTRUCTION
COMMUNITIES,2016-07-01,274.00,MR H S CUTTS NEIL CONSTRUCTION
CYPF,2016-07-01,331.20,PEARSON EDUCATION LTD
CYPF,2016-07-01,278.10,CITB(CONSTRUCTION IND TRAINING BOARD)
POLICY PERFORMANCE AND COMMS,2016-07-01,500.00,DARNALL COMMUNITY DEV CENTRE
CA LEP,2016-07-01,708.86,REED EMPLOYMENT
RESOURCES,2016-07-01,20000.00,PRICEWATERHOUSE COOPERS
PLACE,2016-07-01,6466.40,NOTTS SPORT LTD
CYPF,2016-07-01,623.00,RAPID RACKING LTD
CYPF,2016-07-01,300.00,SILVER FOX TRAINING LTD
CYPF,2016-07-01,321.75,BEAUTIFUL YOU
CYPF,2016-07-01,321.75,BEAUTIFUL YOU
CYPF,2016-07-01,541.67,AMG SERVICES
CYPF,2016-07-01,600.00,REDACTED PERSONAL DATA
PLACE,2016-07-01,875.00,UK FOREST CERTIFICATION GROUP
PLACE,2016-07-01,730.00,TALURIT UK LTD
PLACE,2016-07-01,498.00,BROADFIELD MOWERS LTD
PLACE,2016-07-01,1600.00,GIFFORDS
COMMUNITIES,2016-07-01,1140.00,BADENOCH AND CLARK LTD
CYPF,2016-07-01,454.30,FORENSIC TESTING SERVICE LTD
CYPF,2016-07-01,312.50,REACH OUT CHILD CARE SERVICES LTD
CYPF,2016-07-01,374.00,FORENSIC TESTING SERVICE LTD
CYPF,2016-07-01,675.00,REACHOUT CHILDCARE SERVICES LTD
PLACE,2016-07-01,400.98,ARGO FEEDS LTD
RESOURCES,2016-07-01,5403.45,CONSTANT SECURITY SERVICES LIMITED
CYPF,2016-07-01,2830.97,PROTOCOL NATIONAL LTD
CYPF,2016-07-01,778.00,DNA WORLDWIDE LTD
RESOURCES,2016-07-01,2512.50,NO 5 CHAMBERS LTD (COLLECTION ACC)
PLACE,2016-07-01,3334.47,BERRY MARKETING SERVICES LTD
CYPF,2016-07-01,403.50,FORENSIC TESTING SERVICE LTD
CYPF,2016-07-01,415.85,FORENSIC TESTING SERVICE LTD
CYPF,2016-07-01,577.40,CARTER BROWN
CYPF,2016-07-01,2956.05,SOVA
COMMUNITIES,2016-07-01,5054.35,TROWERS & HAMLINS LLP
PLACE,2016-07-01,799.00,ARI ENVIRONMENTAL SERVICES LTD
CYPF,2016-07-01,600.00,REDACTED PERSONAL DATA
CYPF,2016-07-01,600.00,MISS A HICKINBOTTOM
CYPF,2016-07-01,600.00,REDACTED PERSONAL DATA
CYPF,2016-07-01,1500.00,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-01,717.92,BRITISH TELECOMMUNICATIONS PLC
COMMUNITIES,2016-07-01,988.18,NPOWER NORTHERN LTD
POLICY PERFORMANCE AND COMMS,2016-07-01,6632.55,ROYAL MAIL GROUP LTD
POLICY PERFORMANCE AND COMMS,2016-07-01,4771.00,ROYAL MAIL GROUP LTD
COMMUNITIES,2016-07-01,522.00,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-01,811.00,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-01,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-01,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-01,550.00,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-01,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-01,797.00,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-01,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2016-07-01,261.00,REDACTED PERSONAL DATA
