Organisational Unit,Payment Date,Amount,Benificiary Name
COMMUNITIES,2016-09-02,688.80,REDACTED PERSONAL DATA
CYPF,2016-09-01,474.93,BRINSWORTH TRAINING LTD
CYPF,2016-09-01,469.33,SLIC TRAINING (INTERNATIONAL) LIMITED
COMMUNITIES,2016-09-01,2530.00,JYC CARE LTD
COMMUNITIES,2016-09-01,28268.53,AON LIMITED
PLACE,2016-09-01,58000.00,WAKE SMITH SOLICITORS LTD
COMMUNITIES,2016-09-01,28393.77,AON LIMITED
CYPF,2016-09-01,4099.11,FRESH TRAINING SERVICES (UK) LTD
PLACE,2016-09-01,70000.00,ADAMS HARRISON
PLACE,2016-09-01,314.04,REDACTED PERSONAL DATA
CYPF,2016-09-01,2848.74,APPRENTICE TEAM LTD
CYPF,2016-09-01,1506.62,BARNSLEY COLLEGE
CYPF,2016-09-01,1425.41,BPIF TRAINING LTD
CYPF,2016-09-01,791.60,CONSTRUCTION AND PLANT ASSESSMENTS LTD
CYPF,2016-09-01,2271.17,CHIEF ASSESSMENTS LTD
CYPF,2016-09-01,4283.39,THE CONSTRUCTION SKILLS PEOPLE LTD
CYPF,2016-09-01,738.49,DAMAR LIMITED
CYPF,2016-09-01,542.17,DONCASTER COLLEGE
CYPF,2016-09-01,2816.05,DONCASTER ROTH & DIST (MOTOR TRADES)GTA
CYPF,2016-09-01,4987.18,ECONOMIC SOLUTIONS LTD
CYPF,2016-09-01,7405.26,ENGAGE TRAINING & DEVELOPMENT LTD
CYPF,2016-09-01,8731.99,INTEGRITY IT SOLUTIONS LIMITED
CYPF,2016-09-01,3458.65,ESG SKILLS LIMITD
CYPF,2016-09-01,8210.76,GTG SERVICES LTD
CYPF,2016-09-01,1876.39,INAVISION LIMITED
CYPF,2016-09-01,10865.31,LOGISTICS AND DISTRIBUTION TRAINING LTD
CYPF,2016-09-01,2115.25,LINDEN MANAGEMENT (UK) LIMITED
CYPF,2016-09-01,2194.97,PROGRESSIVE CARE LTD
CYPF,2016-09-01,4562.86,ROTHERHAM COLLEGE OF ARTS & TECHNOLOGY
CYPF,2016-09-01,9226.34,THE SHEFFIELD COLLEGE
CYPF,2016-09-01,4353.50,THE STUDIO ACADEMY LTD
CYPF,2016-09-01,853.55,WAYS2WORK (DONCASTER) LIMITED
CYPF,2016-09-01,2602.41,XTOL DEVELOPMENT SERVICES LTD
CYPF,2016-09-01,1277.83,YORKSHIRE FITNESS AND LEISURE LTD
CYPF,2016-09-01,7227.66,BABINGTON BUSINESS COLLEGE LTD
CYPF,2016-09-01,3708.76,HIT TRAINING LTD
RESOURCES,2016-09-01,8410.80,BESWICKS
PLACE,2016-09-01,1200.00,ABCO ROOFING  SERVICES
PLACE,2016-09-01,12890.69,HUMBERSIDE ARTEXING & BUILDING SERVICES
CYPF,2016-09-01,895.00,VOICE WORKSHOP
COMMUNITIES,2016-09-01,530.13,SHEFFIELD FUTURES
COMMUNITIES,2016-09-01,497.99,SOUTHERN LIGHT COMMUNITY CHURCH
COMMUNITIES,2016-09-01,726.00,SHEFFIELD CHRISTIAN LIFE CENTRE
