Start,End,URL
2011-01,2015-06,https://data.sheffield.gov.uk/api/views/n7qa-pkeg/rows.csv?accessType=DOWNLOAD
2015-07,2015-08,https://data.sheffield.gov.uk/api/views/qiba-at6r/rows.csv?accessType=DOWNLOAD
2015-09,2015-09,https://data.sheffield.gov.uk/api/views/r26n-es6p/rows.csv?accessType=DOWNLOAD
2015-10,2015-10,https://data.sheffield.gov.uk/api/views/8ina-e5x4/rows.csv?accessType=DOWNLOAD
2015-11,2015-11,https://data.sheffield.gov.uk/api/views/5iu7-7wgq/rows.csv?accessType=DOWNLOAD
2015-12,2015-12,https://data.sheffield.gov.uk/api/views/qmqq-p5yk/rows.csv?accessType=DOWNLOAD
2016-01,2016-01,https://data.sheffield.gov.uk/api/views/2d69-jiqz/rows.csv?accessType=DOWNLOAD
2016-02,2016-02,https://data.sheffield.gov.uk/api/views/aym4-hb9u/rows.csv?accessType=DOWNLOAD
2016-03,2016-03,https://data.sheffield.gov.uk/api/views/9wx4-cktk/rows.csv?accessType=DOWNLOAD
2016-04,2016-04,https://data.sheffield.gov.uk/api/views/rz5p-hfyt/rows.csv?accessType=DOWNLOAD
2016-05,2016-05,https://data.sheffield.gov.uk/api/views/iuw6-5fcc/rows.csv?accessType=DOWNLOAD
2016-06,2016-06,https://data.sheffield.gov.uk/api/views/h58j-f7ed/rows.csv?accessType=DOWNLOAD
2016-07,2016-07,https://data.sheffield.gov.uk/api/views/3ta3-c3bu/rows.csv?accessType=DOWNLOAD
2016-08,2016-08,https://data.sheffield.gov.uk/api/views/ffa2-kzhk/rows.csv?accessType=DOWNLOAD
2016-09,2016-09,https://data.sheffield.gov.uk/api/views/3nvt-x98j/rows.csv?accessType=DOWNLOAD
2016-10,2016-10,https://data.sheffield.gov.uk/api/views/it4i-3itb/rows.csv?accessType=DOWNLOAD
2016-11,2016-11,https://data.sheffield.gov.uk/api/views/6fwi-eykr/rows.csv?accessType=DOWNLOAD
2016-12,2016-12,https://data.sheffield.gov.uk/api/views/94fv-9zuq/rows.csv?accessType=DOWNLOAD
2017-01,2017-01,https://data.sheffield.gov.uk/api/views/jndw-dpse/rows.csv?accessType=DOWNLOAD
2017-02,2017-02,https://data.sheffield.gov.uk/api/views/b482-xxa6/rows.csv?accessType=DOWNLOAD
2017-03,2017-03,https://data.sheffield.gov.uk/api/views/2gmc-uvbt/rows.csv?accessType=DOWNLOAD
2017-04,2017-04,https://data.sheffield.gov.uk/api/views/u8nz-6n3y/rows.csv?accessType=DOWNLOAD
2017-05,2017-05,https://data.sheffield.gov.uk/api/views/9z8i-qtxm/rows.csv?accessType=DOWNLOAD
2017-06,2017-06,https://data.sheffield.gov.uk/api/views/9x5d-93zk/rows.csv?accessType=DOWNLOAD
2017-07,2017-07,https://data.sheffield.gov.uk/api/views/k9sj-ke7f/rows.csv?accessType=DOWNLOAD
