Organisational Unit,Payment Date,Amount,Benificiary Name
PLACE,2016-11-03,252.00,LEE SPENCE-WALDRON T/A CLICK DRIVER TRAI
CYPF,2016-11-03,483.78,ASSOCIATED CHEMIST WICKER LTD
CYPF,2016-11-03,400.00,REDACTED PERSONAL DATA
CYPF,2016-11-03,14201.38,INTEGRITY IT SOLUTIONS LIMITED
PLACE,2016-11-03,46893.27,JONES & COMPANY
CYPF,2016-11-03,1239.55,REDACTED PERSONAL DATA
CYPF,2016-11-03,2365.00,A MIND APART THEATRE COMPANY LTD
CYPF,2016-11-03,953.00,SHEFFIELD INDUSTRIAL MUSEUMS TRUST LTD
CYPF,2016-11-03,3204.75,DONCASTER ROTH & DIST (MOTOR TRADES)GTA
CYPF,2016-11-03,1218.00,HEELEY CITY FARM
CYPF,2016-11-03,2322.00,SHARKS BASKETBALL LTD
CYPF,2016-11-03,2682.50,HEELEY DEVELOPMENT TRUST
CYPF,2016-11-03,3289.50,IN2CHANGE SOUTH YORKS LTD
CYPF,2016-11-03,602.00,THE MUSICAL WORKS
CYPF,2016-11-03,1261.50,NACRO
CYPF,2016-11-03,2365.00,ONBOARD SHEFFIELD SKATEPARK
CYPF,2016-11-03,301.50,WHITE ROSE SCHOOLS LTD
CYPF,2016-11-03,3397.00,SHEFFIELD WEDNESDAY ACADEMY
CYPF,2016-11-03,1435.50,SYREETA MAKE UP ACADEMY
CYPF,2016-11-03,2411.00,SYTG LTD
CYPF,2016-11-03,1440.75,WHIRLOW HALL FARM TRUST LTD
COMMUNITIES,2016-11-03,410.00,FOXHILL FORUM LTD
COMMUNITIES,2016-11-03,251.60,D J CREBER
COMMUNITIES,2016-11-03,1600.00,WORRALL MALE VOICE CHOIR
PLACE,2016-11-03,300.00,SAMANTHA PEARCE
CYPF,2016-11-03,500.00,RAWMARSH COMMUNITY SCHOOL
CYPF,2016-11-03,500.00,LEEDS CITY COUNCIL
COMMUNITIES,2016-11-03,250.00,THE DELPHI TRUST
COMMUNITIES,2016-11-03,5778.66,REDACTED PERSONAL DATA
COMMUNITIES,2016-11-03,5778.66,REDACTED PERSONAL DATA
PLACE,2016-11-03,15505.70,HERBERT SMITH FREEHILLS LLP
RESOURCES,2016-11-03,996.00,BERRYMANS LACE MAWER
CYPF,2016-11-03,14254.00,SHEFFIELD FUTURES
CYPF,2016-11-03,600.48,KING EDWARD SWIMMING POOL TRUST
CYPF,2016-11-03,6571.00,LINBURG TOURING LTD
COMMUNITIES,2016-11-03,24699.34,COMMUNITY INTEGRATED CARE
COMMUNITIES,2016-11-03,3700.48,COMMUNITY INTEGRATED CARE
CYPF,2016-11-03,412.00,CITY OF SHEFFIELD SWIM SQUAD
CYPF,2016-11-03,1133.00,CITY OF SHEFFIELD SWIM SQUAD
CYPF,2016-11-03,4350.00,NORMAN MACKIE & ASSOC T/A WORKS 4 U
COMMUNITIES,2016-11-03,1289.00,SHEFFIELD CO-OPERATIVE FUNERALCARE
COMMUNITIES,2016-11-03,1284.00,SHEFFIELD CO-OPERATIVE FUNERALCARE
PLACE,2016-11-03,293.75,SHEFFIELD CATERING SUPPLIES LTD
PLACE,2016-11-03,275.48,IFZW MAINTENANCE LTD
PLACE,2016-11-03,266.63,IFZW MAINTENANCE LTD
COMMUNITIES,2016-11-03,765.00,TIN CAN ALLEY - ALISTAIR HIGGINS TA
COMMUNITIES,2016-11-03,720.00,WHITTAKERS GROUND CARE
RESOURCES,2016-11-03,335.00,DIAMOND BUSINESS INTERIORS LTD
COMMUNITIES,2016-11-03,611.50,STEARN ELECTRIC CO. LTD
COMMUNITIES,2016-11-03,5137.96,LIFEWAYS COMMUNITY CARE LTD
COMMUNITIES,2016-11-03,5137.96,LIFEWAYS COMMUNITY CARE LTD
CYPF,2016-11-03,1200.96,7 HILLS LEISURE TRUST
POLICY PERFORMANCE AND COMMS,2016-11-03,6091.74,FACILITIES & CORPORATE SOLUTIONS LTD
CYPF,2016-11-03,4000.00,SHEFFIELD FEDERATION FOR SCHOOL SPORTS
PLACE,2016-11-03,4950.00,REED BUSINESS INFORMATION LTD
PLACE,2016-11-03,70425.67,NPOWER NORTHERN LTD
PLACE,2016-11-03,1079.25,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS
CYPF,2016-11-03,587.50,TRINITY METHODIST CHURCH (WOODHOUSE)
PLACE,2016-11-03,337.00,MATTHEWS ENVIRONMENTAL SOLUTIONS LTD
PLACE,2016-11-03,1975.00,MATTHEWS ENVIRONMENTAL SOLUTIONS LTD
POLICY PERFORMANCE AND COMMS,2016-11-03,5000.00,NHS SHEFFIELD CCG
RESOURCES,2016-11-03,1758.15,TUNSTALL RESPONSE LTD
CYPF,2016-11-03,528.00,SHEILA LACEY - ARNOLD
CA LEP,2016-11-03,326.50,CLARITY TRAVEL MANAGEMENT
CYPF,2016-11-03,923.40,MECROW MEDICAL SERVICES LTD
RESOURCES,2016-11-03,337.04,SHEFFIELD NEWSPAPERS LTD
PLACE,2016-11-03,1295.94,CERTAS ENERGY UK LTD
CYPF,2016-11-03,427.00,BETHANY SCHOOL
