Organisational Unit,Payment Date,Amount,Benificiary Name
CYPF,2015-08-21,4396.00,REDACTED PERSONAL DATA
COMMUNITIES,2015-07-08,1500.00,REDACTED PERSONAL DATA
COMMUNITIES,2015-08-05,472.45,REDACTED PERSONAL DATA
CYPF,2015-07-07,3290.00,REDACTED PERSONAL DATA
PLACE,2015-07-01,58500.00,FOYS SOLICITORS
CYPF,2015-07-01,528.00,REDACTED PERSONAL DATA
COMMUNITIES,2015-07-01,350.86,MARK PARKER
PLACE,2015-07-01,400.00,MACRO MEDIA LTD
CYPF,2015-07-01,337.00,CLARITY TRAVEL MANAGEMENT
COMMUNITIES,2015-07-01,443.00,MR H S CUTTS NEIL CONSTRUCTION
COMMUNITIES,2015-07-01,364.00,MR H S CUTTS NEIL CONSTRUCTION
COMMUNITIES,2015-07-01,330.00,MR H S CUTTS NEIL CONSTRUCTION
CYPF,2015-07-01,7044.58,TAYLOR SHAW LIMITED T/A TAYLOR SHAW
CYPF,2015-07-01,7044.58,TAYLOR SHAW LIMITED T/A TAYLOR SHAW
CYPF,2015-07-01,464.23,KIER FACILITIES SERVICES LTD
COMMUNITIES,2015-07-01,313.50,FORWARD ENVIRONMENTAL LIMITED
PLACE,2015-07-01,494.00,VIEWPOINT RESEARCH COMMUNITY INTEREST CO
PLACE,2015-07-01,318.40,ARCO LTD
CYPF,2015-07-01,6851.98,ACADEMY SERVICES (SHEFFIELD) LTD
CYPF,2015-07-01,774.07,ACADEMY SERVICES (SHEFFIELD) LTD
CYPF,2015-07-01,27582.57,ACADEMY SERVICES (SHEFFIELD) LTD
COMMUNITIES,2015-07-01,312.15,STEARN ELECTRIC CO. LTD
CYPF,2015-07-01,11279.74,TAYLOR SHAW LIMITED T/A TAYLOR SHAW
COMMUNITIES,2015-07-01,3037.61,EXCHANGE SUPPLIES LTD
POLICY PERFORMANCE AND COMMS,2015-07-01,435.00,THE PRINT AND DESIGN FACTORY LTD
PLACE,2015-07-01,1100.82,BROADFIELD MOWERS LTD
COMMUNITIES,2015-07-01,501.00,MR H S CUTTS NEIL CONSTRUCTION
COMMUNITIES,2015-07-01,375.00,MR H S CUTTS NEIL CONSTRUCTION
ECONOMIC REGENERATION,2015-07-01,2320.00,NEWSCO INSIDER
ECONOMIC REGENERATION,2015-07-01,4485.00,GENECON
PLACE,2015-07-01,576.00,CARLTON FUELS
RESOURCES,2015-07-01,3370.00,ACCESS ECOLOGY LTD
CYPF,2015-07-01,516.55,PARENTPAY LIMITED
CYPF,2015-07-01,503.05,PARENTPAY LIMITED
COMMUNITIES,2015-07-01,1219.36,EGBERT H TAYLOR & CO LTD
PLACE,2015-07-01,386555.04,BOWMER & KIRKLAND LTD
PLACE,2015-07-01,19929.89,BOWMER & KIRKLAND LTD
CYPF,2015-07-01,1712.55,KIDZ @ WORK
PLACE,2015-07-01,500.00,NUMILL LTD
PLACE,2015-07-01,306.70,ARGO FEEDS LTD
CYPF,2015-07-01,269.10,REACHOUT CHILDCARE SERVICES LIMITED
RESOURCES,2015-07-01,682.17,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2015-07-01,1023.26,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2015-07-01,320.61,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2015-07-01,466.34,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2015-07-01,553.77,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2015-07-01,320.61,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2015-07-01,349.75,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2015-07-01,682.17,SHEFFIELD NEWSPAPERS LTD
RESOURCES,2015-07-01,500.00,WELLINGTONE LIMITED
