Organisational Unit,Payment Date,Amount,Benificiary Name
RESOURCES,2017-04-12,3792.80,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,610.00,DR WAN IZWIN WAN HASSAN
COMMUNITIES,2017-04-03,920.00,JYC CARE LTD
COMMUNITIES,2017-04-03,1280.00,DR LESZEK PABJAN INDEPENDENT PSYCHIATRIS
COMMUNITIES,2017-04-03,1280.00,DR LESZEK PABJAN INDEPENDENT PSYCHIATRIS
COMMUNITIES,2017-04-03,459.00,KATHERINE JONES
COMMUNITIES,2017-04-03,29310.00,GELDARDS LLP
COMMUNITIES,2017-04-03,5258.40,INTERSERVE HEALTHCARE LTD
COMMUNITIES,2017-04-03,7000.00,PALOMA SYSTEMS LTD
COMMUNITIES,2017-04-03,433.33,THE WATER MANAGEMENT SOCIETY
COMMUNITIES,2017-04-03,1095.00,EDGE TRAINING AND CONSULTANCY LTD
PLACE,2017-04-03,1600.00,ANDERSON TREE CARE LTD
COMMUNITIES,2017-04-03,280.05,LYRECO UK LTD
COMMUNITIES,2017-04-03,1120.00,ACTION FIRST RECRUITMENT LTD
COMMUNITIES,2017-04-03,1400.00,ACTION FIRST RECRUITMENT LTD
COMMUNITIES,2017-04-03,840.00,ACTION FIRST RECRUITMENT LTD
COMMUNITIES,2017-04-03,2240.00,ACTION FIRST RECRUITMENT LTD
PLACE,2017-04-03,1080.00,TINSLEY TREE PROJECT
COMMUNITIES,2017-04-03,2520.00,ACTION FIRST RECRUITMENT LTD
CYPF,2017-04-03,367.00,CLARITY TRAVEL MANAGEMENT
COMMUNITIES,2017-04-03,840.00,ACTION FIRST RECRUITMENT LTD
COMMUNITIES,2017-04-03,1120.00,ACTION FIRST RECRUITMENT LTD
COMMUNITIES,2017-04-03,488.97,EARL MARSHALL GUEST HOUSE LTD
COMMUNITIES,2017-04-03,1048.00,MARMAX PRODUCTS LTD
COMMUNITIES,2017-04-03,2691.49,SEVERN TRENT WATER LTD
CYPF,2017-04-03,255.77,SEVERN TRENT WATER LTD
PLACE,2017-04-03,305.18,SOUTHERN ELECTRIC
PLACE,2017-04-03,305.18,SOUTHERN ELECTRIC
PLACE,2017-04-03,305.18,SOUTHERN ELECTRIC
PLACE,2017-04-03,305.18,SOUTHERN ELECTRIC
RESOURCES,2017-04-03,1372.63,BRITISH GAS BUSINESS
RESOURCES,2017-04-03,1254.00,BRITISH GAS BUSINESS
PLACE,2017-04-03,2161.66,SWITCH2 ENERGY LIMITED
RESOURCES,2017-04-03,550.00,VODAFONE LTD (CORPORATE)
RESOURCES,2017-04-03,32056.41,VODAFONE LTD (CORPORATE)
COMMUNITIES,2017-04-03,522.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,811.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,550.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,797.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,550.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,275.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,522.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,261.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,257.16,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,257.16,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,257.16,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,676.88,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,4832.80,PEOPLEPLUS GROUP LIMITED
COMMUNITIES,2017-04-03,1232.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,1399.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,480.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,292.29,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,427.04,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,1118.71,RETHINK MHREC
COMMUNITIES,2017-04-03,2217.42,SHEFFIELD HEALTH & SOCIAL CARE
COMMUNITIES,2017-04-03,1142.25,SHEFFIELD MIND - USE 556296
COMMUNITIES,2017-04-03,2256.36,SOUTH YORKSHIRE HOUSING ASSOCIATION
COMMUNITIES,2017-04-03,2675.53,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,1133.38,REDACTED PERSONAL DATA
CYPF,2017-04-03,2146.44,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,16492.00,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,827.08,MENCAP HOMECARE
COMMUNITIES,2017-04-03,905.64,MENCAP HOMECARE
COMMUNITIES,2017-04-03,1787.32,MENCAP HOMECARE
COMMUNITIES,2017-04-03,2915.04,MENCAP HOMECARE
COMMUNITIES,2017-04-03,933.80,MENCAP HOMECARE
COMMUNITIES,2017-04-03,2264.76,MENCAP HOMECARE
COMMUNITIES,2017-04-03,1614.12,MENCAP HOMECARE
COMMUNITIES,2017-04-03,613.64,MENCAP HOMECARE
COMMUNITIES,2017-04-03,2065.84,MENCAP HOMECARE
COMMUNITIES,2017-04-03,853.76,MENCAP HOMECARE
COMMUNITIES,2017-04-03,1762.60,MENCAP HOMECARE
COMMUNITIES,2017-04-03,288.00,SHEFFIELD MENCAP
COMMUNITIES,2017-04-03,69549.53,COMMUNITY INTEGRATED CARE
COMMUNITIES,2017-04-03,40391.30,COMMUNITY INTEGRATED CARE
COMMUNITIES,2017-04-03,6442.52,REDACTED PERSONAL DATA
COMMUNITIES,2017-04-03,1701.96,REDACTED PERSONAL DATA
