Payment Date,Amount,Benificiary Name,Organisational Unit
2018-04-16,25.33,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2018-04-23,16.25,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2018-04-16,16.67,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2018-04-18,265.32,BERENDSEN UK LTD,Community
2018-04-18,367.65,BROOK STREET (UK) LTD,Community
2018-04-09,476.42,BROOK STREET (UK) LTD,Community
2018-04-11,484.50,BROOK STREET (UK) LTD,Community
2018-04-25,612.75,BROOK STREET (UK) LTD,Community
2018-04-04,1017.50,DR CHRISTIAN LACHMANN,Community
2018-04-04,1017.50,DR R SPENCER,Community
2018-04-04,1498.50,DR VIVIENNE JAYNE POSKITT,Community
2018-04-11,2111.16,FACULTATIEVE TECHNOLOGIES LTD,Community
2018-04-11,724.85,FALON NAMEPLATES LTD,Community
2018-04-11,18.00,FALON NAMEPLATES LTD,Community
2018-04-25,828.40,FALON NAMEPLATES LTD,Community
2018-04-25,18.00,FALON NAMEPLATES LTD,Community
2018-04-30,297.60,G.E.M PRECAST LTD,Community
2018-04-11,900.00,MASON CLARK ASSOCIATES LTD,Community
2018-04-18,636.00,NATIONAL ASSOCIATION OF BRITISH MARKET AUTHORITIES,Community
2018-04-11,193.92,SHIRE AGGREGATES BULK LTD,Community
2018-04-11,393.80,TELESHORE UK LTD,Community
2018-04-30,295.00,BULLOUGHS CLEANING SERVICES LTD,Community
2018-04-30,641.33,BULLOUGHS CLEANING SERVICES LTD,Community
2018-04-30,775.67,BULLOUGHS CLEANING SERVICES LTD,Community
2018-04-30,467.78,CORDANT PEOPLE LIMITED,Community
2018-04-09,614.19,CORDANT PEOPLE LIMITED,Community
2018-04-30,658.26,CORDANT PEOPLE LIMITED,Community
2018-04-09,734.45,CORDANT PEOPLE LIMITED,Community
2018-04-09,816.73,CORDANT PEOPLE LIMITED,Community
2018-04-25,233.20,NORTHGATE VEHICLE HIRE LTD,Community
2018-04-25,233.20,NORTHGATE VEHICLE HIRE LTD,Community
2018-04-25,233.20,NORTHGATE VEHICLE HIRE LTD,Community
2018-04-25,233.20,NORTHGATE VEHICLE HIRE LTD,Community
2018-04-11,213.76,PHS GROUP PLC,Community
2018-04-11,1511.46,PHS GROUP PLC,Community
2018-04-25,245.20,PHS GROUP PLC,Community
2018-04-18,404.58,PHS GROUP PLC,Community
2018-04-18,1110.30,PROFESSIONAL PAPER SUPPLIES LTD,Community
2018-04-18,360.75,EDEN FARM LTD,Community
2018-04-25,526.03,EDEN FARM LTD,Community
2018-04-09,299.17,NATIONAL PEST TECHNICIANS ASSOCIATION,Community
2018-04-18,349.84,P P SNACK FOODS LTD,Community
2018-04-18,34.95,P P SNACK FOODS LTD,Community
2018-04-18,34.95,P P SNACK FOODS LTD,Community
2018-04-30,364.00,RING A TILL,Community
2018-04-25,938.00,SELECTA UK LIMITED,Community
2018-04-11,3213.60,UK CONTAINER MAINTENANCE LTD,Community
2018-04-25,299.00,ACORN LIGHTING SERVICES LTD,Community
