Payment Date,Amount,Benificiary Name,Organisational Unit
2016-07-27,17.63,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-06,2995.00,STEEL AND MAW TREE EXPERTS,Community
2016-07-27,615,A A FOSTER,Community
2016-07-27,32.46,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-13,89.89,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-20,212.53,BERENDSEN UK LTD,Community
2016-07-06,269,BOB COWELL,Community
2016-07-06,120,BOB COWELL,Community
2016-07-06,814,DR CHRISTIAN LACHMANN,Community
2016-07-06,943.5,DR R SPENCER,Community
2016-07-06,647.5,DR VIVIENNE JAYNE POSKITT,Community
2016-07-11,18,FALON NAMEPLATES LTD,Community
2016-07-11,372.2,FALON NAMEPLATES LTD,Community
2016-07-27,260,G4S SECURE SOLUTIONS (UK) LIMITED,Community
2016-07-27,3200.00,PEACOCK BROTHERS,Community
2016-07-27,270,PEACOCK BROTHERS,Community
2016-07-27,540,PEACOCK BROTHERS,Community
2016-07-13,175,WETHERBY SKIP HIRE SERVICES,Community
2016-07-27,1270.65,PROFESSIONAL PAPER SUPPLIES LTD,Community
2016-07-13,404.74,EDEN FARM LTD,Community
2016-07-27,492.46,EDEN FARM LTD,Community
2016-07-20,570.92,EDEN FARM LTD,Community
2016-07-20,627.6,EDEN FARM LTD,Community
2016-07-06,673.49,EDEN FARM LTD,Community
2016-07-06,760.7,EDEN FARM LTD,Community
2016-07-25,5007.00,HACS CIVIL ENGINEERING LLP,Community
2016-07-06,271.9,KILLGERM CHEMICALS LTD,Community
2016-07-06,223.28,P P SNACK FOODS LTD,Community
2016-07-06,2280.00,UK CONTAINER MAINTENANCE LTD,Community
2016-07-13,262.5,WETHERBY SKIP HIRE SERVICES,Community
2016-07-13,262.5,WETHERBY SKIP HIRE SERVICES,Community
2016-07-27,58.33,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-27,51.36,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-27,58.33,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-27,51.36,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-13,51.42,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-13,47.69,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-13,47.69,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-13,51.42,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2016-07-13,2223.00,BEMROSE BOOTH PARAGON LTD,Community
2016-07-13,1185.60,BEMROSE BOOTH PARAGON LTD,Community
2016-07-20,566.4,BEMROSE BOOTH PARAGON LTD,Community
2016-07-20,22.5,BEMROSE BOOTH PARAGON LTD,Community
