Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2019-05-10,42827049.90,TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,,
2019-05-10,16075539.85,LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,,
2019-05-22,15224919.18,RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,,
2019-05-10,14190823.94,LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,,
2019-05-10,10239310.46,LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,,
2019-05-10,9940807.13,LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,,
2019-05-10,9817389.00,LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,,
2019-05-22,8484959.46,LUL NOMINEE SSL LIMITED,THALES RAIL SIGNALLING SOLUTIONS,,
2019-05-22,8291192.19,LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,,
2019-05-10,7707359.12,LONDON BUS SERVICES LTD,STAGECOACH,,
2019-05-22,7086946.85,SURFACE TRANSPORT CORP,METROPOLITAN POLICE,,
2019-05-08,6942211.56,SURFACE TRANSPORT CORP,METROPOLITAN POLICE,,
2019-05-20,6741044.19,DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,,
2019-05-10,6425378.60,LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,,
2019-05-10,5961623.94,LONDON BUS SERVICES LTD,STAGECOACH,,
2019-05-10,5918885.15,LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,,
2019-05-13,5868884.55,TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,,
2019-05-22,5643172.57,RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,,
2019-05-10,5467502.80,LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,,
2019-05-24,5239579.76,LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,,
2019-05-22,4946910.10,LONDON UNDERGROUND LTD,DRAGADOS S.A.,,
2019-05-24,4625401.70,LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,,
2019-05-10,4436177.02,LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,,
2019-05-20,4235737.39,LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,,
2019-05-15,3780000.00,LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,,
2019-05-10,3513335.54,LONDON BUS SERVICES LTD,METROBUS LIMITED,,
2019-05-24,3383152.45,LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,,
