Payment Date,Amount,Benificiary Name,Organisational Unit
2011-06-23,1300.00,18th Halifax Boys Brigade Company,Safer and Stronger-Community Safety & Support
2011-06-20,31739.64,2011:04D  Dementia,"Adults, Health and Social Care-Adult Health & Social Care"
2011-06-20,1660.80,2011:04DSLDual Sensory Loss,"Adults, Health and Social Care-Adult Health & Social Care"
2011-06-20,204538.28,2011:04FTIFrailty And/Or Temporary Illness,"Adults, Health and Social Care-Adult Health & Social Care"
2011-06-20,64448.15,2011:04LD Learning Disabilities,"Adults, Health and Social Care-Adult Health & Social Care"
2011-06-20,4106.80,2011:04MH Mental Health (Except Dementia),"Adults, Health and Social Care-Adult Health & Social Care"
2011-06-20,576.00,2011:04OV Other Vulnerable People,"Adults, Health and Social Care-Adult Health & Social Care"
2011-06-20,235678.93,2011:04PD Physically Disabled,"Adults, Health and Social Care-Adult Health & Social Care"
2011-06-20,10140.00,2011:04VI Visual Impairment,"Adults, Health and Social Care-Adult Health & Social Care"
2011-06-27,8.00,@first parts solutions - Brunel Ford,Economy and Environment-Transport Vehicle Maintenance Workshop
2011-06-27,567.45,@first parts solutions - Brunel Ford,Economy and Environment-Transport Vehicle Maintenance Workshop
2011-06-16,1010.46,A & M,Deputy Chief Executive-School & Welfare Catering DSO - South
2011-06-16,1845.47,A & M,Deputy Chief Executive-School & Welfare Catering DSO - South
2011-06-16,1878.39,A & M,Deputy Chief Executive-School & Welfare Catering DSO - South
2011-06-16,1584.68,A & M,Deputy Chief Executive-School & Welfare Catering DSO - South
2011-06-30,1541.46,A & M,Deputy Chief Executive-School & Welfare Catering DSO - South
2011-06-02,2000.00,A & R Training Services Ltd,Economy and Environment-Regeneration
2011-06-02,485.00,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
2011-06-02,658.00,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
2011-06-02,816.00,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
