Body,Organisation Name,Date,Internal Ref Number,Invoice Number,Net Amount,Irrecoverable VAT,Supplier(Beneficiary) Name,Supplier Registered Company Number,Supplier Registered Charity Number,Supplier ID,VAT Registration Number,Expense Area,Procurement Classification: Council's Procurement Category Name,Expense Code,BVACOP,Proclass,Extended Description,Source,Subsource,Definition,Purpose of Spend (Summary)
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-07-12,28239515,2018:04D  Demen,49421.08,N/A,2018:04D  Dementia,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments Individual Service Funds,884A6501,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-07-12,28239516,2018:04FTIFrail,283960.28,N/A,2018:04FTIFrailty And/Or Temporary Illness,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments Individual Service Funds,884A6501,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-07-12,28239517,2018:04HI Heari,3501.21,N/A,2018:04HI Hearing Impairment,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments Individual Service Funds,884A6502,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-07-12,28239518,2018:04LD Learn,346359.54,N/A,2018:04LD Learning Disabilities,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments Individual Service Funds,884B6503,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-07-12,28239519,2018:04MH Menta,6378.52,N/A,2018:04MH Mental Health (Except Dementia),,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments Individual Service Funds,884C6504,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-07-12,28239520,2018:04OV Other,57175.35,N/A,2018:04OV Other Vulnerable People,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments Individual Service Funds,884A6505,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-07-12,28239521,2018:04PD Physi,127424.72,N/A,2018:04PD Physically Disabled,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments Individual Service Funds,884A6502,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-07-12,28239522,2018:04VI Visua,3333.72,N/A,2018:04VI Visual Impairment,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments Individual Service Funds,884A6502,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-07-12,28239497,2018:05D  Demen,30978.12,N/A,2018:05D  Dementia,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884A6001,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-07-12,28239499,2018:05DSLDual,4280.40,N/A,2018:05DSLDual Sensory Loss,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884A6002,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
