Payment Date,Amount,Organisational Unit
2018-06-07,189.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,200.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,54.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,400.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,4417.50,Children and Young People (obsolete)-Childrens Care Services
2018-06-08,4638.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care - Capital"
2018-06-08,6628.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care - Capital"
2018-06-11,4064.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care - Capital"
2018-06-07,2840.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-27,980.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-28,4328.59,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-28,518.33,Communities & Service Support (obsolete)-Customer Services and Communications
2018-06-22,2055.00,Children and Young People (obsolete)-Childrens Care Services
2018-06-26,8028.44,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,357.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,12297.16,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-21,694.21,Communities & Service Support (obsolete)-Recreation & Support
2018-06-20,459342.59,Children and Young People (obsolete)-Education
2018-06-21,2520.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-29,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-06,470.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-19,1166.66,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-20,45000.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-08,110087.00,Chief Executive's Office (obsolete)-Public Health
2018-06-14,12000.00,Chief Executive's Office (obsolete)-Public Health
2018-06-14,12000.00,Chief Executive's Office (obsolete)-Public Health
2018-06-14,12000.00,Chief Executive's Office (obsolete)-Public Health
2018-06-18,92880.08,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-06,1114.27,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-12,3335.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-20,960.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-20,113756.00,Children and Young People (obsolete)-Education
2018-06-19,11760.07,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,13866.03,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,440.92,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,921.30,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,2233.18,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,7054.31,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,24195.80,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,25.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,359.32,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,6.86,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,125.81,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,880.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,5609.80,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,646103.18,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,702.58,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,737.53,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,1724.44,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,3036.88,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,2410.85,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-19,357.92,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-29,498.00,Economy and Environment (obsolete)-Highways & Engineering Services - Capital
2018-06-14,26250.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-21,660.00,Economy and Environment (obsolete)-Highways & Engineering Services - Capital
2018-06-21,8030.00,Economy and Environment (obsolete)-Highways & Engineering Services - Capital
2018-06-21,48186.67,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-07,16164.33,Children and Young People (obsolete)-Childrens Care Services
2018-06-26,409.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,13291.52,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-04,686.00,Economy and Environment (obsolete)-Housing Services
2018-06-04,857.50,Economy and Environment (obsolete)-Housing Services
2018-06-04,857.50,Economy and Environment (obsolete)-Housing Services
2018-06-04,857.50,Economy and Environment (obsolete)-Housing Services
2018-06-04,686.00,Economy and Environment (obsolete)-Housing Services
2018-06-04,686.00,Economy and Environment (obsolete)-Housing Services
2018-06-04,441.00,Economy and Environment (obsolete)-Housing Services
2018-06-04,441.00,Economy and Environment (obsolete)-Housing Services
2018-06-04,514.50,Economy and Environment (obsolete)-Housing Services
2018-06-04,441.00,Economy and Environment (obsolete)-Housing Services
2018-06-04,857.50,Economy and Environment (obsolete)-Housing Services
2018-06-04,857.50,Economy and Environment (obsolete)-Housing Services
2018-06-04,514.50,Economy and Environment (obsolete)-Housing Services
2018-06-26,294.00,Economy and Environment (obsolete)-Housing Services
2018-06-26,392.00,Economy and Environment (obsolete)-Housing Services
2018-06-20,1520.08,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-20,629.48,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-20,350.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2455.04,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-07,883.20,Deputy Chief Executive (obsolete)-Human Resources
2018-06-07,4033.28,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,4033.28,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,2657.01,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,3277.01,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,3163.77,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,3337.55,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,2209.12,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,3405.66,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,3498.66,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,3155.27,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,3197.27,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,18821.34,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,9300.00,Children and Young People (obsolete)-Childrens Care Services
2018-06-28,285.12,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-28,285.12,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-13,6881.00,Economy and Environment (obsolete)-Transport Services
2018-06-26,31221.00,Economy and Environment (obsolete)-Transport Services
2018-06-26,31189.04,Economy and Environment (obsolete)-Transport Services
2018-06-26,2858.50,Economy and Environment (obsolete)-Transport Services
2018-06-26,10369.00,Economy and Environment (obsolete)-Transport Services
2018-06-26,409.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,8285.20,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,1265.80,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,22722.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-20,94686.00,Children and Young People (obsolete)-Education
2018-06-20,78747.00,Children and Young People (obsolete)-Education
2018-06-19,1539.00,Children and Young People (obsolete)-Childrens Services Unit
2018-06-19,1539.00,Children and Young People (obsolete)-Childrens Services Unit
2018-06-13,2751.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-26,12571.72,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,41857.60,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,5220.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-20,623.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-21,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-08,528.00,Chief Executive's Office (obsolete)-Public Health
2018-06-20,23168.00,Children and Young People (obsolete)-Education
2018-06-04,120.00,Economy and Environment (obsolete)-Planning & Building Control
2018-06-04,700.00,Economy and Environment (obsolete)-Planning & Building Control
2018-06-06,5016.92,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-26,2397.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,409.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-18,21789.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-19,680.00,Children and Young People (obsolete)-Childrens Care Services
2018-06-26,21437.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,6174.70,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-20,2150.00,Communities & Service Support (obsolete)-Service Development - Client Services
2018-06-29,5002.00,Communities & Service Support (obsolete)-Service Development - Client Services
2018-06-20,49701.00,Children and Young People (obsolete)-Education
2018-06-21,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-29,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-20,71412.00,Children and Young People (obsolete)-Education
2018-06-21,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-22,11874.21,Children and Young People (obsolete)-Childrens Care Services
2018-06-22,8707.75,Children and Young People (obsolete)-Childrens Care Services
2018-06-15,10.00,Deputy Chief Executive (obsolete)-ICT Services
2018-06-15,628.89,Deputy Chief Executive (obsolete)-ICT Services
2018-06-12,1877.65,Children and Young People (obsolete)-Childrens Care Services
2018-06-11,173.75,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-11,173.75,Economy and Environment (obsolete)-Housing Services
2018-06-11,173.75,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-11,87.50,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-11,173.74,Communities & Service Support (obsolete)-Recreation & Support
2018-06-11,523.75,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-11,87.50,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-11,87.50,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-11,347.50,Communities & Service Support (obsolete)-Museums & Arts
2018-06-11,87.50,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-11,173.75,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-11,323.75,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-11,173.75,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-11,173.75,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-11,173.75,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-11,397.50,Communities & Service Support (obsolete)-Sport & Countryside
2018-06-11,487.50,Communities & Service Support (obsolete)-Museums & Arts
2018-06-11,610.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-11,87.50,Deputy Chief Executive (obsolete)-ICT Services
2018-06-11,397.50,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-11,173.75,Communities & Service Support (obsolete)-Museums & Arts
2018-06-11,87.50,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,173.75,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,347.50,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,173.75,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-11,173.75,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-11,173.75,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-11,87.50,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-11,173.75,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-11,173.75,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,16.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,16.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,16.00,Communities & Service Support (obsolete)-Recreation & Support
2018-06-14,16.00,Communities & Service Support (obsolete)-Recreation & Support
2018-06-14,16.00,Communities & Service Support (obsolete)-Recreation & Support
2018-06-14,16.00,Communities & Service Support (obsolete)-Recreation & Support
2018-06-14,16.00,Communities & Service Support (obsolete)-Recreation & Support
2018-06-14,16.00,Communities & Service Support (obsolete)-Recreation & Support
2018-06-14,16.00,Communities & Service Support (obsolete)-Recreation & Support
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,32.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,32.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,32.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,48.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,32.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,48.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,48.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,32.00,Communities & Service Support (obsolete)-Sport & Countryside
2018-06-14,32.00,Communities & Service Support (obsolete)-Sport & Countryside
2018-06-14,32.00,Communities & Service Support (obsolete)-Sport & Countryside
2018-06-14,32.00,Communities & Service Support (obsolete)-Sport & Countryside
2018-06-14,32.00,Communities & Service Support (obsolete)-Sport & Countryside
2018-06-14,32.00,Communities & Service Support (obsolete)-Sport & Countryside
2018-06-14,32.00,Communities & Service Support (obsolete)-Sport & Countryside
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,32.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,32.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,32.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,32.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,32.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-14,16.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-14,16.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,16.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,16.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,16.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,16.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,16.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,16.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-14,16.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-14,16.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-14,16.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-14,16.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-14,16.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-14,16.00,Economy and Environment (obsolete)-Housing Services
2018-06-14,16.00,Economy and Environment (obsolete)-Housing Services
2018-06-14,16.00,Economy and Environment (obsolete)-Housing Services
2018-06-14,16.00,Economy and Environment (obsolete)-Housing Services
2018-06-14,16.00,Economy and Environment (obsolete)-Housing Services
2018-06-14,16.00,Economy and Environment (obsolete)-Housing Services
2018-06-14,16.00,Economy and Environment (obsolete)-Housing Services
2018-06-29,800.00,Communities & Service Support (obsolete)-Recreation & Support
2018-06-29,95.00,Communities & Service Support (obsolete)-Recreation & Support
2018-06-06,858.00,Deputy Chief Executive (obsolete)-Executives Management
2018-06-20,75732.00,Children and Young People (obsolete)-Education
2018-06-29,1260.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-20,1221.00,Economy and Environment (obsolete)-Environmental Services
2018-06-11,5708.20,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,16233.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,45255.30,Communities & Service Support (obsolete)-Service Development - Client Services
2018-06-26,72166.22,Communities & Service Support (obsolete)-Service Development - Client Services
2018-06-29,40498.01,Economy and Environment (obsolete)-Regeneration - Capital
2018-06-06,1080.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-06,50.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-06,50.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-06,1080.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-20,27630.00,Children and Young People (obsolete)-Education
2018-06-14,916.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-18,2000.00,Economy and Environment (obsolete)-Transport Services
2018-06-12,437.50,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-07,10000.00,Economy and Environment (obsolete)-Housing Services
2018-06-08,22500.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-04,6259.39,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,12796.87,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2730.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,3300.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,3000.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2490.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1493.33,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,746.67,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,3330.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2011.80,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1071.52,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1071.52,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1158.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1505.92,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2027.20,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,5792.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,579.20,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2012.72,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2011.80,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2828.16,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2887.06,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,3446.84,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,3640.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1767.60,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,5538.48,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,5096.60,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1003.52,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1522.96,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,5833.08,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,3000.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2820.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1680.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2610.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2120.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2780.16,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,5792.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,2080.64,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,862.20,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,984.64,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1158.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1390.08,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-07,3780.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-07,2016.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-25,2157.44,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-25,8629.76,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-12,39.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-12,842.50,Deputy Chief Executive (obsolete)-Human Resources
2018-06-12,192.50,Deputy Chief Executive (obsolete)-Human Resources
2018-06-12,385.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-12,192.50,Deputy Chief Executive (obsolete)-Human Resources
2018-06-12,192.50,Deputy Chief Executive (obsolete)-Human Resources
2018-06-12,192.50,Deputy Chief Executive (obsolete)-Human Resources
2018-06-12,192.50,Deputy Chief Executive (obsolete)-Human Resources
2018-06-12,192.50,Deputy Chief Executive (obsolete)-Human Resources
