Payment Date,Amount,Organisational Unit
2018-06-26,1416.64,Deputy Chief Executive (obsolete)-Human Resources
2018-06-06,570.54,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-28,4223.56,Chief Executive's Office (obsolete)-Public Health
2018-06-21,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-06,710.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-08,700.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-13,2625.48,Economy and Environment (obsolete)-Markets
2018-06-13,485.71,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-13,2668.32,Economy and Environment (obsolete)-Markets
2018-06-20,710.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Economy and Environment (obsolete)-Markets
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Economy and Environment (obsolete)-Markets
2018-06-29,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-29,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-29,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,25.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-29,25.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
