Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2014-09-30,1.07,Children and Young People-Childrens Services Unit,1&1 INTERNET LIMITED,,
2014-10-08,130.00,Economy and Environment-Housing Services,A ONE TOOL & FIXING LT,,
2014-10-10,17.91,Economy and Environment-Housing Services,A ONE TOOL & FIXING LT,,
2014-09-17,10.28,Communities & Service Support-Sport & Leisure Management DSO,A ONE TOOL & FIXING LT,,
2014-10-07,155.00,Children and Young People-Childrens Care Services,ACE POINT TRAVEL LTD,,
2014-10-24,185.00,Children and Young People-Childrens Care Services,ACEPOINT TRAVEL LTD,,
2014-09-04,240.00,Communities & Service Support-Safer Cleaner Greener,ACT*CIWEM Service,,
2014-09-22,34.15,Children and Young People-Childrens Care Services,ADOPTIONCONNECTION,,
2014-09-11,110.86,Economy and Environment-Housing Services,ALLPAY.NET VISA AND MAST,,
2014-10-25,27.06,Children and Young People-Childrens Care Services,AMF BOWLING,,
2014-10-08,43.80,Communities & Service Support-Safer Cleaner Greener,ANDREW PAGE,,
2014-10-23,13.05,Communities & Service Support-Safer Cleaner Greener,ANDREW PAGE,,
2014-10-15,187.50,"Adults, Health and Social Care-Adult Health & Social Care",APPLIANCE WORLD,,
2014-10-22,416.67,Communities & Service Support-Customer Services and Communications,APPLIANCE WORLD,,
2014-10-22,83.33,Communities & Service Support-Customer Services and Communications,APPLIANCE WORLD,,
2014-10-22,200.00,Communities & Service Support-Customer Services and Communications,APPLIANCE WORLD,,
2014-10-16,39.65,Economy and Environment-Planning & Building Control,ARCO LTD,,
2014-10-20,79.50,Communities & Service Support-Museums & Arts,ARCO LTD,,
2014-09-26,25.80,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-09-26,115.78,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-07,32.42,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-07,108.32,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-08,102.00,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-08,13.32,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-08,27.44,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-08,108.32,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-08,116.66,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-08,158.32,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-10,108.17,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-10,27.43,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-10,27.43,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-10,27.43,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-14,32.42,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-14,308.32,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-14,316.65,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
2014-10-16,27.43,Communities & Service Support-Customer Services and Communications,ARGOS DIRECT,,
