Body,Organisation Name,Date,Internal Ref Number,Invoice Number,Net Amount,Irrecoverable VAT,Supplier(Beneficiary) Name,Supplier Registered Company Number,Supplier Registered Charity Number,Supplier ID,VAT Registration Number,Expense Area,Procurement Classification: Council's Procurement Category Name,Expense Code,BVACOP,Proclass,Extended Description,Source,Subsource,Definition,Purpose of Spend (Summary)
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-14,28164717,2018:03VI Visua,2797.82,N/A,2018:03VI Visual Impairment,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments Individual Service Funds,884A6502,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-14,28164692,2018:04D  Demen,28587.08,N/A,2018:04D  Dementia,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884A6001,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-14,28164694,2018:04DSLDual,4280.40,N/A,2018:04DSLDual Sensory Loss,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884A6002,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-14,28164696,2018:04FTIFrail,127689.09,N/A,2018:04FTIFrailty And/Or Temporary Illness,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884A6001,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-14,28164698,2018:04HI Heari,2080.32,N/A,2018:04HI Hearing Impairment,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884A6002,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-14,28164699,2018:04LD Learn,259986.37,N/A,2018:04LD Learning Disabilities,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884B6003,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-14,28164701,2018:04MH Menta,23338.21,N/A,2018:04MH Mental Health (Except Dementia),,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884C6004,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-14,28164703,2018:04OV Other,29758.76,N/A,2018:04OV Other Vulnerable People,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884D6005,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-14,28164705,2018:04PD Physi,303560.37,N/A,2018:04PD Physically Disabled,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884A6002,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-14,28164708,2018:04VI Visua,9929.12,N/A,2018:04VI Visual Impairment,,,Personal Budgets,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care",Transfer Payments - School Children And Students,884A6002,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-01,28131846,52048781,1085.96,N/A,@first parts solutions - Brunel Ford,,,S119515,,Economy and Environment (obsolete)-Transport Services,Direct Transport Costs,780330643216,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-01,28131847,52048781,42.88,N/A,@first parts solutions - Brunel Ford,,,S119515,,Economy and Environment (obsolete)-Transport Services,Direct Transport Costs,780330643216,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-06,28137622,52079522,559.06,N/A,@first parts solutions - Brunel Ford,,,S119515,,Economy and Environment (obsolete)-Transport Services,Direct Transport Costs,780330643100,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-05,28135823,9472,2392.00,N/A,A Ashworth & Son Landscapes Ltd,01203270,,S202,,Economy and Environment (obsolete)-Housing Services - Capital,Other Fees,53037290,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-06,28137721,9473,700.00,N/A,A Ashworth & Son Landscapes Ltd,01203270,,S202,,Communities & Service Support (obsolete)-Sport & Countryside,Repairs Alterations And Maintenance Of Buildings Fixed Plant And Grounds,02602040,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-20,28190124,9497,694.00,N/A,A Ashworth & Son Landscapes Ltd,01203270,,S202,,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care - Capital",Fixtures and Fittings,47500040,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-20,28189980,9498,540.00,N/A,A Ashworth & Son Landscapes Ltd,01203270,,S202,,Communities & Service Support (obsolete)-Recreation & Support,Repairs Alterations And Maintenance Of Buildings Fixed Plant And Grounds,06102040,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-26,28198323,9482,3455.00,N/A,A Ashworth & Son Landscapes Ltd,01203270,,S202,,Communities & Service Support (obsolete)-Sport & Leisure Management DSO,Customer And Client Receipts,92609400,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-28,28201682,29,5469.50,N/A,A Class Taxis Ltd,,,S315919,,Economy and Environment (obsolete)-Transport Services,Contract Hire And Operating Leases,78523218,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-22,28193551,00144,19500.00,N/A,A J Rowe,,,S195184,,Children and Young People (obsolete)-Schools and Children's Services - Non-School,Rent And Rates,68T42300,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-25,28195417,00145,936.57,N/A,A J Rowe,,,S195184,,Children and Young People (obsolete)-Schools and Children's Services - Non-School,Premises Insurance,68T42800,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-08,28140392,29991,60.00,N/A,ABC Direct Ltd,,,S213289,,Communities & Service Support (obsolete)-Museums & Arts,Equipment Furniture And Materials,12414020,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-08,28140391,29991,820.00,N/A,ABC Direct Ltd,,,S213289,,Communities & Service Support (obsolete)-Museums & Arts,Equipment Furniture And Materials,12414020,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-25,28195405,28352259,41182.63,N/A,AECOM,,,S211979,,Economy and Environment (obsolete)-Highways & Engineering Services - Capital,Consultant Fees,57014N72,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-29,28204201,28349379,0.04,N/A,AECOM,,,S211979,,Economy and Environment (obsolete)-Highways & Engineering Services - Capital,Consultant Fees,57012A72,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-29,28204199,28349379,49474.95,N/A,AECOM,,,S211979,,Economy and Environment (obsolete)-Highways & Engineering Services - Capital,Consultant Fees,57010272852B,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-29,28204200,28349379,20528.05,N/A,AECOM,,,S211979,,Economy and Environment (obsolete)-Highways & Engineering Services - Capital,Consultant Fees,57010272852C,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2018-06-29,28204197,28349379,17760.00,N/A,AECOM,,,S211979,,Economy and Environment (obsolete)-Highways & Engineering Services - Capital,Consultant Fees,57012A72,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices
