Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2011-02-01,35729.76,"Adults, Health and Social Care-Adult Health & Social Care",2010:12D  Dementia,,
2011-02-01,1660.80,"Adults, Health and Social Care-Adult Health & Social Care",2010:12DSLDual Sensory Loss,,
2011-02-01,163249.98,"Adults, Health and Social Care-Adult Health & Social Care",2010:12FTIFrailty And/Or Temporary Illness,,
2011-02-01,57836.69,"Adults, Health and Social Care-Adult Health & Social Care",2010:12LD Learning Disabilities,,
2011-02-01,3816.80,"Adults, Health and Social Care-Adult Health & Social Care",2010:12MH Mental Health (Except Dementia),,
2011-02-01,3238.80,"Adults, Health and Social Care-Adult Health & Social Care",2010:12OV Other Vulnerable People,,
2011-02-01,239980.20,"Adults, Health and Social Care-Adult Health & Social Care",2010:12PD Physically Disabled,,
2011-02-01,9840.80,"Adults, Health and Social Care-Adult Health & Social Care",2010:12VI Visual Impairment,,
2011-02-03,1302.61,Deputy Chief Executive-School & Welfare Catering DSO - South,A & M,,
2011-02-10,1669.19,Deputy Chief Executive-School & Welfare Catering DSO - South,A & M,,
2011-02-17,1733.52,Deputy Chief Executive-School & Welfare Catering DSO - South,A & M,,
2011-02-14,535.00,Children and Young People-Schools and Children's Services - Non-School,A Ashworth & Son Landscapes Ltd,,
2011-02-14,597.50,Safer and Stronger-Libraries Info & Tourism,A Ashworth & Son Landscapes Ltd,,
2011-02-14,952.00,Children and Young People-Children and Young People's Serv - Central Depts.,A Ashworth & Son Landscapes Ltd,,
2011-02-21,1039.39,Economy and Environment-Markets,A Ashworth & Son Landscapes Ltd,,
2011-02-21,1059.15,Children and Young People-Schools and Children's Services - Non-School,A Ashworth & Son Landscapes Ltd,,
2011-02-24,1401.67,Economy and Environment-Housing Services - Capital,A Ashworth & Son Landscapes Ltd,,
2011-02-07,950.00,Children and Young People-Childrens Care Services,A J Wrottesley,,
2011-02-03,720.50,"Adults, Health and Social Care-Adult Health & Social Care",A S M Accessories Ltd,,
2011-02-10,562.50,Children and Young People-Childrens Services Unit,ABC Day Nursery,,
2011-02-24,1146.99,Children and Young People-Childrens Services Unit,ABC Day Nursery,,
2011-02-28,720.00,Children and Young People-Childrens Services Unit,ABC Day Nursery,,
2011-02-07,444.33,Economy and Environment-Markets,ADT Fire&Security,,
2011-02-21,614.66,Safer and Stronger-Museums & Arts,ADT Fire&Security,,
2011-02-10,10000.00,Economy and Environment-Housing Services - Capital,AJK Construction Ltd,,
2011-02-10,501.60,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2011-02-10,188.64,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2011-02-10,141.48,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2011-02-10,487.32,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2011-02-10,227.40,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2011-02-10,365.60,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2011-02-10,377.28,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2011-02-10,31.44,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2011-02-10,141.48,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2011-02-10,251.52,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2011-02-10,292.48,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
