Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2016-04-28,5.75,Children and Young People-Childrens Care Services,43036255 COSTA COFFEE,,
2016-05-19,14.00,Communities & Service Support-Safer Cleaner Greener,A-Z MOTOR FACTORS,,
2016-05-04,130.00,Children and Young People-Children and Young People's Serv - Central Depts.,ADOPTION PLUS,,
2016-05-26,130.00,Children and Young People-Children and Young People's Serv - Central Depts.,ADOPTION PLUS,,
2016-04-29,10.76,Children and Young People-Schools and Children's Services - Non-School,ALDI,,
2016-05-10,10.54,Children and Young People-Schools and Children's Services - Non-School,ALDI,,
2016-05-11,3.08,Children and Young People-Schools and Children's Services - Non-School,ALDI,,
2016-05-11,14.45,Children and Young People-Schools and Children's Services - Non-School,ALDI,,
2016-05-23,20.89,Children and Young People-Schools and Children's Services - Non-School,ALDI,,
2016-05-09,17.32,"Adults, Health and Social Care-Adult Health & Social Care",ALDI,,
2016-05-16,27.38,"Adults, Health and Social Care-Adult Health & Social Care",ALDI,,
2016-05-18,3.56,"Adults, Health and Social Care-Adult Health & Social Care",ALDI,,
2016-05-24,5.10,"Adults, Health and Social Care-Adult Health & Social Care",ALDI,,
2016-04-05,13.43,"Adults, Health and Social Care-Adult Health & Social Care",ALDI,,
2016-04-05,17.18,"Adults, Health and Social Care-Adult Health & Social Care",ALDI,,
2016-04-26,8.35,"Adults, Health and Social Care-Adult Health & Social Care",ALDI,,
2016-04-26,299.88,Children and Young People-Schools and Children's Services - Non-School,ALTHAMS TRAVEL,,
2016-04-29,10.95,Communities & Service Support-Customer Services and Communications,ANCESTRY.CO.UK,,
2016-05-03,61.25,Communities & Service Support-Safer Cleaner Greener,ANDREW PAGE,,
2016-05-17,191.17,Communities & Service Support-Safer Cleaner Greener,ANDREW PAGE,,
2016-05-19,45.57,Communities & Service Support-Safer Cleaner Greener,ANDREW PAGE,,
2016-03-30,6.17,Communities & Service Support-Safer Cleaner Greener,ANDREW PAGE,,
2016-04-14,7.40,Communities & Service Support-Safer Cleaner Greener,ANDREW PAGE,,
2016-05-03,286.67,Communities & Service Support-Customer Services and Communications,APPLIANCE WORLD,,
2016-05-04,235.00,Communities & Service Support-Customer Services and Communications,APPLIANCE WORLD,,
2016-05-06,457.50,Communities & Service Support-Customer Services and Communications,APPLIANCE WORLD,,
2016-05-16,500.00,Communities & Service Support-Customer Services and Communications,APPLIANCE WORLD,,
2016-05-17,286.67,Communities & Service Support-Customer Services and Communications,APPLIANCE WORLD,,
2016-05-09,25.54,Economy and Environment-Planning & Building Control,ARCO LTD,,
2016-05-12,21.63,Children and Young People-Childrens Care Services,ARGOS LTD,,
2016-05-12,6.66,Children and Young People-Childrens Care Services,ARGOS LTD,,
2016-05-20,19.97,"Adults, Health and Social Care-Adult Health & Social Care",ARGOS LTD,,
2016-05-19,184.95,Children and Young People-Schools and Children's Services - Non-School,ARGOS LTD,,
2016-05-20,47.49,Economy and Environment-Housing Services,ARGOS LTD,,
2016-05-20,5.82,Economy and Environment-Housing Services,ARGOS LTD,,
2016-05-04,23.32,Communities & Service Support-Sport & Leisure Management DSO,ARGOS LTD,,
2016-05-21,23.32,Communities & Service Support-Sport & Leisure Management DSO,ARGOS LTD,,
2016-05-21,23.32,Communities & Service Support-Sport & Leisure Management DSO,ARGOS LTD,,
2016-05-22,23.32,Communities & Service Support-Sport & Leisure Management DSO,ARGOS LTD,,
2016-05-22,69.97,Communities & Service Support-Sport & Leisure Management DSO,ARGOS LTD,,
2016-05-24,35.82,Children and Young People-Schools and Children's Services - Non-School,ARGOS LTD,,
