Payment Date,Benificiary Name,Amount,Organisational Unit
2016-08-19,123-REG.CO.UK,20.97,Children and Young People-Schools and Children's Services - Non-School
2016-09-15,43032170 COSTA COFFEE,6.20,Children and Young People-Childrens Care Services
2016-07-29,43036255 COSTA COFFEE,4.83,Children and Young People-Childrens Care Services
2016-08-11,43036255 COSTA COFFEE,5.62,Children and Young People-Childrens Care Services
2016-08-01,43036255 COSTA COFFEE,4.75,Children and Young People-Childrens Care Services
2016-07-12,43036255 COSTA COFFEE,4.58,Children and Young People-Childrens Care Services
2016-07-18,A ONE TOOL & FIXING LT,94.37,Economy and Environment-Housing Services
2016-06-17,A ONE TOOL & FIXING LT,204.00,Economy and Environment-Housing Services
2016-06-29,A1 NOWAZ SUPERSTOR 82439,10.00,Communities & Service Support-Community Safety & Support
2016-08-22,A5 SERVICES NI LTD,52.51,Children and Young People-Schools and Children's Services - Non-School
2016-08-03,ABS INDEPENDENT COPIER,15.91,Children and Young People-Schools and Children's Services - Non-School
2016-07-01,ACM TRAINING,119.00,Children and Young People-Children and Young People's Serv - Central Depts.
2016-08-20,ADOBE SYSTEMS SOFTWARE,149.99,Communities & Service Support-Customer Services and Communications
2016-08-08,ADRENALINE INTERNA,12.80,Children and Young People-Childrens Care Services
2016-08-27,AINLEY TOP,14.64,Children and Young People-Childrens Care Services
2016-09-01,AKBARS THE CAFE,30.60,Children and Young People-Childrens Care Services
2016-08-25,ALDI,1.68,Children and Young People-Childrens Care Services
2016-08-10,ALDI,36.04,Children and Young People-Childrens Care Services
2016-08-23,ALDI,25.82,Children and Young People-Childrens Care Services
2016-06-28,ALDI,5.61,Children and Young People-Schools and Children's Services - Non-School
2016-07-08,ALDI,7.48,Children and Young People-Schools and Children's Services - Non-School
2016-07-11,ALDI,9.62,Children and Young People-Schools and Children's Services - Non-School
2016-07-19,ALDI,15.93,Children and Young People-Schools and Children's Services - Non-School
2016-07-01,ALDI,13.42,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-27,ALDI,3.44,Children and Young People-Childrens Care Services
2016-09-05,ALDI,6.66,Children and Young People-Schools and Children's Services - Non-School
2016-09-14,ALDI,13.82,Children and Young People-Schools and Children's Services - Non-School
2016-09-16,ALDI,18.41,Children and Young People-Schools and Children's Services - Non-School
2016-09-16,ALDI,20.75,Children and Young People-Schools and Children's Services - Non-School
2016-09-23,ALDI,12.21,Children and Young People-Schools and Children's Services - Non-School
2016-09-23,ALDI,11.09,Children and Young People-Schools and Children's Services - Non-School
2016-09-23,ALDI,1.86,Children and Young People-Schools and Children's Services - Non-School
2016-09-26,ALDI,12.14,Children and Young People-Schools and Children's Services - Non-School
2016-07-28,AMAZON UK RETAIL AMAZON.C,14.46,Communities & Service Support-Libraries Info & Tourism
2016-07-21,AMAZON UK RETAIL AMAZON.C,59.57,Communities & Service Support-Customer Services and Communications
2016-08-13,AMAZON UK RETAIL AMAZON.C,6.98,Communities & Service Support-Museums & Arts
2016-08-02,AMAZON UK RETAIL AMAZON.C,8.58,Communities & Service Support-Libraries Info & Tourism
2016-08-04,AMAZON UK RETAIL AMAZON.C,13.73,Communities & Service Support-Museums & Arts
2016-07-29,AMAZON UK RETAIL AMAZON.C,61.28,Children and Young People-Childrens Care Services
2016-07-30,AMAZON UK RETAIL AMAZON.C,5.74,Children and Young People-Childrens Care Services
2016-08-24,AMAZON UK RETAIL AMAZON.C,38.87,Children and Young People-Childrens Care Services
2016-08-22,AMAZON UK RETAIL AMAZON.C,37.51,Children and Young People-Childrens Services Unit
2016-08-23,AMAZON UK RETAIL AMAZON.C,19.54,Economy and Environment-Regeneration
2016-08-02,AMAZON UK RETAIL AMAZON.C,25.03,Communities & Service Support-Libraries Info & Tourism
2016-08-16,AMAZON UK RETAIL AMAZON.C,6.29,Communities & Service Support-Libraries Info & Tourism
2016-08-16,AMAZON UK RETAIL AMAZON.C,50.01,Communities & Service Support-Libraries Info & Tourism
2016-08-17,AMAZON UK RETAIL AMAZON.C,6.29,Communities & Service Support-Libraries Info & Tourism
2016-08-22,AMAZON UK RETAIL AMAZON.C,12.58,Communities & Service Support-Libraries Info & Tourism
2016-08-22,AMAZON UK RETAIL AMAZON.C,11.98,Communities & Service Support-Libraries Info & Tourism
2016-08-05,AMAZON UK RETAIL AMAZON.C,9.98,Communities & Service Support-Libraries Info & Tourism
2016-08-11,AMAZON UK RETAIL AMAZON.C,5.32,Communities & Service Support-Libraries Info & Tourism
2016-07-04,AMF BOWLING,16.97,Children and Young People-Childrens Care Services
2016-07-29,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2016-07-09,APCOA - NWR LEEDS,4.58,Children and Young People-Childrens Care Services
2016-07-13,APPLIANCE WORLD,75.00,"Adults, Health and Social Care-Adult Health & Social Care"
2016-06-16,APPLIANCE WORLD,250.00,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-03,ARGOS LTD,309.98,Children and Young People-Childrens Care Services
2016-08-03,ARGOS LTD,69.99,Children and Young People-Childrens Care Services
2016-08-03,ARGOS LTD,29.14,Children and Young People-Childrens Care Services
2016-05-17,ARGOS LTD,112.49,Children and Young People-Childrens Care Services
2016-06-06,ARGOS LTD,28.32,Children and Young People-Childrens Care Services
2016-05-16,ARGOS LTD,13.72,Children and Young People-Childrens Care Services
2016-04-25,ARGOS LTD,39.00,Children and Young People-Childrens Care Services
2016-04-25,ARGOS LTD,39.00,Children and Young People-Childrens Care Services
2016-07-25,ARGOS LTD,43.65,Communities & Service Support-Safer Cleaner Greener
2016-06-10,ARGOS LTD,13.32,"Adults, Health and Social Care-Adult Health & Social Care"
2016-06-29,ARGOS LTD,32.47,"Adults, Health and Social Care-Adult Health & Social Care"
2016-07-25,ARGOS LTD,44.54,"Adults, Health and Social Care-Adult Health & Social Care"
2016-07-31,ARGOS LTD,83.32,Communities & Service Support-Museums & Arts
2016-07-28,ARGOS LTD,20.82,Communities & Service Support-Libraries Info & Tourism
2016-06-07,ARGOS LTD,33.32,Children and Young People-Schools and Children's Services - Non-School
2016-08-03,ARGOS LTD,160.78,Children and Young People-Childrens Care Services
2016-08-03,ARGOS LTD,24.99,Children and Young People-Childrens Care Services
2016-08-15,ARGOS LTD,249.99,Children and Young People-Schools and Children's Services - Non-School
2016-07-20,ARGOS LTD,41.64,Children and Young People-Schools and Children's Services - Non-School
2016-07-20,ARGOS LTD,291.65,Children and Young People-Schools and Children's Services - Non-School
2016-08-30,ARGOS LTD,16.63,Children and Young People-Childrens Care Services
2016-08-26,ARGOS LTD,7.49,Children and Young People-Childrens Care Services
2016-09-20,ARGOS LTD,68.72,Children and Young People-Schools and Children's Services - Non-School
2016-08-15,ARGOS RETAIL GROUP,19.99,Children and Young People-Childrens Services Unit
2016-03-31,ARGOS RETAIL GROUP,45.60,Children and Young People-Childrens Care Services
2016-08-04,ARGOS RETAIL GROUP,199.98,Economy and Environment-Highways and Engineering Services
2016-08-09,ARGOS RETAIL GROUP,73.93,Communities & Service Support-Libraries Info & Tourism
2016-08-09,ARGOS RETAIL GROUP,20.82,Children and Young People-Childrens Care Services
2016-08-22,ARGOS RETAIL GROUP,79.98,Children and Young People-Childrens Care Services
2016-08-08,ARTY PARTY,37.50,Communities & Service Support-Sport & Leisure Management DSO
2016-08-10,ASDA STORE,6.51,Children and Young People-Children and Young People's Serv - Central Depts.
2016-08-12,ASDA STORE,6.83,Children and Young People-Childrens Care Services
2016-08-15,ASDA STORE,79.15,Children and Young People-Childrens Care Services
2016-08-01,ASDA STORE,156.98,Children and Young People-Childrens Care Services
2016-08-07,ASDA STORE,45.28,Children and Young People-Childrens Care Services
2016-07-31,ASDA STORE,29.15,Children and Young People-Childrens Care Services
2016-07-31,ASDA STORE,18.00,Children and Young People-Childrens Care Services
2016-08-06,ASDA STORE,4.17,Children and Young People-Childrens Care Services
2016-08-10,ASDA STORE,21.35,Children and Young People-Childrens Care Services
2016-08-17,ASDA STORE,208.81,Children and Young People-Childrens Care Services
2016-08-19,ASDA STORE,3.00,Children and Young People-Childrens Care Services
2016-08-19,ASDA STORE,6.77,Children and Young People-Childrens Care Services
2016-08-24,ASDA STORE,142.67,Children and Young People-Childrens Care Services
2016-08-01,ASDA STORE,43.00,Children and Young People-Childrens Care Services
2016-08-12,ASDA STORE,49.19,Children and Young People-Childrens Care Services
2016-08-24,ASDA STORE,58.72,Children and Young People-Childrens Care Services
2016-08-25,ASDA STORE,53.30,Children and Young People-Childrens Care Services
2016-08-10,ASDA STORE,12.20,Children and Young People-Childrens Care Services
2016-07-23,ASDA STORE,25.00,Children and Young People-Childrens Care Services
2016-07-11,ASDA STORE,24.27,Children and Young People-Childrens Care Services
2016-07-26,ASDA STORE,7.47,Children and Young People-Childrens Care Services
2016-07-26,ASDA STORE,4.35,Children and Young People-Childrens Care Services
2016-07-01,ASDA STORE,10.81,Children and Young People-Childrens Care Services
2016-07-04,ASDA STORE,40.48,Children and Young People-Childrens Care Services
2016-07-22,ASDA STORE,22.10,Children and Young People-Childrens Care Services
2016-07-22,ASDA STORE,5.00,Children and Young People-Childrens Care Services
2016-07-25,ASDA STORE,156.21,Children and Young People-Childrens Care Services
2016-07-25,ASDA STORE,30.10,Children and Young People-Childrens Care Services
2016-07-04,ASDA STORE,94.31,Children and Young People-Childrens Care Services
2016-07-12,ASDA STORE,161.94,Children and Young People-Childrens Care Services
2016-07-18,ASDA STORE,3.56,Children and Young People-Childrens Care Services
2016-07-21,ASDA STORE,37.93,Children and Young People-Childrens Care Services
2016-06-08,ASDA STORE,14.23,Children and Young People-Childrens Care Services
2016-06-08,ASDA STORE,8.77,Children and Young People-Childrens Care Services
2016-06-20,ASDA STORE,141.70,Children and Young People-Childrens Care Services
