Body,Body Name,Transaction Date,Transaction number,Supplier Name,Net Amount,Merchant Category,Merchant Category Group,Expense Area,Expense Type,Expense Code
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-07,75574,3 TIER CAKES,26.75,Bakeries,Catering And Catering Supplies,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-13,75781,3 TIER CAKES,23.90,Bakeries,Catering And Catering Supplies,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-25,75152,3 TIER CAKES,25.69,Bakeries,Catering And Catering Supplies,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-08,75589,43035580 COSTA COFFEE,7.33,Fast Food Restaurants,Restaurants And Bars,Children and Young People-Childrens Care Services,Miscellaneous Expenses,72724821
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-23,76149,43036255 COSTA COFFEE,9.29,Fast Food Restaurants,Restaurants And Bars,Children and Young People-Childrens Care Services,Miscellaneous Expenses,72724821
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-02,75395,43036255 COSTA COFFEE,7.08,Fast Food Restaurants,Restaurants And Bars,Children and Young People-Childrens Care Services,Miscellaneous Expenses,72704821
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-26,76210,ABSOLUTEPRODUCT.CO,223.07,Commercial Furniture,Office Stationery Equipment And Supplies,Communities & Service Support-Museums & Arts,Equipment Furniture And Materials,12324021DC
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-21,76042,ADRENALINE INTERNA,166.67,Member Clubs/Sport/Rec/Golf,Leisure Activities,Children and Young People-Schools and Children's Services - Non-School,Miscellaneous Expenses,686P4826
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-21,76043,ADRENALINE INTERNA,66.67,Member Clubs/Sport/Rec/Golf,Leisure Activities,Children and Young People-Schools and Children's Services - Non-School,Miscellaneous Expenses,686P4826
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-03,75431,AINLEY TOP,15.23,Restaurants,Restaurants And Bars,Children and Young People-Childrens Care Services,Services,72214421
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-05,75465,ALDI,18.22,Grocery Stores,General Retail And Wholesale,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-05,75466,ALDI,3.04,Grocery Stores,General Retail And Wholesale,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-07,75562,ALDI,14.13,Grocery Stores,General Retail And Wholesale,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-13,75772,ALDI,8.89,Grocery Stores,General Retail And Wholesale,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-12,75773,ALDI,2.17,Grocery Stores,General Retail And Wholesale,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-19,75974,ALDI,12.14,Grocery Stores,General Retail And Wholesale,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-20,76020,ALDI,10.38,Grocery Stores,General Retail And Wholesale,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-21,76061,ALDI,7.24,Grocery Stores,General Retail And Wholesale,Children and Young People-Schools and Children's Services - Non-School,Equipment Furniture And Materials,68MA4017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-12,75717,AMAZON UK PRIME AMZN.CO.U,7.99,Continuity/Subscription Mercht,Mail Order / Direct Selling,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08144017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-23,75066,AMAZON UK RETAIL AMAZON.C,19.82,Misc Speciality Retail,General Retail And Wholesale,Children and Young People-Childrens Care Services,Equipment Furniture And Materials,72324005
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-04-21,73901,AMAZON UK RETAIL AMAZON.C,11.17,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Sport & Leisure Management DSO,Equipment Furniture And Materials,92554020
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-04-20,73911,AMAZON UK RETAIL AMAZON.C,8.21,Misc Speciality Retail,General Retail And Wholesale,Children and Young People-Childrens Care Services,Equipment Furniture And Materials,72324005
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-04,74354,AMAZON UK RETAIL AMAZON.C,12.23,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-11,74569,AMAZON UK RETAIL AMAZON.C,19.99,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-16,74791,AMAZON UK RETAIL AMAZON.C,39.96,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-26,75218,AMAZON UK RETAIL AMAZON.C,47.49,Misc Speciality Retail,General Retail And Wholesale,Children and Young People-Children and Young People's Serv - Central Depts.,Equipment Furniture And Materials,60624020
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-04-20,73970,AMAZON UK RETAIL AMAZON.C,59.70,Misc Speciality Retail,General Retail And Wholesale,Children and Young People-Children and Young People's Serv - Central Depts.,Equipment Furniture And Materials,60624011
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-04-24,74058,AMAZON UK RETAIL AMAZON.C,23.05,Misc Speciality Retail,General Retail And Wholesale,Children and Young People-Children and Young People's Serv - Central Depts.,Equipment Furniture And Materials,60624020
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-04-26,74095,AMAZON UK RETAIL AMAZON.C,14.97,Misc Speciality Retail,General Retail And Wholesale,Children and Young People-Children and Young People's Serv - Central Depts.,Equipment Furniture And Materials,60624020
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-30,75301,AMAZON UK RETAIL AMAZON.C,39.98,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08104020
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-28,75225,AMAZON UK RETAIL AMAZON.C,8.99,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-29,75226,AMAZON UK RETAIL AMAZON.C,7.99,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-29,75244,AMAZON UK RETAIL AMAZON.C,17.98,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-29,75245,AMAZON UK RETAIL AMAZON.C,8.99,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-04,75380,AMAZON UK RETAIL AMAZON.C,6.39,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-03,75400,AMAZON UK RETAIL AMAZON.C,9.50,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08314017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-22,74984,AMAZON UK RETAIL AMAZON.C,13.87,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Customer Services and Communications,Equipment Furniture And Materials (Cont),10404174
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-04-04,73338,AMAZON UK RETAIL AMAZON.C,112.50,Misc Speciality Retail,General Retail And Wholesale,Deputy Chief Executive-ICT Services,Communications And Computers,2A314592
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-04-04,73339,AMAZON UK RETAIL AMAZON.C,19.99,Misc Speciality Retail,General Retail And Wholesale,Deputy Chief Executive-ICT Services,Expenses,2A291600
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-04-20,73849,AMAZON UK RETAIL AMAZON.C,164.97,Misc Speciality Retail,General Retail And Wholesale,Deputy Chief Executive-ICT Services,Expenses,2A291601
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-23,75014,AMAZON.CO.UK,11.26,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-25,76202,AMAZON.CO.UK,22.25,Misc Speciality Retail,General Retail And Wholesale,Children and Young People-Schools and Children's Services - Non-School,Expenses,68T44601
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-12,75718,AMAZON.CO.UK,78.93,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08144017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-06-13,75784,AMAZON.CO.UK,13.12,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08144017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-30,75246,AMAZON.CO.UK,38.92,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2017-05-31,75287,AMAZON.CO.UK,14.19,Misc Speciality Retail,General Retail And Wholesale,Communities & Service Support-Libraries Info & Tourism,Equipment Furniture And Materials,08154017
