"Body","Organisation Name","Date","Internal Ref Number","Invoice Number","Net Amount","Irrecoverable VAT","Supplier(Beneficiary) Name","Supplier Registered Company Number","Supplier Registered Charity Number","Supplier ID","VAT Registration Number","Expense Area","Procurement Classification: Council's Procurement Category Name","Expense Code","BVACOP","Proclass","Extended Description","Source","Subsource","Definition","Purpose of Spend (Summary)"
"http://statistics.data.gov.uk/doc/local-authority-district/00CY","The Borough of Calderdale","26/06/2015","24940210","L2SLES","620.00","N/A"," Church Lane Surgery","","","S122316","","Chief Executive's Office (obsolete)-Public Health","Private Contractors","44045501","","","","IV","AP","Accounts Payable Invoices","Payment of accounts payable invoices"
"http://statistics.data.gov.uk/doc/local-authority-district/00CY","The Borough of Calderdale","16/06/2015","24886195","2015:03D  Demen","27087.90","N/A","2015:03D  Dementia","","","Personal Budgets","","Adult Services and Wellbeing-Adult Health & Social Care","Transfer Payments Individual Service Funds","884A6501","","","","CQ","PB","Personal Budgets","Direct payments to service users assessed as needing service provision"
"http://statistics.data.gov.uk/doc/local-authority-district/00CY","The Borough of Calderdale","16/06/2015","24886197","2015:03FTIFrail","252840.26","N/A","2015:03FTIFrailty And/Or Temporary Illness","","","Personal Budgets","","Adult Services and Wellbeing-Adult Health & Social Care","Transfer Payments Individual Service Funds","884A6501","","","","CQ","PB","Personal Budgets","Direct payments to service users assessed as needing service provision"
"http://statistics.data.gov.uk/doc/local-authority-district/00CY","The Borough of Calderdale","16/06/2015","24886198","2015:03HI Heari","1411.60","N/A","2015:03HI Hearing Impairment","","","Personal Budgets","","Adult Services and Wellbeing-Adult Health & Social Care","Transfer Payments Individual Service Funds","884A6502","","","","CQ","PB","Personal Budgets","Direct payments to service users assessed as needing service provision"
"http://statistics.data.gov.uk/doc/local-authority-district/00CY","The Borough of Calderdale","16/06/2015","24886199","2015:03LD Learn","61920.74","N/A","2015:03LD Learning Disabilities","","","Personal Budgets","","Adult Services and Wellbeing-Adult Health & Social Care","Transfer Payments Individual Service Funds","884B6503","","","","CQ","PB","Personal Budgets","Direct payments to service users assessed as needing service provision"
"http://statistics.data.gov.uk/doc/local-authority-district/00CY","The Borough of Calderdale","16/06/2015","24886200","2015:03MH Menta","2194.88","N/A","2015:03MH Mental Health (Except Dementia)","","","Personal Budgets","","Adult Services and Wellbeing-Adult Health & Social Care","Transfer Payments Individual Service Funds","884C6504","","","","CQ","PB","Personal Budgets","Direct payments to service users assessed as needing service provision"
"http://statistics.data.gov.uk/doc/local-authority-district/00CY","The Borough of Calderdale","16/06/2015","24886201","2015:03OV Other","9210.41","N/A","2015:03OV Other Vulnerable People","","","Personal Budgets","","Adult Services and Wellbeing-Adult Health & Social Care","Transfer Payments Individual Service Funds","884A6505","","","","CQ","PB","Personal Budgets","Direct payments to service users assessed as needing service provision"
"http://statistics.data.gov.uk/doc/local-authority-district/00CY","The Borough of Calderdale","16/06/2015","24886202","2015:03PD Physi","69219.92","N/A","2015:03PD Physically Disabled","","","Personal Budgets","","Adult Services and Wellbeing-Adult Health & Social Care","Transfer Payments Individual Service Funds","884A6502","","","","CQ","PB","Personal Budgets","Direct payments to service users assessed as needing service provision"
"http://statistics.data.gov.uk/doc/local-authority-district/00CY","The Borough of Calderdale","16/06/2015","24886203","2015:03SM Subst","813.12","N/A","2015:03SM Substance Misuse","","","Personal Budgets","","Adult Services and Wellbeing-Adult Health & Social Care","Transfer Payments Individual Service Funds","884D6505","","","","CQ","PB","Personal Budgets","Direct payments to service users assessed as needing service provision"
"http://statistics.data.gov.uk/doc/local-authority-district/00CY","The Borough of Calderdale","16/06/2015","24886204","2015:03VI Visua","3698.58","N/A","2015:03VI Visual Impairment","","","Personal Budgets","","Adult Services and Wellbeing-Adult Health & Social Care","Transfer Payments Individual Service Funds","884A6502","","","","CQ","PB","Personal Budgets","Direct payments to service users assessed as needing service provision"
