Payment Date,Amount,Benificiary Name,Organisational Unit
2016-10-13,1350.05,Church Lane Surgery,Chief Executive's Office-Public Health
2016-10-13,1311.68,Church Lane Surgery,Chief Executive's Office-Public Health
2016-10-19,600.00,2 Works TM Ltd,Economy and Environment-Highways & Engineering Services - Capital
2016-10-19,600.00,2 Works TM Ltd,Economy and Environment-Highways & Engineering Services - Capital
2016-10-04,46615.27,2016:07D  Dementia,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,245227.12,2016:07FTIFrailty And/Or Temporary Illness,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,145626.79,2016:07LD Learning Disabilities,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,21849.52,2016:07MH Mental Health (Except Dementia),"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,38537.00,2016:07OV Other Vulnerable People,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,76788.18,2016:07PD Physically Disabled,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,874.96,2016:07SM Substance Misuse,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,4106.66,2016:07VI Visual Impairment,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,33166.08,2016:08D  Dementia,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,4395.80,2016:08DSLDual Sensory Loss,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,141604.13,2016:08FTIFrailty And/Or Temporary Illness,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,2080.32,2016:08HI Hearing Impairment,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,239760.17,2016:08LD Learning Disabilities,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,22169.64,2016:08MH Mental Health (Except Dementia),"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,15523.60,2016:08OV Other Vulnerable People,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,322622.92,2016:08PD Physically Disabled,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,14172.68,2016:08VI Visual Impairment,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-05,543.38,@first parts solutions - Brunel Ford,Economy and Environment-Transport Vehicle Maintenance Workshop
2016-10-13,33.00,@first parts solutions - Brunel Ford,Economy and Environment-Transport Vehicle Maintenance Workshop
2016-10-13,396.45,@first parts solutions - Brunel Ford,Economy and Environment-Transport Vehicle Maintenance Workshop
2016-10-21,519.00,A Ashworth & Son Landscapes Ltd,Communities & Service Support-Museums & Arts
2016-10-26,671.19,A Ashworth & Son Landscapes Ltd,Communities & Service Support-Safer Cleaner Greener
2016-10-04,5000.00,REDACTED PERSONAL DATA,Chief Executive's Office-Other Services
2016-10-31,7000.00,A&B Installations Ltd,Chief Executive's Office-Other Services
2016-10-18,490.80,AAA Medics Ltd Re Leylands,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-18,1729.84,AAA Medics Ltd Re Leylands,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-03,1000.00,AHR Architects Ltd,Children and Young People-Education - Capital
2016-10-13,14576.00,AHR Architects Ltd,Children and Young People-Education - Capital
2016-10-06,1639.05,ALS Support,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-06,1113.94,ALS Support,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-07,38.40,ATS Euromaster Ltd,Communities & Service Support-Safer Cleaner Greener
2016-10-07,651.95,ATS Euromaster Ltd,Communities & Service Support-Safer Cleaner Greener
2016-10-07,445.83,ATS Euromaster Ltd,Communities & Service Support-Safer Cleaner Greener
2016-10-07,173.49,ATS Euromaster Ltd,Communities & Service Support-Safer Cleaner Greener
2016-10-07,468.29,ATS Euromaster Ltd,Communities & Service Support-Safer Cleaner Greener
2016-10-11,600.00,AV Interiors Ltd,Children and Young People-Childrens Care Services
2016-10-17,754.68,AVADO LEARNING LIM,Deputy Chief Executive-Human Resources
2016-10-17,754.20,AVADO LEARNING LIM,Deputy Chief Executive-Human Resources
2016-10-17,754.64,AVADO LEARNING LIM,Deputy Chief Executive-Human Resources
2016-10-17,754.20,AVADO LEARNING LIM,Deputy Chief Executive-Human Resources
2016-10-11,83336.13,AWM Ltd,Economy and Environment-Environmental Services
2016-10-11,0.01,AWM Ltd,Economy and Environment-Environmental Services
2016-10-11,75264.04,AWM Ltd,Economy and Environment-Environmental Services
2016-10-12,81493.93,AWM Ltd,Economy and Environment-Environmental Services
2016-10-18,508.25,AWM Ltd,Economy and Environment-Markets
2016-10-24,447.26,AWM Ltd,Economy and Environment-Markets
2016-10-28,73045.40,AWM Ltd,Economy and Environment-Environmental Services
2016-10-21,500.00,Aberration Films Limited,Communities & Service Support-Museums & Arts
2016-10-13,899.00,Accora Ltd,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-31,3047.00,Accora Ltd,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-31,439.00,Accora Ltd,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,7900.00,Acorn Analytical Services Ltd,Economy and Environment-Highways & Engineering Services - Capital
2016-10-03,11197.34,Acorn Care & Education Sales Ledger re Belmont Sch,Children and Young People-Schools and Children's Services - Non-School
2016-10-25,2989.80,Acorn House (Fostering Services) Ltd,Children and Young People-Childrens Care Services
2016-10-03,140.90,Active,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-03,662.44,Active,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-13,1500.53,Active,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-18,870.00,Active,Children and Young People-Childrens Care Services
2016-10-18,609.00,Active,Children and Young People-Childrens Care Services
2016-10-18,500.25,Active,Children and Young People-Childrens Care Services
2016-10-18,1497.60,Active,Children and Young People-Childrens Care Services
2016-10-18,998.40,Active,Children and Young People-Childrens Care Services
2016-10-19,13.20,Active,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-19,626.04,Active,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-20,10.40,Active,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-20,626.04,Active,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-20,1201.80,Active,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-20,1201.80,Active,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-18,1033.80,Aden Mount Nursing Home,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-18,1997.92,Aden Mount Nursing Home,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-03,500.00,Adoption UK,Deputy Chief Executive-Human Resources
2016-10-14,2950.00,Advancement Of Community Empowerment (CIC),Communities & Service Support-Community Safety & Support
2016-10-14,500.00,Advancement Of Community Empowerment (CIC),Communities & Service Support-Community Safety & Support
2016-10-06,10000.00,After Adoption Yorkshire,Children and Young People-Childrens Care Services
2016-10-11,3244.85,Age Uk Calderdale & Kirklees,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-11,6250.00,Age Uk Calderdale & Kirklees,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-11,3244.85,Age Uk Calderdale & Kirklees,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-11,12925.85,Age Uk Calderdale & Kirklees,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-27,359.00,Alarm Installations (Leeds),"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-27,45.00,Alarm Installations (Leeds),"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-27,450.00,Alarm Installations (Leeds),"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-13,48.42,Aldermore Invoice Finance re Key Security UK Ltd,Economy and Environment-Housing Services
2016-10-13,91.46,Aldermore Invoice Finance re Key Security UK Ltd,Economy and Environment-Housing Services
2016-10-13,126.43,Aldermore Invoice Finance re Key Security UK Ltd,Economy and Environment-Housing Services
2016-10-13,67.25,Aldermore Invoice Finance re Key Security UK Ltd,Economy and Environment-Housing Services
