Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2010-10-06,CHILD POVERTY ACTION GROUP,1329.85
Adult and Culture,2010-10-11,CITY & GUILDS OF LONDON INSTITUTE,774.00
Adult and Culture,2010-10-12,GED LAING PERSONAL SAFETY TRAINING,3017.35
Adult and Culture,2010-10-21,GED LAING PERSONAL SAFETY TRAINING,3050.95
Adult and Culture,2010-10-20,JIGSAW TRAINING,2400.00
Adult and Culture,2010-10-25,SOUTH NORTHUMBERLAND CRICKET & TENNIS CL,1018.50
Adult and Culture,2010-10-14,TYNE METROPOLITAN COLLEGE,775.00
Adult and Culture,2010-10-25,CASTLEGATE CONFERENCE SERVICES LTD,599.00
Adult and Culture,2010-10-06,COMSET LTD,1500.00
Adult and Culture,2010-10-06,COMSET LTD,3401.06
Adult and Culture,2010-10-26,FACE RECORDING & MEASUREMENT SYSTEMS LTD,2341.06
Adult and Culture,2010-10-28,LYRECO UK LTD,454.00
Adult and Culture,2010-10-14,N POWER NORTHERN LTD,1749.93
Adult and Culture,2010-10-25,NEWCASTLE PROPS,28747.50
Adult and Culture,2010-10-25,NORTHUMBRIA PROBATION BOARD,37266.86
Adult and Culture,2010-10-25,NORTHUMBRIA PROBATION BOARD,27500.00
Adult and Culture,2010-10-25,NORTHUMBRIA PROBATION BOARD,27500.00
Adult and Culture,2010-10-14,PREMIER HEALTHCARE & HYGIENE,545.00
Adult and Culture,2010-10-06,WHITEHALL CONSULTANTS (UK) LTD,2800.00
Adult and Culture,2010-10-07,APOGEE CORPORATION,842.14
Adult and Culture,2010-10-18,N POWER NORTHERN LTD,820.36
Adult and Culture,2010-10-20,N POWER NORTHERN LTD,1405.04
Adult and Culture,2010-10-13,NAAPS LTD,590.00
Adult and Culture,2010-10-26,NORTH TYNESIDE PCT,2871.35
Adult and Culture,2010-10-26,NORTH TYNESIDE PCT,1015.15
Adult and Culture,2010-10-26,NORTH TYNESIDE PCT,1015.15
Adult and Culture,2010-10-26,NORTH TYNESIDE PCT,1015.15
Adult and Culture,2010-10-07,NORTHERN HOUSING CONSORTIUM,498.00
Adult and Culture,2010-10-21,NOVAS SCARMAN GROUP LTD,6827.50
Adult and Culture,2010-10-20,PLANTS PLUS LTD,664.01
Adult and Culture,2010-09-30,POTTS PRINTERS LTD,987.00
Adult and Culture,2010-10-28,BUILDING FUTURES EAST,12945.29
Adult and Culture,2010-10-04,COMMUNITY IT ACADEMY,799.50
Adult and Culture,2010-10-04,COMMUNITY IT ACADEMY,815.98
Adult and Culture,2010-10-07,COMMUNITY IT ACADEMY,763.44
Adult and Culture,2010-10-07,COMMUNITY IT ACADEMY,506.98
Adult and Culture,2010-10-07,COMMUNITY IT ACADEMY,748.02
Adult and Culture,2010-10-07,DWP JOB CENTRE PLUS NO1A/C,10815.00
Adult and Culture,2010-10-26,NEWCASTLE SOCIETY FOR BLIND PEOPLE,619.30
Adult and Culture,2010-10-25,RECYKE Y'BIKE,1822.10
Adult and Culture,2010-10-04,YOUR HOMES NEWCASTLE,3789.45
Adult and Culture,2010-10-14,N POWER NORTHERN LTD,590.67
Adult and Culture,2010-10-25,DAVID JOHNSON TAXIS,1425.00
Adult and Culture,2010-09-30,DJ MINIBUSES,435.00
Adult and Culture,2010-10-10,DJ MINIBUSES,435.00
Adult and Culture,2010-10-13,DJ MINIBUSES,435.00
Adult and Culture,2010-09-30,LA TAXIS,640.80
Adult and Culture,2010-09-30,LA TAXIS,664.80
Adult and Culture,2010-10-10,LA TAXIS,850.00
Adult and Culture,2010-09-30,NODA TAXIS LTD,575.60
Adult and Culture,2010-09-30,NODA TAXIS LTD,586.20
Adult and Culture,2010-10-10,NODA TAXIS LTD,593.20
Adult and Culture,2010-10-18,CARECHAIR LTD,576.00
Adult and Culture,2010-09-30,NEWCASTLE AMBULANCE SERVICE,1572.00
