Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2015-11-17,ORCHARD CARE HOME .COM (3)LTD,2170.88
Environment & Regeneration,2015-11-20,THOMPSONS OF PRUDHOE LTD,360
Environment & Regeneration,2015-11-13,THOMPSONS OF PRUDHOE LTD,292.9
Environment & Regeneration,2015-11-13,THOMPSONS OF PRUDHOE LTD,588
Environment & Regeneration,2015-11-13,THOMPSONS OF PRUDHOE LTD,457.62
Environment & Regeneration,2015-11-13,THOMPSONS OF PRUDHOE LTD,3211.26
Environment & Regeneration,2015-11-13,THOMPSONS OF PRUDHOE LTD,3336
Environment & Regeneration,2015-11-13,THOMPSONS OF PRUDHOE LTD,2344.32
Environment & Regeneration,2015-11-13,THOMPSONS OF PRUDHOE LTD,5570.06
Environment & Regeneration,2015-11-13,THOMPSONS OF PRUDHOE LTD,574.49
Environment & Regeneration,2015-11-22,THOMPSONS OF PRUDHOE LTD,676.82
Environment & Regeneration,2015-11-22,THOMPSONS OF PRUDHOE LTD,2600
Environment & Regeneration,2015-11-22,THOMPSONS OF PRUDHOE LTD,406.98
Environment & Regeneration,2015-11-22,THOMPSONS OF PRUDHOE LTD,1120
Environment & Regeneration,2015-11-22,THOMPSONS OF PRUDHOE LTD,989.8
Environment & Regeneration,2015-11-22,THOMPSONS OF PRUDHOE LTD,772.2
Environment & Regeneration,2015-11-29,THOMPSONS OF PRUDHOE LTD,283.14
Environment & Regeneration,2015-11-29,THOMPSONS OF PRUDHOE LTD,2784.24
Environment & Regeneration,2015-11-13,THOMPSONS OF PRUDHOE LTD,14250.00
Environment & Regeneration,2015-11-13,THOMPSONS OF PRUDHOE LTD,2840.00
Environment & Regeneration,2015-11-15,THOMPSONS OF PRUDHOE LTD,312.00
Adult and Culture,2015-11-17,14 EIGHTH ROW,9800
Adult and Culture,2015-11-19,18 SEA VIEW VILLAS,1540
Chief Executive's,2015-11-09,1ST DINNINGTON SCOUT GROUP,2100
Adult and Culture,2015-11-24,3M UNITED KINGDOM PLC,855
Adult and Culture,2015-11-20,A LIVING TRADITION CIC,1000
Environment & Regeneration,2015-11-17,A&J KEITH LTD,49085.21
Environment & Regeneration,2015-11-24,A&J KEITH LTD,750.00
Environment & Regeneration,2015-11-24,A&J KEITH LTD,470.00
Environment & Regeneration,2015-11-24,A&J KEITH LTD,470.00
Environment & Regeneration,2015-11-24,A&J KEITH LTD,470.00
Environment & Regeneration,2015-11-10,A&J KEITH LTD,48677.52
Environment & Regeneration,2015-11-13,A&J KEITH LTD,324902.86
HRA,2015-11-06,A&J KEITH LTD,696.00
Environment & Regeneration,2015-11-20,A&S LOCKSMITHS,939
Environment & Regeneration,2015-11-16,AAA CHEMICALS LTD,251.4
Environment & Regeneration,2015-11-11,AAA CHEMICALS LTD,545.24
Adult and Culture,2015-11-03,ABBEYFIELD CASTLE FARM,5907.84
Adult and Culture,2015-11-05,ABBEYFIELD CASTLE FARM,-1617.08
Adult and Culture,2015-11-03,ABBEYFIELD THE GROVE,1969.28
Adult and Culture,2015-11-05,ABBEYFIELD THE GROVE,-677.24
Adult and Culture,2015-11-03,ABBEYMOOR,2010.56
