Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2011-06-08,LISSON GROVE BENEFITS PROGRAM,2778
Adult and Culture,2011-06-09,Redacted Personal Data,2800
Adult and Culture,2011-06-06,REED BUSINESS INFORMATION,698
Adult and Culture,2011-06-15,THE OPEN UNIVERSITY,760
Adult and Culture,2011-06-22,OLM SYSTEMS LTD,56860
Adult and Culture,2011-06-08,OLM SYSTEMS LTD,167476.05
Adult and Culture,2011-06-10,N POWER NORTHERN LTD,1484.1
Adult and Culture,2011-06-02,KAFFEL & NEWTON,1088.44
Adult and Culture,2011-06-24,NEOPOST FINANCE LTD,536.05
Adult and Culture,2011-06-10,PREMIER HEALTHCARE & HYGIENE,736
Adult and Culture,2011-06-08,TIMESCO OF LONDON LTD,809.95
Adult and Culture,2011-06-08,APOGEE CORPORATION,460.51
Adult and Culture,2011-06-08,GS TRANSPORT,674
Adult and Culture,2011-06-27,GVA GRIMLEY LLP,9937.5
Adult and Culture,2011-06-27,GVA GRIMLEY LLP,6280
Adult and Culture,2011-06-08,N POWER NORTHERN LTD,848.12
Adult and Culture,2011-06-10,N POWER NORTHERN LTD,1358.44
Adult and Culture,2011-06-10,N POWER NORTHERN LTD,574.82
Adult and Culture,2011-06-09,N POWER NORTHERN LTD,574.82
Adult and Culture,2011-06-14,BRITISH RED CROSS,14692
Adult and Culture,2011-06-03,CARE QUALITY COMMISSION,1980
Adult and Culture,2011-06-08,GS TRANSPORT,1800
Adult and Culture,2011-06-06,JOHN MONK & CO,805.66
Adult and Culture,2011-06-02,NEWCASTLE CITY COUNCIL,6139.95
Adult and Culture,2011-06-08,TYNESIDE CINEMA,965.4
Adult and Culture,2011-06-20,AGE UK NEWCASTLE,696.01
Adult and Culture,2011-06-17,AGE UK NEWCASTLE,1083.95
Adult and Culture,2011-06-17,AGE UK NEWCASTLE,524.86
Adult and Culture,2011-06-23,AGE UK NEWCASTLE,536.27
Adult and Culture,2011-06-17,AGE UK NEWCASTLE,1842.75
Adult and Culture,2011-06-17,AGE UK NEWCASTLE,1825.63
Adult and Culture,2011-06-17,AGE UK NEWCASTLE,1437.66
Adult and Culture,2011-06-14,ALLIED HEALTHCARE GROUP LTD,620.64
Adult and Culture,2011-06-15,ALLIED HEALTHCARE GROUP LTD,2178.56
Adult and Culture,2011-06-15,ALLIED HEALTHCARE GROUP LTD,2536.24
Adult and Culture,2011-06-17,ALLIED HEALTHCARE GROUP LTD,5407.16
Adult and Culture,2011-06-10,ARABELLA HEALTH STAFFING,771.42
Adult and Culture,2011-06-10,ARABELLA HEALTH STAFFING,531.29
Adult and Culture,2011-06-10,ARABELLA HEALTH STAFFING,547.15
Adult and Culture,2011-06-10,ARABELLA HEALTH STAFFING,721.9
Adult and Culture,2011-06-06,ARABELLA HEALTH STAFFING,858.24
Adult and Culture,2011-06-06,ARABELLA HEALTH STAFFING,607.15
Adult and Culture,2011-06-03,ARABELLA HEALTH STAFFING,655.46
Adult and Culture,2011-06-03,ARABELLA HEALTH STAFFING,571.56
Adult and Culture,2011-06-03,ARABELLA HEALTH STAFFING,536.6
Adult and Culture,2011-06-03,ARABELLA HEALTH STAFFING,1103.55
Adult and Culture,2011-06-03,ARABELLA HEALTH STAFFING,833.78
Adult and Culture,2011-06-03,ARABELLA HEALTH STAFFING,512.82
Adult and Culture,2011-06-03,ARABELLA HEALTH STAFFING,723.96
Adult and Culture,2011-06-03,ARABELLA HEALTH STAFFING,651.03
Adult and Culture,2011-06-03,ARABELLA HEALTH STAFFING,574.86
Adult and Culture,2011-06-07,ARABELLA HEALTH STAFFING,774.8
Adult and Culture,2011-06-17,ARABELLA HEALTH STAFFING,846.85
Adult and Culture,2011-06-17,ARABELLA HEALTH STAFFING,935.66
Adult and Culture,2011-06-17,ARABELLA HEALTH STAFFING,681.89
Adult and Culture,2011-06-17,ARABELLA HEALTH STAFFING,796.92
Adult and Culture,2011-06-09,ARABELLA HEALTH STAFFING,554.47
Adult and Culture,2011-06-15,AT HOME IN THE COMMUNITY LTD,477.6
Adult and Culture,2011-06-22,AT HOME IN THE COMMUNITY LTD,620.88
Adult and Culture,2011-06-15,AT HOME IN THE COMMUNITY LTD,477.6
Adult and Culture,2011-06-15,AT HOME IN THE COMMUNITY LTD,4218.2
Adult and Culture,2011-06-22,AT HOME IN THE COMMUNITY LTD,7307.28
Adult and Culture,2011-06-15,AT HOME IN THE COMMUNITY LTD,6056.96
Adult and Culture,2011-06-10,AZURE,576.5
Adult and Culture,2011-06-10,AZURE,1539.84
Adult and Culture,2011-06-10,AZURE,577.44
Adult and Culture,2011-06-10,AZURE,818.04
Adult and Culture,2011-06-10,AZURE,1539.84
Adult and Culture,2011-06-16,AZURE,769.92
Adult and Culture,2011-06-13,AZURE,769.92
Adult and Culture,2011-06-09,AZURE,986.4
Adult and Culture,2011-06-10,AZURE,576.51
Adult and Culture,2011-06-10,AZURE,505.26
Adult and Culture,2011-06-10,AZURE,1190.97
Adult and Culture,2011-06-10,AZURE,1130.8
Adult and Culture,2011-06-10,AZURE,769.92
Adult and Culture,2011-06-10,AZURE,1443.6
Adult and Culture,2011-06-08,AZURE,1070.66
Adult and Culture,2011-06-08,AZURE,849.65
Adult and Culture,2011-06-20,AZURE,806.01
Adult and Culture,2011-06-09,AZURE,866.16
Adult and Culture,2011-06-10,CAMPHILL VILLAGE TRUST,1410.76
Adult and Culture,2011-06-10,CAMPHILL VILLAGE TRUST,1410.76
Adult and Culture,2011-06-10,CAMPHILL VILLAGE TRUST,1410.76
Adult and Culture,2011-06-24,CARE UK HOMECARE,3343.05
Adult and Culture,2011-06-07,CARE UK HOMECARE,3517.47
Adult and Culture,2011-06-07,CARELINE HOMECARE LTD,1951.68
Adult and Culture,2011-06-07,CAREWATCH (NEWCASTLE UPON TYNE),2364.36
Adult and Culture,2011-06-08,CAREWATCH (NEWCASTLE UPON TYNE),1727.87
Adult and Culture,2011-06-08,CAREWATCH (NEWCASTLE UPON TYNE),2546.88
Adult and Culture,2011-06-16,COQUET TRUST,1407.51
Adult and Culture,2011-06-16,COQUET TRUST,6432.19
Adult and Culture,2011-06-16,COQUET TRUST,3368.4
Adult and Culture,2011-06-16,COQUET TRUST,866.16
Adult and Culture,2011-06-16,COQUET TRUST,529.32
Adult and Culture,2011-06-17,COQUET TRUST,505.26
Adult and Culture,2011-06-16,COQUET TRUST,2285.7
Adult and Culture,2011-06-16,COQUET TRUST,511.28
Adult and Culture,2011-06-16,COQUET TRUST,842.1
Adult and Culture,2011-06-07,DEMENTIA CARE PARTNERSHIP,2114.27
Adult and Culture,2011-06-06,DIMENSIONS (UK) LTD,2798.96
