Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2016-10-18,14 EIGHTH ROW,9800.00
Adult and Culture,2016-10-18,18 SEA VIEW VILLAS,1540.00
Children's Services,2016-10-18,A SIGNIFICANT OTHER LTD,14320.00
Environment & Regeneration,2016-10-19,A&J KEITH LTD,66753.50
Environment & Regeneration,2016-10-13,A&J KEITH LTD,65536.68
Environment & Regeneration,2016-10-13,A&J KEITH LTD,10936.75
Chief Executive's,2016-10-19,AA GLOBAL LANGUAGES SERVICES LTD,175.00
Chief Executive's,2016-10-19,AA GLOBAL LANGUAGES SERVICES LTD,340.00
Chief Executive's,2016-10-07,AA GLOBAL LANGUAGES SERVICES LTD,543.00
Chief Executive's,2016-10-07,AA GLOBAL LANGUAGES SERVICES LTD,227.00
Environment & Regeneration,2016-10-04,AAA CHEMICALS LTD,531.00
Environment & Regeneration,2016-10-26,AAA CHEMICALS LTD,484.00
Environment & Regeneration,2016-10-12,AAA CHEMICALS LTD,364.48
Adult and Culture,2016-10-05,AAT (GB) LTD,3685.00
Adult and Culture,2016-10-04,ABBEYFIELD CASTLE FARM,4283.36
Adult and Culture,2016-10-04,ABBEYFIELD CASTLE FARM,-1018.60
Adult and Culture,2016-10-04,ABBEYMOOR,3025.00
Adult and Culture,2016-10-04,ABBEYMOOR,4475.43
Adult and Culture,2016-10-04,ABBEYMOOR,2848.00
Adult and Culture,2016-10-04,ABBEYMOOR,6848.00
Adult and Culture,2016-10-04,ABBEYMOOR,-2074.54
Adult and Culture,2016-10-04,ABBEYMOOR,534.46
Adult and Culture,2016-10-04,ABBEYMOOR,-793.84
Adult and Culture,2016-10-18,ABIGAIL LODGE,5043.41
Adult and Culture,2016-10-18,ABIGAIL LODGE,-1244.17
Environment & Regeneration,2016-10-28,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,400.70
Adult and Culture,2016-10-26,ABSOLUTE QUALITY CARE,27339.00
Adult and Culture,2016-10-26,ABSOLUTE QUALITY CARE,1787.50
Adult and Culture,2016-10-26,ABSOLUTE QUALITY CARE,8606.00
Adult and Culture,2016-10-26,ABSOLUTE QUALITY CARE,1651.00
Adult and Culture,2016-10-05,ACCOUNTABILITY,2782.00
Environment & Regeneration,2016-10-13,ACP,6231.90
Environment & Regeneration,2016-10-27,ACP,4041.06
Environment & Regeneration,2016-10-06,ACROL AIR CONDITIONING CO LTD,390.02
Children's Services,2016-10-18,ACTION FOR CHILDREN,14096.00
Adult and Culture,2016-10-21,ACTION ON HEARING LOSS,403.96
Children's Services,2016-10-18,ACTIVE ARK,44135.00
Children's Services,2016-10-18,ACTIVE ARK,665.00
Adult and Culture,2016-10-18,ACTIVE HORIZONS LTD,3592.00
Environment & Regeneration,2016-10-20,AD MERCHANDISE LTD,307.50
Environment & Regeneration,2016-10-31,ADBAND,567.00
Adult and Culture,2016-10-26,ADELPHI HOTEL,1440.00
Children's Services,2016-10-25,ADMIRE TAXIS,985.00
Environment & Regeneration,2016-10-17,ADT FIRE & SECURITY,660.92
Environment & Regeneration,2016-10-26,ADT FIRE & SECURITY,380.04
Chief Executive's,2016-10-27,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,950.00
Chief Executive's,2016-10-27,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,1900.00
Chief Executive's,2016-10-19,ADVANCED LEGAL LTD,1215.00
Environment & Regeneration,2016-10-28,ADVANCED WATER TECHNOLOGIES,265.00
Environment & Regeneration,2016-10-28,ADVANCED WATER TECHNOLOGIES,1100.00
Chief Executive's,2016-10-26,ADVANTEX NETWORK SOLUTIONS LTD,30328.35
Environment & Regeneration,2016-10-17,AEBI SCHMIDT UK LTD,525.31
Environment & Regeneration,2016-10-17,AEBI SCHMIDT UK LTD,522.89
Environment & Regeneration,2016-10-05,AEBI SCHMIDT UK LTD,566.75
Environment & Regeneration,2016-10-17,AECOM,3000.00
Environment & Regeneration,2016-10-28,AECOM,28171.28
Environment & Regeneration,2016-10-28,AECOM,5518.34
Environment & Regeneration,2016-10-26,AECOM,17246.41
Adult and Culture,2016-10-25,AFTER ADOPTION,1125.00
Children's Services,2016-10-04,AFTER ADOPTION,400.00
Environment & Regeneration,2016-10-19,AGD SYSTEMS LTD,1495.00
Environment & Regeneration,2016-10-19,AGD SYSTEMS LTD,1980.00
Environment & Regeneration,2016-10-19,AGD SYSTEMS LTD,2180.00
Environment & Regeneration,2016-10-19,AGD SYSTEMS LTD,720.00
Environment & Regeneration,2016-10-19,AGD SYSTEMS LTD,720.00
Adult and Culture,2016-10-27,AGE UK NEWCASTLE,13808.20
Adult and Culture,2016-10-28,AGE UK NEWCASTLE,8983.00
Adult and Culture,2016-10-28,AGE UK NEWCASTLE,520.00
Adult and Culture,2016-10-28,AGE UK NEWCASTLE,1170.00
Adult and Culture,2016-10-28,AGE UK NEWCASTLE,1898.00
Adult and Culture,2016-10-28,AGE UK NEWCASTLE,2028.00
Adult and Culture,2016-10-26,AGE UK NEWCASTLE,2327.13
Adult and Culture,2016-10-26,AGE UK NEWCASTLE,8482.50
Adult and Culture,2016-10-13,AGE UK NEWCASTLE,2895.72
Adult and Culture,2016-10-13,AGE UK NEWCASTLE,2710.42
Adult and Culture,2016-10-13,AGE UK NEWCASTLE,1759.80
Adult and Culture,2016-10-13,AGE UK NEWCASTLE,742.60
Environment & Regeneration,2016-10-07,AIR DESIGN SYSTEMS LTD,346.00
Environment & Regeneration,2016-10-12,AIR TECHNIQUE,325.00
Adult and Culture,2016-10-03,AIREY TERRACE,1146.51
Adult and Culture,2016-10-18,AIREY TERRACE,1200.37
Environment & Regeneration,2016-10-25,AKW MEDI-CARE LTD,348.30
Environment & Regeneration,2016-10-25,AKW MEDI-CARE LTD,340.86
Environment & Regeneration,2016-10-27,AKW MEDI-CARE LTD,560.49
Environment & Regeneration,2016-10-27,AKW MEDI-CARE LTD,285.69
Environment & Regeneration,2016-10-05,AKW MEDI-CARE LTD,311.17
Environment & Regeneration,2016-10-20,AKW MEDI-CARE LTD,345.47
Environment & Regeneration,2016-10-20,AKW MEDI-CARE LTD,319.37
Environment & Regeneration,2016-10-20,AKW MEDI-CARE LTD,285.69
Environment & Regeneration,2016-10-20,AKW MEDI-CARE LTD,340.86
Environment & Regeneration,2016-10-10,ALAN CARR DESIGN & PRINT,291.00
Environment & Regeneration,2016-10-27,ALARM SUPPLIES SCOTLAND LTD,349.00
Environment & Regeneration,2016-10-26,ALARM SUPPLIES SCOTLAND LTD,2286.50
Adult and Culture,2016-10-04,ALBANY HOUSE  (WHITLEY BAY),4984.44
Adult and Culture,2016-10-24,ALBANY OFFICE FURNITURE SOLUTIONS,6112.50
Chief Executive's,2016-10-04,ALBANY OFFICE FURNITURE SOLUTIONS,269.00
Chief Executive's,2016-10-10,ALBANY OFFICE FURNITURE SOLUTIONS,1452.00
Chief Executive's,2016-10-25,ALBANY OFFICE FURNITURE SOLUTIONS,363.00
Chief Executive's,2016-10-04,ALBANY OFFICE FURNITURE SOLUTIONS,580.00
Chief Executive's,2016-10-25,ALBANY OFFICE FURNITURE SOLUTIONS,310.00
Chief Executive's,2016-10-05,ALBANY OFFICE FURNITURE SOLUTIONS,546.00
Children's Services,2016-10-18,ALBANY OFFICE FURNITURE SOLUTIONS,585.00
Children's Services,2016-10-13,ALBANY OFFICE FURNITURE SOLUTIONS,321.00
Chief Executive's,2016-10-25,ALERE FORENSICS LTD,370.00
Chief Executive's,2016-10-25,ALERE FORENSICS LTD,495.00
Chief Executive's,2016-10-27,ALERE FORENSICS LTD,1325.00
Chief Executive's,2016-10-06,ALERE FORENSICS LTD,495.00
Chief Executive's,2016-10-11,ALERE FORENSICS LTD,470.00
Chief Executive's,2016-10-20,ALERE FORENSICS LTD,1275.00
Chief Executive's,2016-10-20,ALERE FORENSICS LTD,1580.00
Adult and Culture,2016-10-18,ALEXANDRA HOUSE,1872.00
Adult and Culture,2016-10-18,ALEXANDRA HOUSE,-495.80
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,34563.49
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,19963.86
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,1952.00
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,2200.00
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,11617.63
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,625.00
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,-370.47
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,-3811.68
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,-495.80
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,-477.32
Adult and Culture,2016-10-04,ALLAN COURT RESIDENTIAL HOME,-905.80
Chief Executive's,2016-10-14,ALLENDALE COMMUNITY ASSOCIATION,1700.00
Adult and Culture,2016-10-25,ALLIED HEALTHCARE GROUP,61000.48
Adult and Culture,2016-10-25,ALLIED HEALTHCARE GROUP,12114.09
Adult and Culture,2016-10-25,ALLIED HEALTHCARE GROUP,1596.00
Adult and Culture,2016-10-25,ALLIED HEALTHCARE GROUP,1189.50
Chief Executive's,2016-10-27,ALLPAY.NET LIMITED,556.02
Chief Executive's,2016-10-27,ALLPAY.NET LIMITED,8392.05
Chief Executive's,2016-10-11,AMAS LTD,121493.75
Chief Executive's,2016-10-11,AMAS LTD,41511.25
Chief Executive's,2016-10-11,AMAS LTD,32828.50
Chief Executive's,2016-10-11,AMAS LTD,37508.50
Chief Executive's,2016-10-11,AMAS LTD,16530.00
Chief Executive's,2016-10-11,AMAS LTD,14745.00
Chief Executive's,2016-10-11,AMAS LTD,18060.00
Chief Executive's,2016-10-11,AMAS LTD,17745.00
Environment & Regeneration,2016-10-13,AMCO ENGINEERING,8720.85
Adult and Culture,2016-10-27,ANCHOR TRUST,791.12
Environment & Regeneration,2016-10-28,ANDREW SYKES HIRE LIMITED,1753.84
Environment & Regeneration,2016-10-17,ANDTECH SYSTEMS,330.00
Environment & Regeneration,2016-10-12,ANDTECH SYSTEMS,679.00
Environment & Regeneration,2016-10-12,ANDTECH SYSTEMS,330.00
Environment & Regeneration,2016-10-20,ANDTECH SYSTEMS,470.00
Environment & Regeneration,2016-10-20,ANDTECH SYSTEMS,650.00
Environment & Regeneration,2016-10-07,ANGUS AIR LTD,10374.55
Chief Executive's,2016-10-05,ANNIE BARR ASSOCIATES LTD,800.00
Chief Executive's,2016-10-12,ANTALIS MCNAUGHTON LTD,972.50
Environment & Regeneration,2016-10-14,ANVIL ELECTRICAL TRAINING LTD,2175.00
Adult and Culture,2016-10-27,AON HEWITT LIMITED,1100.00
Chief Executive's,2016-10-27,AON HEWITT LIMITED,1260.00
Adult and Culture,2016-10-05,APOGEE CORPORATION,1217.72
Adult and Culture,2016-10-18,APPLEBY CARE HOME,2535.60
Chief Executive's,2016-10-20,ARCADIS LLP,10000.00
Chief Executive's,2016-10-25,AREEEBA DISTRIBUTION,426.00
Chief Executive's,2016-10-25,AREEEBA DISTRIBUTION,390.00
Chief Executive's,2016-10-25,AREEEBA DISTRIBUTION,264.00
Chief Executive's,2016-10-27,AREEEBA DISTRIBUTION,360.00
Chief Executive's,2016-10-06,ARGUS SOFTWARE LIMITED,1020.04
Environment & Regeneration,2016-10-21,ARNOLD CLARK,268.80
Environment & Regeneration,2016-10-19,ARRIVA NORTH EAST,2669.00
Environment & Regeneration,2016-10-20,ARRIVA NORTH EAST,2669.00
Environment & Regeneration,2016-10-07,ARRIVA RAIL NORTH LTD,612.00
Environment & Regeneration,2016-10-21,ARRIVA RAIL NORTH LTD,808.00
Adult and Culture,2016-10-25,ARTEMIS DOMICILIARY CARE,8509.27
Adult and Culture,2016-10-25,ARTEMIS DOMICILIARY CARE,1323.00
Adult and Culture,2016-10-25,ARTEMIS DOMICILIARY CARE,124.87
Adult and Culture,2016-10-14,ASDA PHARMACY,982.21
Adult and Culture,2016-10-14,ASDA STORES LIMITED,297.10
Adult and Culture,2016-10-14,ASDAN LTD,435.55
Chief Executive's,2016-10-11,ASH INFORMATION SYSTEMS LTD,1300.00
Adult and Culture,2016-10-04,ASHFIELD COURT,5538.00
Adult and Culture,2016-10-04,ASHFIELD COURT,-1165.52
Environment & Regeneration,2016-10-28,ASHTEAD PLANT HIRE CO LTD,726.48
Adult and Culture,2016-10-19,ASKEWS LIBRARY SERVICES LTD,425.16
Adult and Culture,2016-10-19,ASKEWS LIBRARY SERVICES LTD,414.00
Adult and Culture,2016-10-19,ASKEWS LIBRARY SERVICES LTD,277.61
Adult and Culture,2016-10-21,ASKEWS LIBRARY SERVICES LTD,749.73
Adult and Culture,2016-10-18,ASPINDEN WOOD CENTRE,2760.00
Adult and Culture,2016-10-18,ASPINDEN WOOD CENTRE,-495.80
Adult and Culture,2016-10-25,ASPIRATIONS CARE LTD,16313.08
Adult and Culture,2016-10-25,ASPIRATIONS CARE LTD,12453.44
Adult and Culture,2016-10-25,ASPIRATIONS CARE LTD,1767.00
Adult and Culture,2016-10-03,ASSOC OF EMPLOYMENT & LEARNING PROV LTD,255.00
Chief Executive's,2016-10-17,ASSOCIATION OF ELECTORAL ADMINISTRATORS,7798.49
Chief Executive's,2016-10-18,ASSOCIATION OF ELECTORAL ADMINISTRATORS,1540.00
Environment & Regeneration,2016-10-25,ASTROFADE LTD,25044.40
Environment & Regeneration,2016-10-20,ATI ENVIRONMENT UK LTD,5725.00
Environment & Regeneration,2016-10-19,ATKINS LTD,2461.00
Environment & Regeneration,2016-10-12,ATKINS LTD,2461.00
Adult and Culture,2016-10-25,ATKINSON ROAD PRIMARY ACADEMY,49254.98
Adult and Culture,2016-10-04,ATKINSON ROAD PRIMARY ACADEMY,3291.46
Chief Executive's,2016-10-31,AURA (NEWCASTLE) PROJECT COMPANY LTD,2086.47
Children's Services,2016-10-31,AURA (NEWCASTLE) PROJECT COMPANY LTD,2086.47
Children's Services,2016-10-26,AURA (NEWCASTLE) PROJECT COMPANY LTD,1102073.42
Children's Services,2016-10-26,AURA (NEWCASTLE) PROJECT COMPANY PHASE 2,827359.39
Children's Services,2016-10-13,AURA (NEWCASTLE) PROJECT COMPANY PHASE 2,68976.00
Chief Executive's,2016-10-10,AURA NEWCASTLE LTD,33750.00
Children's Services,2016-10-20,AURA NEWCASTLE LTD,1600.00
Children's Services,2016-10-20,AURA NEWCASTLE LTD,7243.75
Environment & Regeneration,2016-10-28,AURA NEWCASTLE LTD,10290.00
Environment & Regeneration,2016-10-25,AUSTRIN GEARBOX SPECIALIST LTD,779.00
Adult and Culture,2016-10-25,AUTISM CARE UK,1890.00
Adult and Culture,2016-10-31,AUTISM DIMENSIONS,934.83
Adult and Culture,2016-10-31,AUTISM DIMENSIONS,1264.77
Adult and Culture,2016-10-03,AUTISM DIMENSIONS,439.92
Adult and Culture,2016-10-03,AUTISM DIMENSIONS,458.25
Adult and Culture,2016-10-03,AUTISM DIMENSIONS,311.61
Adult and Culture,2016-10-03,AUTISM DIMENSIONS,274.95
Adult and Culture,2016-10-27,AUTISM INITIATIVES,19147.52
Adult and Culture,2016-10-18,AUTISM INITIATIVES,6107.52
Adult and Culture,2016-10-18,AUTISM INITIATIVES,-315.20
Adult and Culture,2016-10-18,AUTISM NORTH - EASTCLIFFE,3811.28
Adult and Culture,2016-10-18,AUTISM NORTH - EASTCLIFFE,5716.92
Environment & Regeneration,2016-10-18,AUTOGUIDE EQUIPMENT LTD,540.75
Environment & Regeneration,2016-10-18,AUTOGUIDE EQUIPMENT LTD,1622.25
Environment & Regeneration,2016-10-18,AUTOGUIDE EQUIPMENT LTD,540.75
Environment & Regeneration,2016-10-18,AUTOGUIDE EQUIPMENT LTD,1218.00
Adult and Culture,2016-10-20,AUTOMATIC RETAILING VENDING,494.12
Environment & Regeneration,2016-10-17,AUTOMATICA LTD,1010.00
Adult and Culture,2016-10-04,AVENUE COMMUNITY NH LTD,2264.60
Chief Executive's,2016-10-27,AVM IMPACT LTD,550.00
Adult and Culture,2016-10-25,AZURE,104.00
Adult and Culture,2016-10-25,AZURE,17569.40
Adult and Culture,2016-10-25,AZURE,7147.56
Adult and Culture,2016-10-25,AZURE,691.84
Adult and Culture,2016-10-26,AZURE,61847.20
Adult and Culture,2016-10-26,AZURE,-3264.04
Children's Services,2016-10-25,BABY STEPS,509.25
Environment & Regeneration,2016-10-31,BAILEYS BLINDS,1192.78
Adult and Culture,2016-10-18,BAILIFFGATE,2515.92
Adult and Culture,2016-10-18,BAILIFFGATE,-319.40
Adult and Culture,2016-10-04,BALMORAL COURT,63345.44
Adult and Culture,2016-10-04,BALMORAL COURT,14789.20
Adult and Culture,2016-10-04,BALMORAL COURT,1887.04
Adult and Culture,2016-10-04,BALMORAL COURT,2047.16
Adult and Culture,2016-10-04,BALMORAL COURT,1964.96
Adult and Culture,2016-10-04,BALMORAL COURT,-4756.18
Adult and Culture,2016-10-04,BALMORAL COURT,-3354.12
Environment & Regeneration,2016-10-24,BALMORAL JOINERY,260.00
Environment & Regeneration,2016-10-12,BALMORAL JOINERY,420.00
Environment & Regeneration,2016-10-20,BALMORAL JOINERY,340.00
Environment & Regeneration,2016-10-14,BALMORAL JOINERY,6392.00
Environment & Regeneration,2016-10-07,BALMORAL JOINERY,4439.00
Adult and Culture,2016-10-14,BALTIC FLOUR MILLS VISUAL ARTS TRUST,18750.00
Adult and Culture,2016-10-14,BALTIC FLOUR MILLS VISUAL ARTS TRUST,12500.00
Chief Executive's,2016-10-28,BALTIC TRAINING SERVICES LTD,1056.80
Adult and Culture,2016-10-27,BANKS OF THE WEAR LTD,1345.40
Adult and Culture,2016-10-14,BANNER GROUP LTD,550.22
Adult and Culture,2016-10-05,BANNER GROUP LTD,406.68
