Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2010-04-19,CITY & GUILDS OF LONDON INSTITUTE,630.00
Adult and Culture,2010-04-11,DURHAM UNIVERSITY,3390.00
Adult and Culture,2010-04-28,HUMANWARE EUROPE LTD,2645.00
Adult and Culture,2010-04-19,OPEN UNIVERSITY,825.00
Adult and Culture,2010-04-14,THE OPEN UNIVERSITY,3075.00
Adult and Culture,2010-04-14,THE OPEN UNIVERSITY,3460.00
Adult and Culture,2010-04-25,THE OPEN UNIVERSITY,695.00
Adult and Culture,2010-04-11,UNIVERSITY OF NORTHUMBRIA,3390.00
Adult and Culture,2010-04-15,COMSET LTD,12460.00
Adult and Culture,2010-04-15,COMSET LTD,48405.00
Adult and Culture,2010-04-18,HYTEC LTD,2652.60
Adult and Culture,2010-04-13,WHITEHALL CONSULTANTS (UK) LTD,1120.00
Adult and Culture,2010-04-26,WHITEHALL CONSULTANTS (UK) LTD,560.00
Adult and Culture,2010-04-06,N POWER NORTHERN LTD,768.31
Adult and Culture,2010-04-19,CARE QUALITY COMMISSION,1980.00
Adult and Culture,2010-04-08,CIPFA,750.00
Adult and Culture,2010-04-08,D.T.C.,540.00
Adult and Culture,2010-04-06,N POWER NORTHERN LTD,1266.36
Adult and Culture,2010-04-06,N POWER NORTHERN LTD,1414.73
Adult and Culture,2010-04-06,N POWER NORTHERN LTD,1162.18
Adult and Culture,2010-04-06,N POWER NORTHERN LTD,1425.62
Adult and Culture,2010-04-06,N POWER NORTHERN LTD,1896.97
Adult and Culture,2010-04-06,N POWER NORTHERN LTD,1175.70
Adult and Culture,2010-04-06,N POWER NORTHERN LTD,1569.17
Adult and Culture,2010-04-06,N POWER NORTHERN LTD,1852.33
Adult and Culture,2010-04-06,N POWER NORTHERN LTD,1474.33
Adult and Culture,2010-04-19,N POWER NORTHERN LTD,1448.01
Adult and Culture,2010-04-19,N POWER NORTHERN LTD,1901.11
Adult and Culture,2010-04-19,N POWER NORTHERN LTD,996.44
Adult and Culture,2010-04-29,N POWER NORTHERN LTD,546.88
Adult and Culture,2010-04-29,N POWER NORTHERN LTD,510.95
Adult and Culture,2010-04-29,N POWER NORTHERN LTD,505.37
Adult and Culture,2010-04-29,N POWER NORTHERN LTD,647.76
Adult and Culture,2010-04-29,N POWER NORTHERN LTD,721.85
Adult and Culture,2010-04-29,N POWER NORTHERN LTD,1052.63
Adult and Culture,2010-04-18,NEWCASTLE PCT,774.50
Adult and Culture,2010-04-19,NEWCASTLE PCT,3031.54
Adult and Culture,2010-04-19,NEWCASTLE PCT,813.44
Adult and Culture,2010-04-19,NEWCASTLE PCT,1869.50
Adult and Culture,2010-04-18,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,7405.00
Adult and Culture,2010-04-22,NORTHUMBRIA POLICE AUTHORY,20000.00
Adult and Culture,2010-04-21,NORTHUMBRIAN WATER LIMITED,3977.72
Adult and Culture,2010-04-21,NORTHUMBRIAN WATER LIMITED,2065.61
Adult and Culture,2010-04-18,PLANTS PLUS LTD,1058.55
Adult and Culture,2010-04-19,QUALITY OF LIFE PARTNERSHIP,20109.75
Adult and Culture,2010-04-13,Redacted Personal Data,7500.00
Adult and Culture,2010-04-27,Redacted Personal Data,7500.00
