Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2015-06-02,ORCHARD CARE HOME .COM (3)LTD,2170.88
Adult and Culture,2015-06-30,ORCHARD CARE HOME .COM (3)LTD,2170.88
Environment & Regeneration,2015-06-01,THOMPSONS OF PRUDHOE LTD,585
Environment & Regeneration,2015-06-12,THOMPSONS OF PRUDHOE LTD,947.2
Environment & Regeneration,2015-06-12,THOMPSONS OF PRUDHOE LTD,912.4
Environment & Regeneration,2015-06-09,THOMPSONS OF PRUDHOE LTD,1501.02
Environment & Regeneration,2015-06-15,THOMPSONS OF PRUDHOE LTD,4257.92
Environment & Regeneration,2015-06-01,THOMPSONS OF PRUDHOE LTD,764.64
Environment & Regeneration,2015-06-12,THOMPSONS OF PRUDHOE LTD,2722.05
Environment & Regeneration,2015-06-12,THOMPSONS OF PRUDHOE LTD,574.22
Environment & Regeneration,2015-06-11,THOMPSONS OF PRUDHOE LTD,2400
Environment & Regeneration,2015-06-19,THOMPSONS OF PRUDHOE LTD,292.5
Adult and Culture,2015-06-02,14 EIGHTH ROW,9800
Adult and Culture,2015-06-30,14 EIGHTH ROW,9800
Adult and Culture,2015-06-02,18 SEA VIEW VILLAS,1540
Adult and Culture,2015-06-30,18 SEA VIEW VILLAS,1540
Adult and Culture,2015-06-19,3M UNITED KINGDOM PLC,7071.03
Adult and Culture,2015-06-24,3M UNITED KINGDOM PLC,14142.06
Adult and Culture,2015-06-26,3M UNITED KINGDOM PLC,7071.03
Adult and Culture,2015-06-21,3M UNITED KINGDOM PLC,7071.03
Adult and Culture,2015-06-21,3M UNITED KINGDOM PLC,14142.06
Adult and Culture,2015-06-21,3M UNITED KINGDOM PLC,14142.06
Adult and Culture,2015-06-25,3M UNITED KINGDOM PLC,7071.03
Environment & Regeneration,2015-06-19,A&J KEITH LTD,415
Environment & Regeneration,2015-06-19,A&J KEITH LTD,3414.51
Environment & Regeneration,2015-06-19,A&J KEITH LTD,1389.76
Environment & Regeneration,2015-06-10,A&J KEITH LTD,222222.98
Environment & Regeneration,2015-06-26,A&J KEITH LTD,415
Environment & Regeneration,2015-06-19,A&J KEITH LTD,5907.3
Environment & Regeneration,2015-06-11,A&S LOCKSMITHS,259.7
Chief Executive's,2015-06-23,AA GLOBAL LANGUAGES SERVICES LTD,251
Environment & Regeneration,2015-06-22,AAA CHEMICALS LTD,349.3
Environment & Regeneration,2015-06-17,AAA CHEMICALS LTD,1015.22
Environment & Regeneration,2015-06-22,AAA CHEMICALS LTD,340
HRA,2015-06-09,AARAN BUILDERS (NE) LTD,4548
HRA,2015-06-09,AARAN BUILDERS (NE) LTD,4300.8
Adult and Culture,2015-06-16,ABBEYFIELD CASTLE FARM,-1617.08
Adult and Culture,2015-06-16,ABBEYFIELD CASTLE FARM,5907.84
Adult and Culture,2015-06-16,ABBEYFIELD THE GROVE,-1481.68
Adult and Culture,2015-06-16,ABBEYFIELD THE GROVE,1969.28
Adult and Culture,2015-06-16,ABBEYMOOR,-397.2
Adult and Culture,2015-06-16,ABBEYMOOR,2010.56
Adult and Culture,2015-06-16,ABBEYMOOR,4000
Adult and Culture,2015-06-05,ABC AWARDS,266
Adult and Culture,2015-06-30,ABC AWARDS,256
Adult and Culture,2015-06-16,ABIGAIL HOUSE,-4323.5
Adult and Culture,2015-06-16,ABIGAIL HOUSE,20945.23
Environment & Regeneration,2015-06-08,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,807.6
Environment & Regeneration,2015-06-30,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,561
HRA,2015-06-24,ABLECARE CLEANING SERVICES,274
Adult and Culture,2015-06-20,ABOUT TURN VETERANS SUPPORT SERVICE,4374
Adult and Culture,2015-06-09,ABSOLUTE QUALITY CARE,716.95
Adult and Culture,2015-06-09,ABSOLUTE QUALITY CARE,369.74
Adult and Culture,2015-06-09,ABSOLUTE QUALITY CARE,328.04
Adult and Culture,2015-06-09,ABSOLUTE QUALITY CARE,683.88
Adult and Culture,2015-06-09,ABSOLUTE QUALITY CARE,1229.8
Adult and Culture,2015-06-09,ABSOLUTE QUALITY CARE,375.3
Adult and Culture,2015-06-09,ABSOLUTE QUALITY CARE,411.08
Adult and Culture,2015-06-09,ABSOLUTE QUALITY CARE,577.31
Adult and Culture,2015-06-09,ABSOLUTE QUALITY CARE,2063.83
Adult and Culture,2015-06-09,ABSOLUTE QUALITY CARE,517.08
Adult and Culture,2015-06-17,ABSOLUTE QUALITY CARE,1153.5
Chief Executive's,2015-06-01,ACCEPTUS IT LTD,3482.95
Adult and Culture,2015-06-16,ACCOUNTABILITY,2782
Adult and Culture,2015-06-22,ACE CLEANING EQUIPMENT,269.33
Environment & Regeneration,2015-06-25,ACP,580.53
Environment & Regeneration,2015-06-19,ACROL AIR CONDITIONING CO LTD,926.95
Chief Executive's,2015-06-08,ACS LTD,2085
Chief Executive's,2015-06-12,ACS LTD,650
Environment & Regeneration,2015-06-04,ACTION BUILDING MAINTENANCE LTD,363.78
Adult and Culture,2015-06-20,ACTION FOR CHILDREN,6441.82
Children's Services,2015-06-02,ACTION FOR CHILDREN,7896
Children's Services,2015-06-29,ACTION FOR CHILDREN,7896
Children's Services,2015-06-24,ACTION FOR CHILDREN,54265.25
Children's Services,2015-06-24,ACTION FOR CHILDREN,27733.25
Adult and Culture,2015-06-02,ACTIVE HORIZONS LTD,-495.8
Adult and Culture,2015-06-30,ACTIVE HORIZONS LTD,-495.8
Adult and Culture,2015-06-02,ACTIVE HORIZONS LTD,1724
Adult and Culture,2015-06-02,ACTIVE HORIZONS LTD,1724
Adult and Culture,2015-06-30,ACTIVE HORIZONS LTD,1802
Adult and Culture,2015-06-30,ACTIVE HORIZONS LTD,1802
Environment & Regeneration,2015-06-22,AD ARCHAEOLOGY LTD,553.1
Chief Executive's,2015-06-03,ADARE LTD,392.74
Chief Executive's,2015-06-03,ADARE LTD,57934.15
Environment & Regeneration,2015-06-12,ADC ELECTRICAL CO LTD(F),271.5
Adult and Culture,2015-06-25,ADL SMARTCARE LTD,39939
Environment & Regeneration,2015-06-03,ADT FIRE & SECURITY,1099.75
Environment & Regeneration,2015-06-03,ADT FIRE & SECURITY,536.18
Environment & Regeneration,2015-06-11,ADT FIRE & SECURITY,1218.2
Environment & Regeneration,2015-06-10,ADT FIRE & SECURITY,457.13
Chief Executive's,2015-06-05,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,850
Chief Executive's,2015-06-05,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,850
Children's Services,2015-06-05,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,5100
Children's Services,2015-06-05,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,850
Children's Services,2015-06-05,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,328.77
Children's Services,2015-06-05,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,167.12
Environment & Regeneration,2015-06-08,ADVANCED CALIBRATIONS LTD,318
Children's Services,2015-06-02,ADVANCED CHILDCARE GROUP,12540
Children's Services,2015-06-02,ADVANCED CHILDCARE GROUP,12540
Children's Services,2015-06-02,ADVANCED CHILDCARE GROUP,12000
Children's Services,2015-06-29,ADVANCED CHILDCARE GROUP,12540
Children's Services,2015-06-29,ADVANCED CHILDCARE GROUP,12540
Children's Services,2015-06-29,ADVANCED CHILDCARE GROUP,12000
HRA,2015-06-05,ADVANCED CLEANING & MAINTENANCE LTD,830
HRA,2015-06-04,ADVANCED CLEANING & MAINTENANCE LTD,966
Chief Executive's,2015-06-22,ADVANCED LEGAL LTD,1050
Environment & Regeneration,2015-06-01,ADVANCED WATER TECHNOLOGIES,1365
HRA,2015-06-18,ADVANTAGE UTILTITIES LTD,800
HRA,2015-06-19,ADVANTAGE UTILTITIES LTD,700
Chief Executive's,2015-06-17,ADVANTEX NETWORK SOLUTIONS LTD,2875
Chief Executive's,2015-06-24,ADVANTEX NETWORK SOLUTIONS LTD,2870
Environment & Regeneration,2015-06-18,AEBI SCHMIDT UK LTD,570.72
Environment & Regeneration,2015-06-29,AEBI SCHMIDT UK LTD,945.57
Environment & Regeneration,2015-06-24,AECOM,13724
Environment & Regeneration,2015-06-24,AECOM,3648
Environment & Regeneration,2015-06-23,AECOM,12954.25
Adult and Culture,2015-06-17,AGE UK NEWCASTLE,6252.22
Adult and Culture,2015-06-13,AGE UK NEWCASTLE,16338.24
Adult and Culture,2015-06-13,AGE UK NEWCASTLE,13029.8
Adult and Culture,2015-06-20,AGE UK NEWCASTLE,4916.36
Adult and Culture,2015-06-09,AGE UK NEWCASTLE,1180
Adult and Culture,2015-06-09,AGE UK NEWCASTLE,7811.6
