Organisational Unit,Payment Date,Benificiary Name,Amount
Environment & Regeneration,2015-10-06,THOMPSONS OF PRUDHOE LTD,252.59
Environment & Regeneration,2015-10-06,THOMPSONS OF PRUDHOE LTD,386.8
Environment & Regeneration,2015-10-06,THOMPSONS OF PRUDHOE LTD,819.42
Environment & Regeneration,2015-10-06,THOMPSONS OF PRUDHOE LTD,282.17
Environment & Regeneration,2015-10-06,THOMPSONS OF PRUDHOE LTD,2785.44
Environment & Regeneration,2015-10-06,THOMPSONS OF PRUDHOE LTD,4496.72
Environment & Regeneration,2015-10-06,THOMPSONS OF PRUDHOE LTD,460.46
Environment & Regeneration,2015-10-06,THOMPSONS OF PRUDHOE LTD,375.25
Environment & Regeneration,2015-10-06,THOMPSONS OF PRUDHOE LTD,2939.82
Environment & Regeneration,2015-10-06,THOMPSONS OF PRUDHOE LTD,2826.98
Environment & Regeneration,2015-10-07,THOMPSONS OF PRUDHOE LTD,5869.76
Environment & Regeneration,2015-10-08,THOMPSONS OF PRUDHOE LTD,702
Environment & Regeneration,2015-10-08,THOMPSONS OF PRUDHOE LTD,651.06
Environment & Regeneration,2015-10-08,THOMPSONS OF PRUDHOE LTD,386.8
Environment & Regeneration,2015-10-08,THOMPSONS OF PRUDHOE LTD,15522.44
Environment & Regeneration,2015-10-16,THOMPSONS OF PRUDHOE LTD,1049.54
Environment & Regeneration,2015-10-16,THOMPSONS OF PRUDHOE LTD,567.44
Environment & Regeneration,2015-10-16,THOMPSONS OF PRUDHOE LTD,806
Environment & Regeneration,2015-10-16,THOMPSONS OF PRUDHOE LTD,1373.58
Environment & Regeneration,2015-10-16,THOMPSONS OF PRUDHOE LTD,806
Environment & Regeneration,2015-10-27,THOMPSONS OF PRUDHOE LTD,602.7
Environment & Regeneration,2015-10-27,THOMPSONS OF PRUDHOE LTD,646.38
Environment & Regeneration,2015-10-27,THOMPSONS OF PRUDHOE LTD,1513.2
Environment & Regeneration,2015-10-01,THOMPSONS OF PRUDHOE LTD,2043.84
Environment & Regeneration,2015-10-01,THOMPSONS OF PRUDHOE LTD,975.2
Environment & Regeneration,2015-10-01,THOMPSONS OF PRUDHOE LTD,667.44
