Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2016-12-13,14 EIGHTH ROW,9800.00
Adult and Culture,2016-12-13,18 SEA VIEW VILLAS,1540.00
Environment & Regeneration,2016-12-14,20-20 VISION SYSTEMS LTD,1922.15
Children's Services,2016-12-13,A SIGNIFICANT OTHER LTD,43642.86
Environment & Regeneration,2016-12-12,A&J KEITH LTD,52620.00
Environment & Regeneration,2016-12-15,A&J KEITH LTD,3000.00
Environment & Regeneration,2016-12-05,A&J KEITH LTD,24247.35
Environment & Regeneration,2016-12-14,A&J KEITH LTD,37819.59
Environment & Regeneration,2016-12-14,A&J KEITH LTD,111098.41
Environment & Regeneration,2016-12-14,A&J KEITH LTD,30855.55
Environment & Regeneration,2016-12-14,A&J KEITH LTD,1440.00
Environment & Regeneration,2016-12-20,A&S LOCKSMITHS,349.83
Environment & Regeneration,2016-12-07,A&S LOCKSMITHS,1340.20
Environment & Regeneration,2016-12-08,A&S LOCKSMITHS,347.20
Environment & Regeneration,2016-12-23,AA BUSINESS SERVICES,2982.00
Environment & Regeneration,2016-12-30,AAA CHEMICALS LTD,484.00
Adult and Culture,2016-12-22,ABBEYFIELD CASTLE FARM,4283.36
Adult and Culture,2016-12-22,ABBEYFIELD CASTLE FARM,-1018.60
Adult and Culture,2016-12-22,ABBEYMOOR,3025.00
Adult and Culture,2016-12-22,ABBEYMOOR,3473.00
Adult and Culture,2016-12-22,ABBEYMOOR,2848.00
Adult and Culture,2016-12-22,ABBEYMOOR,10208.00
Adult and Culture,2016-12-22,ABBEYMOOR,-660.08
Adult and Culture,2016-12-22,ABBEYMOOR,-793.84
Adult and Culture,2016-12-06,ABC AWARDS,266.00
Adult and Culture,2016-12-09,ABC AWARDS,336.00
Environment & Regeneration,2016-12-23,ABEL ALARM COMPANY LTD,2050.00
Environment & Regeneration,2016-12-13,ABEL ALARM COMPANY LTD,579.00
Adult and Culture,2016-12-13,ABIGAIL LODGE,1096.39
Adult and Culture,2016-12-13,ABIGAIL LODGE,-270.47
Adult and Culture,2016-12-20,ABSOLUTE QUALITY CARE,27800.50
Adult and Culture,2016-12-20,ABSOLUTE QUALITY CARE,2314.00
Adult and Culture,2016-12-20,ABSOLUTE QUALITY CARE,6675.50
Adult and Culture,2016-12-20,ABSOLUTE QUALITY CARE,962.00
Adult and Culture,2016-12-23,ACCOUNTABILITY,2782.00
Children's Services,2016-12-22,ACHIEVEMENT FOR ALL LTD,15400.00
Environment & Regeneration,2016-12-08,ACP,1673.70
Environment & Regeneration,2016-12-08,ACP,3978.05
Environment & Regeneration,2016-12-07,ACROL AIR CONDITIONING CO LTD,875.71
Environment & Regeneration,2016-12-20,ACROL AIR CONDITIONING CO LTD,7860.50
Environment & Regeneration,2016-12-05,ACROL AIR CONDITIONING CO LTD,283.45
Environment & Regeneration,2016-12-30,ACTAVO (UK) LTD,1047.14
Adult and Culture,2016-12-19,ACTION FOR CHILDREN,93124.36
Children's Services,2016-12-13,ACTION FOR CHILDREN,21718.86
Children's Services,2016-12-08,ACTION FOR CHILDREN,2476.25
Adult and Culture,2016-12-23,ACTION ON HEARING LOSS,9815.04
Adult and Culture,2016-12-13,ACTIVE HORIZONS LTD,3791.29
Adult and Culture,2016-12-13,ACTIVE HORIZONS LTD,-40.95
Adult and Culture,2016-12-07,ACTIVE NORTHUMBERLAND,14000.00
Chief Executive's,2016-12-02,ADARE LTD,1660.95
Environment & Regeneration,2016-12-13,ADC ELECTRICAL CO LTD(F),426.00
Environment & Regeneration,2016-12-13,ADC ELECTRICAL CO LTD(F),426.00
Adult and Culture,2016-12-19,ADELPHI HOTEL,3195.00
Chief Executive's,2016-12-30,ADT FIRE & SECURITY,387.25
Chief Executive's,2016-12-30,ADT FIRE & SECURITY,736.71
Children's Services,2016-12-30,ADT FIRE & SECURITY,425.58
Environment & Regeneration,2016-12-14,ADT FIRE & SECURITY,399.89
Environment & Regeneration,2016-12-14,ADT FIRE & SECURITY,2028.95
Environment & Regeneration,2016-12-14,ADT FIRE & SECURITY,1769.50
Environment & Regeneration,2016-12-16,ADT FIRE & SECURITY,371.88
Chief Executive's,2016-12-19,ADVANCED LEGAL LTD,1215.00
Environment & Regeneration,2016-12-28,ADVANCED WATER TECHNOLOGIES,265.00
Environment & Regeneration,2016-12-28,ADVANCED WATER TECHNOLOGIES,1100.00
Adult and Culture,2016-12-01,AFTER ADOPTION,12375.00
Children's Services,2016-12-09,AFTER ADOPTION,600.00
Environment & Regeneration,2016-12-07,AGD SYSTEMS LTD,60.00
Environment & Regeneration,2016-12-07,AGD SYSTEMS LTD,7290.00
Environment & Regeneration,2016-12-07,AGD SYSTEMS LTD,1200.00
Environment & Regeneration,2016-12-07,AGD SYSTEMS LTD,190.00
Environment & Regeneration,2016-12-07,AGD SYSTEMS LTD,140.00
Environment & Regeneration,2016-12-16,AGD SYSTEMS LTD,3150.00
Adult and Culture,2016-12-19,AGE UK NEWCASTLE,13808.20
Adult and Culture,2016-12-20,AGE UK NEWCASTLE,2916.50
Adult and Culture,2016-12-20,AGE UK NEWCASTLE,24522.50
Chief Executive's,2016-12-20,AGE UK NEWCASTLE,19015.00
Environment & Regeneration,2016-12-20,AIR TECHNIQUE,435.00
Environment & Regeneration,2016-12-28,AIR TECHNIQUE,449.00
Adult and Culture,2016-12-02,AIREY TERRACE,304.35
Adult and Culture,2016-12-19,AIREY TERRACE,1694.50
Adult and Culture,2016-12-13,AIREY TERRACE,761.17
Environment & Regeneration,2016-12-12,AKW MEDI-CARE LTD,560.49
Environment & Regeneration,2016-12-12,AKW MEDI-CARE LTD,340.86
Environment & Regeneration,2016-12-01,AKW MEDI-CARE LTD,348.30
Environment & Regeneration,2016-12-01,AKW MEDI-CARE LTD,340.86
Environment & Regeneration,2016-12-09,ALAN CARR DESIGN & PRINT,1284.00
Environment & Regeneration,2016-12-30,ALAN CARR DESIGN & PRINT,446.50
Environment & Regeneration,2016-12-05,ALAN RANSOME SPORTING GOODS GROUP LTD,379.98
Environment & Regeneration,2016-12-09,ALARM SUPPLIES SCOTLAND LTD,388.50
Adult and Culture,2016-12-22,ALBANY HOUSE  (WHITLEY BAY),5287.68
Chief Executive's,2016-12-06,ALBANY OFFICE FURNITURE SOLUTIONS,359.00
Chief Executive's,2016-12-22,ALBANY OFFICE FURNITURE SOLUTIONS,440.00
Chief Executive's,2016-12-09,ALBANY OFFICE FURNITURE SOLUTIONS,363.00
Chief Executive's,2016-12-08,ALBANY OFFICE FURNITURE SOLUTIONS,363.00
Chief Executive's,2016-12-20,ALBANY OFFICE FURNITURE SOLUTIONS,630.00
