Organisational Unit,Payment Date,Benificiary Name,Amount
Environment & Regeneration,2014-07-15,3663,619.75
Environment & Regeneration,2014-07-07,3663,539.70
Environment & Regeneration,2014-07-18,3663,356.01
Chief Executive's,2014-07-25,CARNEIGE BUILDING NEWCASTLE,227.50
Chief Executive's,2014-07-25,CARNEIGE BUILDING NEWCASTLE,180.00
Environment & Regeneration,2014-07-09,THOMPSONS OF PRUDHOE LTD,416.22
Environment & Regeneration,2014-07-31,THOMPSONS OF PRUDHOE LTD,821.10
Environment & Regeneration,2014-07-08,THOMPSONS OF PRUDHOE LTD,810.00
Adult and Culture,2014-07-01,14 EIGHTH ROW,9800.00
Adult and Culture,2014-07-29,14 EIGHTH ROW,9800.00
Adult and Culture,2014-07-01,18 SEA VIEW VILLAS,1540.00
Adult and Culture,2014-07-29,18 SEA VIEW VILLAS,1540.00
Adult and Culture,2014-07-01,93 WINGROVE ROAD,1540.00
Adult and Culture,2014-07-29,93 WINGROVE ROAD,1540.00
Environment & Regeneration,2014-07-08,A&J KEITH LTD,1927.00
Environment & Regeneration,2014-07-08,A&J KEITH LTD,2570.31
Environment & Regeneration,2014-07-08,A&J KEITH LTD,706.72
Environment & Regeneration,2014-07-08,A&J KEITH LTD,315.19
Environment & Regeneration,2014-07-08,A&J KEITH LTD,2008.74
Environment & Regeneration,2014-07-08,A&J KEITH LTD,255.00
Environment & Regeneration,2014-07-08,A&J KEITH LTD,1920.00
Environment & Regeneration,2014-07-08,A&J KEITH LTD,255.00
Environment & Regeneration,2014-07-08,A&J KEITH LTD,1455.16
Environment & Regeneration,2014-07-08,A&J KEITH LTD,605.76
Environment & Regeneration,2014-07-08,A&J KEITH LTD,255.00
Environment & Regeneration,2014-07-08,A&J KEITH LTD,2025.77
Environment & Regeneration,2014-07-08,A&J KEITH LTD,1326.25
Environment & Regeneration,2014-07-25,A&J KEITH LTD,957.93
Environment & Regeneration,2014-07-25,A&J KEITH LTD,384.65
Environment & Regeneration,2014-07-25,A&J KEITH LTD,1003.70
Environment & Regeneration,2014-07-18,A&J KEITH LTD,2120.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,1920.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,2510.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,2020.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,1920.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,1995.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,1820.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,2020.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,1920.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,2020.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,1920.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,2029.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,1920.00
Environment & Regeneration,2014-07-18,A&J KEITH LTD,2335.00
Environment & Regeneration,2014-07-11,A&J KEITH LTD,91217.54
Environment & Regeneration,2014-07-28,AAA CHEMICALS LTD,570.20
HRA,2014-07-25,AARAN BUILDERS (NE) LTD,528.00
Adult and Culture,2014-07-15,ABBEYFIELD CASTLE FARM,-495.80
Adult and Culture,2014-07-15,ABBEYFIELD CASTLE FARM,1969.28
Adult and Culture,2014-07-15,ABBEYFIELD THE GROVE,-2080.48
Adult and Culture,2014-07-15,ABBEYFIELD THE GROVE,3938.56
Adult and Culture,2014-07-15,ABBEYMOOR,-397.20
Adult and Culture,2014-07-15,ABBEYMOOR,3462.52
Adult and Culture,2014-07-15,ABBEYMOOR,2010.56
Adult and Culture,2014-07-15,ABBEYMOOR,4000.00
Adult and Culture,2014-07-11,ABC AWARDS,295.00
Adult and Culture,2014-07-28,ABC AWARDS,250.75
Adult and Culture,2014-07-15,ABIGAIL HOUSE,-9905.73
Adult and Culture,2014-07-15,ABIGAIL HOUSE,1679.01
Adult and Culture,2014-07-15,ABIGAIL HOUSE,35213.00
Adult and Culture,2014-07-15,ABIGAIL HOUSE,934.86
Environment & Regeneration,2014-07-24,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,1061.20
Children's Services,2014-07-24,ACAS,835.00
Adult and Culture,2014-07-08,ACCEPT CARE,-176.65
Adult and Culture,2014-07-08,ACCEPT CARE,1103.30
Adult and Culture,2014-07-08,ACCEPT CARE,2978.91
Chief Executive's,2014-07-29,ACCESS SOLUTIONS MASTER LOCKSMITHS,455.70
Adult and Culture,2014-07-15,ACCOUNTABILITY,2782.00
Chief Executive's,2014-07-18,ACME,281.23
Environment & Regeneration,2014-07-21,ACP,4474.00
Environment & Regeneration,2014-07-29,ACROL AIR CONDITIONING CO LTD,1952.00
Children's Services,2014-07-02,ACTION FOR CHILDREN,14456.00
Children's Services,2014-07-25,ACTION FOR CHILDREN,5433.30
Children's Services,2014-07-25,ACTION FOR CHILDREN,10262.90
Children's Services,2014-07-25,ACTION FOR CHILDREN,9055.50
Children's Services,2014-07-25,ACTION FOR CHILDREN,5433.30
Children's Services,2014-07-31,ACTION FOR CHILDREN,16621.00
Children's Services,2014-07-28,ACTION FOR CHILDREN,19360.26
Children's Services,2014-07-28,ACTION FOR CHILDREN,14434.95
Children's Services,2014-07-28,ACTION FOR CHILDREN,4091.79
Children's Services,2014-07-21,ACTION FOR CHILDREN,67000.75
Children's Services,2014-07-21,ACTION FOR CHILDREN,13011.00
Children's Services,2014-07-21,ACTION FOR CHILDREN,3689.50
Adult and Culture,2014-07-09,ACTION ON HEARING LOSS,1106.89
Children's Services,2014-07-25,ACTIVE 8 CARE LTD,10742.88
Children's Services,2014-07-25,ACTIVE 8 CARE LTD,20814.33
Adult and Culture,2014-07-01,ACTIVE HORIZONS LTD,-495.80
Adult and Culture,2014-07-29,ACTIVE HORIZONS LTD,-495.80
Adult and Culture,2014-07-01,ACTIVE HORIZONS LTD,1648.00
Adult and Culture,2014-07-01,ACTIVE HORIZONS LTD,425.00
Adult and Culture,2014-07-29,ACTIVE HORIZONS LTD,1648.00
Adult and Culture,2014-07-03,ACTIVE TRAVEL,1235.00
Adult and Culture,2014-07-28,ACTIVE TRAVEL,1900.00
Adult and Culture,2014-07-28,ACTIVE TRAVEL,2040.00
Children's Services,2014-07-04,ACTIVE TRAVEL,1326.00
Environment & Regeneration,2014-07-01,AD MERCHANDISE LTD,705.00
Chief Executive's,2014-07-01,ADARE LTD,9550.06
Chief Executive's,2014-07-01,ADARE LTD,51641.08
Chief Executive's,2014-07-29,ADARE LTD,2402.54
Chief Executive's,2014-07-29,ADARE LTD,1856.46
Chief Executive's,2014-07-25,ADARE LTD,54701.08
Chief Executive's,2014-07-28,ADARE LTD,1490.04
Environment & Regeneration,2014-07-23,ADC ELECTRICAL CO LTD(F),278.98
Children's Services,2014-07-11,ADOPTION UK,330.00
Children's Services,2014-07-11,ADOPTION UK,435.00
Children's Services,2014-07-11,ADOPTION UK,330.00
Children's Services,2014-07-11,ADOPTION UK,435.00
Chief Executive's,2014-07-28,ADT FIRE & SECURITY,520.64
Children's Services,2014-07-28,ADT FIRE & SECURITY,449.90
Environment & Regeneration,2014-07-07,ADT FIRE & SECURITY,1535.40
Environment & Regeneration,2014-07-07,ADT FIRE & SECURITY,300.34
Environment & Regeneration,2014-07-07,ADT FIRE & SECURITY,1337.60
Environment & Regeneration,2014-07-18,ADT FIRE & SECURITY,263.87
HRA,2014-07-29,ADT FIRE & SECURITY,291.77
Chief Executive's,2014-07-25,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,33150.00
Chief Executive's,2014-07-24,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,14875.00
Chief Executive's,2014-07-24,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,3400.00
Chief Executive's,2014-07-24,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,335.84
Chief Executive's,2014-07-24,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,1700.00
Chief Executive's,2014-07-30,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,850.00
Environment & Regeneration,2014-07-04,ADVANCED CALIBRATIONS LTD,329.00
Children's Services,2014-07-02,ADVANCED CHILDCARE GROUP,12540.00
Children's Services,2014-07-02,ADVANCED CHILDCARE GROUP,5520.00
Children's Services,2014-07-02,ADVANCED CHILDCARE GROUP,5142.86
Children's Services,2014-07-02,ADVANCED CHILDCARE GROUP,12000.00
Children's Services,2014-07-02,ADVANCED CHILDCARE GROUP,12540.00
Environment & Regeneration,2014-07-08,AEBI SCHMIDT UK LTD,264.75
Environment & Regeneration,2014-07-08,AEBI SCHMIDT UK LTD,577.74
Environment & Regeneration,2014-07-31,AEBI SCHMIDT UK LTD,822.04
Environment & Regeneration,2014-07-11,AEBI SCHMIDT UK LTD,1244.00
Environment & Regeneration,2014-07-28,AEBI SCHMIDT UK LTD,317.36
Environment & Regeneration,2014-07-14,AEROVISION LTD,2030.00
Environment & Regeneration,2014-07-04,AGD SYSTEMS LTD,1500.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,30.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,7840.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,60.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,5680.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,12705.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,110.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,30.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,7360.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,1000.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,130.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,13905.00
Environment & Regeneration,2014-07-31,AGD SYSTEMS LTD,827.00
Environment & Regeneration,2014-07-07,AGD SYSTEMS LTD,2190.00
Adult and Culture,2014-07-14,AGE UK NEWCASTLE,6321.14
Adult and Culture,2014-07-17,AGE UK NEWCASTLE,1460.48
Adult and Culture,2014-07-17,AGE UK NEWCASTLE,6937.28
Adult and Culture,2014-07-17,AGE UK NEWCASTLE,1369.20
Adult and Culture,2014-07-17,AGE UK NEWCASTLE,1780.08
Adult and Culture,2014-07-17,AGE UK NEWCASTLE,273.84
Adult and Culture,2014-07-17,AGE UK NEWCASTLE,1665.88
Adult and Culture,2014-07-15,AGE UK NEWCASTLE,20724.37
Adult and Culture,2014-07-14,AGE UK NEWCASTLE,20698.16
Adult and Culture,2014-07-14,AGE UK NEWCASTLE,3209.08
Adult and Culture,2014-07-14,AGE UK NEWCASTLE,10480.12
Adult and Culture,2014-07-08,AGE UK NEWCASTLE,3038.50
Adult and Culture,2014-07-08,AGE UK NEWCASTLE,9758.60
Adult and Culture,2014-07-08,AGE UK NEWCASTLE,-882.05
Adult and Culture,2014-07-08,AGE UK NEWCASTLE,46568.39
Adult and Culture,2014-07-08,AGE UK NEWCASTLE,5561.87
Adult and Culture,2014-07-08,AGE UK NEWCASTLE,761.72
Adult and Culture,2014-07-08,AGE UK NEWCASTLE,1412.42
Environment & Regeneration,2014-07-03,AIR TECHNIQUE,1125.00
Adult and Culture,2014-07-04,AJP PROPERTY SERVICES LTD,1820.00
Environment & Regeneration,2014-07-08,AKW MEDI-CARE LTD,349.68
Environment & Regeneration,2014-07-08,AKW MEDI-CARE LTD,349.68
Environment & Regeneration,2014-07-08,AKW MEDI-CARE LTD,330.93
