Organisational Unit,Payment Date,Benificiary Name,Amount
Environment & Regeneration,2013-09-27,3663,310.52
Environment & Regeneration,2013-09-18,3663,331.21
Environment & Regeneration,2013-09-06,3663,293.94
Environment & Regeneration,2013-09-02,BIN MASTERS LTD,900.00
Environment & Regeneration,2013-09-23,THOMPSONS OF PRUDHOE LTD,1293.50
Environment & Regeneration,2013-09-25,THOMPSONS OF PRUDHOE LTD,1293.50
Environment & Regeneration,2013-09-02,THOMPSONS OF PRUDHOE LTD,581.16
Adult and Culture,2013-09-24,13 FERGUSONS LANE,1540.00
Adult and Culture,2013-09-24,18 SEA VIEW VILLAS,1540.00
Children's Services,2013-09-13,1ST ADVANCE LTD,1020.60
Chief Executive's,2013-09-12,A KIME ELECTRICAL,368.00
Environment & Regeneration,2013-09-11,A PLANT ACROW,347.76
Children's Services,2013-09-25,A SIGNIFICANT OTHER LTD,8600.00
Children's Services,2013-09-05,A SIGNIFICANT OTHER LTD,8600.00
Children's Services,2013-09-25,A WILDERNESS WAY,8296.00
Children's Services,2013-09-25,A WILDERNESS WAY,14000.00
Children's Services,2013-09-05,A WILDERNESS WAY,14000.00
Environment & Regeneration,2013-09-10,A&J KEITH LTD,53094.88
Children's Services,2013-09-23,A1 INDUSTRIAL TRUCKS LTD,337.00
Environment & Regeneration,2013-09-30,AAA CHEMICALS LTD,476.00
Adult and Culture,2013-09-10,ABBEYFIELD CASTLE FARM,-1147.08
Adult and Culture,2013-09-10,ABBEYFIELD CASTLE FARM,3488.00
Adult and Culture,2013-09-10,ABBEYFIELD THE GROVE,-2566.48
Adult and Culture,2013-09-10,ABBEYFIELD THE GROVE,5232.00
Adult and Culture,2013-09-10,ABBEYMOOR,-573.08
Adult and Culture,2013-09-10,ABBEYMOOR,-315.20
Adult and Culture,2013-09-10,ABBEYMOOR,3462.52
Adult and Culture,2013-09-10,ABBEYMOOR,2010.56
Adult and Culture,2013-09-10,ABBEYWELL COURT CARE HOMES,2300.00
Environment & Regeneration,2013-09-03,ABEL ALARM COMPANY LTD,480.00
Adult and Culture,2013-09-10,ABIGAIL HOUSE,-8832.70
Adult and Culture,2013-09-10,ABIGAIL HOUSE,27935.58
Adult and Culture,2013-09-20,ABOUT TURN VETERANS SUPPORT SERVICE,2286.83
Adult and Culture,2013-09-03,ACCEPT CARE,-290.96
Adult and Culture,2013-09-03,ACCEPT CARE,1817.20
Adult and Culture,2013-09-03,ACCEPT CARE,4906.44
Children's Services,2013-09-26,ACCESS INDEPENDENT,2086.50
Environment & Regeneration,2013-09-06,ACP,4720.00
Environment & Regeneration,2013-09-04,ACP,865.83
Children's Services,2013-09-23,ACROL AIR CONDITIONING CO LTD,2888.40
Environment & Regeneration,2013-09-19,ACROL AIR CONDITIONING CO LTD,679.27
Environment & Regeneration,2013-09-19,ACTION BUILDING MAINTENANCE LTD,880.19
Adult and Culture,2013-09-20,ACTION FOR CHILDREN,6705.79
Children's Services,2013-09-25,ACTION FOR CHILDREN,11176.00
Children's Services,2013-09-05,ACTION FOR CHILDREN,18924.29
Children's Services,2013-09-05,ACTION FOR CHILDREN,1194.00
Adult and Culture,2013-09-17,ACTION ON HEARING LOSS,416.46
Adult and Culture,2013-09-17,ACTION ON HEARING LOSS,420.18
Adult and Culture,2013-09-23,ACTION ON HEARING LOSS,314.92
Environment & Regeneration,2013-09-04,AD ARCHAEOLOGY LTD,495.00
Environment & Regeneration,2013-09-16,AD MERCHANDISE LTD,525.00
Environment & Regeneration,2013-09-16,AD MERCHANDISE LTD,1428.00
Environment & Regeneration,2013-09-27,AD MERCHANDISE LTD,1053.50
Children's Services,2013-09-20,ADAM CLEMERSON TA MR PAINTBRUSH,2370.00
Children's Services,2013-09-26,ADARE LTD,670.73
Environment & Regeneration,2013-09-26,ADC ELECTRICAL CO LTD(F),1154.93
Environment & Regeneration,2013-09-24,ADC ELECTRICAL CO LTD(F),417.48
Children's Services,2013-09-26,ADOPTION UK,580.13
Children's Services,2013-09-25,ADOPTION UK,445.00
Children's Services,2013-09-25,ADOPTION UK,445.00
Children's Services,2013-09-25,ADOPTION UK,445.00
Children's Services,2013-09-25,ADOPTION UK,435.00
Environment & Regeneration,2013-09-26,ADT FIRE & SECURITY,1547.01
Environment & Regeneration,2013-09-26,ADT FIRE & SECURITY,4402.30
Environment & Regeneration,2013-09-26,ADT FIRE & SECURITY,740.57
Environment & Regeneration,2013-09-27,ADT FIRE & SECURITY,583.90
HRA,2013-09-04,ADT FIRE & SECURITY,424.92
HRA,2013-09-13,ADT FIRE & SECURITY,1191.62
HRA,2013-09-02,ADT FIRE & SECURITY,463.10
Adult and Culture,2013-09-06,ADULT ENTERPRISE,4000.00
Environment & Regeneration,2013-09-09,ADVANCE INSTALLATIONS LTD,819.33
Chief Executive's,2013-09-11,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,1633.97
Children's Services,2013-09-25,ADVANCED CHILDCARE GROUP,27200.00
Children's Services,2013-09-25,ADVANCED CHILDCARE GROUP,15000.00
