Payment Date,Benificiary Name,Amount
2013-01-13,3663,291.13
2013-01-06,3663,256.07
2013-01-22,DAYBREAK CENTRES,326.20
2013-01-28,DAYBREAK CENTRES,739.50
2013-01-18,DAYBREAK CENTRES,532.44
2013-01-18,DAYBREAK CENTRES,260.96
2013-01-14,NATIONAL SKILLS ACADEMY SOCIAL CARE,450.00
2013-01-27,THOMPSONS OF PRUDHOE LTD,859.32
2013-01-27,THOMPSONS OF PRUDHOE LTD,432.74
2013-02-01,THOMPSONS OF PRUDHOE LTD,331.84
2013-01-16,Redacted Personal Data,1540.00
2013-01-16,Redacted Personal Data,1540.00
2013-01-16,20-20 VISION SYSTEMS LTD,376.70
2013-01-18,3FOX INTERNATIONAL LIMITED,5000.00
2013-01-13,56TH NEWCASTLE BROWNIES,650.00
2013-01-13,A LIVING TRADITION,2175.80
2013-01-10,ASHTEAD PLANT HIRE CO LTD,458.51
2013-01-31,A WILDERNESS WAY,3500.00
2013-01-16,A WILDERNESS WAY,3500.00
2013-01-04,A WILDERNESS WAY,14000.00
2013-01-16,A&J KEITH LTD,47605.17
2013-02-02,A&S LOCKSMITHS,212.75
2013-01-18,AA GLOBAL LANGUAGES SERVICES LTD,465.00
2013-01-20,AARAN BUILDERS (NE) LTD,4897.80
2013-01-20,AARAN BUILDERS (NE) LTD,1847.40
2013-01-13,AARAN BUILDERS (NE) LTD,4932.60
2013-01-30,ABBEYFIELD CASTLE FARM,-2212.48
2013-01-30,ABBEYFIELD CASTLE FARM,6976.00
2013-01-30,ABBEYFIELD THE GROVE,-3725.64
2013-01-30,ABBEYFIELD THE GROVE,6976.00
2013-01-30,ABBEYMOOR,-476.80
2013-01-30,ABBEYMOOR,-311.40
2013-01-30,ABBEYMOOR,3462.52
2013-01-30,ABBEYMOOR,2010.56
2013-01-30,ABBEYWELL COURT CARE HOMES,2300.00
2013-01-30,ABIGAIL HOUSE,-13086.86
2013-01-30,ABIGAIL HOUSE,42388.29
2013-01-22,ACCEPT CARE,-270.96
2013-01-22,ACCEPT CARE,1817.20
2013-01-22,ACCEPT CARE,4906.44
2013-01-10,ACCESS CONSTRUCTION,1035.15
2013-01-10,ACCESS CONSTRUCTION,4499.17
2013-01-10,ACCESS CONSTRUCTION,5018.56
2013-01-13,ACCESS CONSTRUCTION,593.63
2013-01-23,ACCESS CONSTRUCTION,6831.63
2013-01-26,ACCESS CONSTRUCTION,3447.75
2013-01-13,ACCESS INDEPENDENT,3477.50
2013-01-26,ACCIDENT EXCHANGE LIMITED,362.96
2013-01-16,ACOMB COURT,962.76
2013-01-16,ACORN TREATMENT AND HOUSING,990.00
2013-01-13,ACP,1178.93
2013-01-31,ACP,743.22
2013-01-13,ACP,4750.00
2013-01-18,ACTION BUILDING MAINTENANCE LTD,2961.40
2013-01-16,ACTION BUILDING MAINTENANCE LTD,217.10
2013-01-18,ACTION FOR CHILDREN,6560.00
2013-01-29,ACTION FOR CHILDREN,1194.00
2013-01-15,ACTION FOR CHILDREN,1194.00
2013-01-15,ACTION FOR CHILDREN,750.00
2013-01-23,ACTION FOR CHILDREN,6417.83
2013-01-23,ACTION FOR CHILDREN,6417.83
2013-01-23,ACTION FOR CHILDREN,6417.83
2013-01-19,ACTIVE HORIZONS LTD,857.75
2013-01-09,ACTIVE HORIZONS LTD,857.75
2013-01-16,ACTIVE HORIZONS LTD,-476.80
2013-01-16,ACTIVE HORIZONS LTD,1648.00
2013-01-16,ACTIVE HORIZONS LTD,553.26
2013-01-15,ACTIVE TRAVEL,1350.00
2013-01-15,ACTIVE TRAVEL,1430.00
2013-01-06,ADARE LTD,6626.66
2013-01-17,ADARE LTD,730.49
2013-01-11,ADC ELECTRICAL CO LTD(F),3126.00
2013-01-11,ADC ELECTRICAL CO LTD(F),1160.00
2013-01-11,ADC ELECTRICAL CO LTD(F),294.64
2013-01-23,ADMEDIA LEISURE LTD,1363.00
2013-01-30,ADMORRE LTD,-476.80
2013-01-30,ADMORRE LTD,1802.60
2013-01-15,ADOPTION UK,435.00
2013-01-15,ADOPTION UK,550.00
2013-01-15,ADOPTION UK,700.00
2013-01-15,ADOPTION UK,550.00
2013-01-15,ADOPTION UK,550.00
2013-01-15,ADOPTION UK,435.00
2013-01-15,ADOPTION UK,550.00
2013-01-13,ADT FIRE & SECURITY,1139.64
2013-01-13,ADT FIRE & SECURITY,942.17
2013-01-13,ADT FIRE & SECURITY,1263.55
2013-01-13,ADT FIRE & SECURITY,671.67
2013-01-10,ADT FIRE & SECURITY,323.24
2013-01-10,ADT FIRE & SECURITY,644.51
2013-01-10,ADVANCE INSTALLATIONS LTD,1481.34
2013-01-10,ADVANCE INSTALLATIONS LTD,1368.00
2013-02-01,ADVANCE INSTALLATIONS LTD,1000.33
2013-02-01,ADVANCE INSTALLATIONS LTD,891.00
2013-01-06,ADVANCE INSTALLATIONS LTD,797.33
2013-01-26,ADVANCE INSTALLATIONS LTD,1482.43
2013-01-26,ADVANCE INSTALLATIONS LTD,1714.00
2013-01-26,ADVANCE INSTALLATIONS LTD,779.00
2013-01-26,ADVANCE INSTALLATIONS LTD,1460.33
2013-01-25,ADVANCED CLEANING & MAINTENANCE LTD,798.00
2013-01-26,ADVANCED CLEANING & MAINTENANCE LTD,2217.60
2013-01-25,ADVANCED CLEANING & MAINTENANCE LTD,1050.00
2013-01-19,ADVANCED CLEANING & MAINTENANCE LTD,450.00
2013-01-12,ADVANCED WATER TECHNOLOGIES,1365.00
2013-01-10,ADVANTAGE UTILTITIES LTD,400.00
2013-01-19,AEBI SCHMIDT UK LTD,514.49
2013-01-17,AEBI SCHMIDT UK LTD,276.49
2013-01-06,AECOM,6481.50
2013-01-25,AEROVISION LTD,218.00
2013-01-15,AFTER ADOPTION,1995.00
2013-01-19,AGD SYSTEMS LTD,1880.00
2013-01-25,AGD SYSTEMS LTD,17690.00
2013-01-25,AGD SYSTEMS LTD,80.00
2013-01-04,AGE UK NEWCASTLE,6846.00
2013-01-02,AGE UK NEWCASTLE,273.84
2013-01-02,AGE UK NEWCASTLE,1369.20
2013-01-07,AGE UK NEWCASTLE,5742.08
2013-01-10,AGE UK NEWCASTLE,5944.61
2013-01-10,AGE UK NEWCASTLE,6846.00
2013-01-31,AGE UK NEWCASTLE,1780.00
2013-01-31,AGE UK NEWCASTLE,456.40
2013-01-31,AGE UK NEWCASTLE,661.78
2013-01-22,AGE UK NEWCASTLE,62667.32
2013-01-22,AGE UK NEWCASTLE,6055.50
2013-01-22,AGE UK NEWCASTLE,352.00
2013-01-22,AGE UK NEWCASTLE,1254.00
2013-01-22,AGE UK NEWCASTLE,770.00
2013-01-22,AGE UK NEWCASTLE,1917.50
2013-01-22,AGE UK NEWCASTLE,10856.00
2013-01-22,AGE UK NEWCASTLE,236.00
2013-01-27,AGE UK NEWCASTLE,650.00
2013-01-17,AIR TECHNIQUE,270.00
2013-01-17,AIR TECHNIQUE,1470.00
2013-01-30,AJP PROPERTY SERVICES LTD,455.00
2013-01-26,AJP PROPERTY SERVICES LTD,455.00
2013-01-26,AJP PROPERTY SERVICES LTD,455.00
2013-01-16,AKW MEDI-CARE LTD,491.60
2013-01-06,AKW MEDI-CARE LTD,283.39
2013-01-19,AKW MEDI-CARE LTD,495.52
2013-01-19,AKW MEDI-CARE LTD,291.89
2013-01-12,AKW MEDI-CARE LTD,426.68
2013-01-25,ALAN FAIRBAIRN MARQUEE HIRE LTD,520.00
2013-01-18,ALAN HOOPER SIGNS,640.00
2013-01-10,ALAN WILLIAMS ARCHAEOLOGY,4780.00
2013-01-27,ALAN WILLIAMS ARCHAEOLOGY,3000.00
2013-01-12,ALARM,580.00
2013-01-09,ALARM&COMMUNICATION SYSTEMS LTD,4999.00
2013-01-30,ALBANY HOUSE  (WHITLEY BAY),6204.08
2013-01-06,ALBANY OFFICE FURNITURE SOLUTIONS,2050.00
2013-01-19,ALBANY OFFICE FURNITURE SOLUTIONS,290.00
2013-01-20,ALBANY OFFICE FURNITURE SOLUTIONS,309.00
2013-01-30,ALEXANDRA PARK,13321.80
2013-01-30,ALEXANDRA PARK,8262.96
2013-01-30,ALLAN COURT RESIDENTIAL HOME,1167.49
2013-01-30,ALLAN COURT RESIDENTIAL HOME,-3643.00
2013-01-30,ALLAN COURT RESIDENTIAL HOME,17973.80
2013-01-30,ALLAN COURT RESIDENTIAL HOME,15220.00
2013-01-30,ALLAN COURT RESIDENTIAL HOME,434.80
2013-01-30,ALLAN COURT RESIDENTIAL HOME,11894.89
2013-01-30,ALLAN COURT RESIDENTIAL HOME,4895.17
2013-01-16,ALLENDALE HOUSE TENANTS ASSOCIATION,1000.00
2013-01-18,ALLIANCE DISPOSABLES LTD,384.92
2013-01-15,ALLIED HEALTH CARE GROUP LTD,525.00
2013-01-15,ALLIED HEALTH CARE GROUP LTD,2482.56
2013-01-10,ALLIED IMAGES,400.00
2013-01-27,ALLIED IMAGES,517.24
2013-01-20,ALLIED IMAGES,517.24
2013-02-01,ALLPAY.NET LIMITED,459.67
2013-02-01,ALLPAY.NET LIMITED,10.00
2013-01-27,ALPHATEC,271.60
2013-01-17,ALZHEIMERS SOCIETY,14462.88
2013-01-16,AMBER HOUSE RESIDENTIAL HOME,-1183.88
2013-01-16,AMBER HOUSE RESIDENTIAL HOME,5100.00
2013-01-10,AMBIUS,213.08
2013-01-16,AMELANS,8000.00
2013-01-25,ANCHOR HOUSING ASSOCIATION,611.40
2013-01-30,ANCHOR TRUST,18274.96
2013-01-25,ANCHOR TRUST,853.47
2013-01-15,ANDRELL EDUCATION LTD,3300.00
2013-01-31,Redacted Personal Data,360.00
2013-01-13,Redacted Personal Data,340.00
2013-01-06,ANDREW SYKES HIRE LIMITED,726.00
2013-01-06,ANDREW SYKES HIRE LIMITED,880.00
2013-01-09,ANDREW SYKES HIRE LIMITED,233.20
2013-01-17,ANDREW SYKES HIRE LIMITED,840.00
2013-01-17,ANDREW SYKES HIRE LIMITED,693.00
2013-01-17,ANDREW SYKES HIRE LIMITED,222.60
2013-01-12,ANDTECH SYSTEMS,835.00
2013-01-25,ANFIELD COURT RESIDENTS ASSOCIATION,510.00
2013-01-17,ANGUS MCKIE ILLUSTRATIONS,1800.00
2013-01-17,ANGUS MCKIE ILLUSTRATIONS,600.00
2013-01-06,Redacted Personal Data,975.00
2013-01-10,ANTALIS MCNAUGHTON LTD,473.20
2013-01-06,ANTALIS MCNAUGHTON LTD,966.40
2013-01-06,ANTALIS MCNAUGHTON LTD,320.80
2013-01-23,ANTALIS MCNAUGHTON LTD,1640.00
2013-01-23,ANTALIS MCNAUGHTON LTD,1745.60
2013-01-09,APOGEE CORPORATION,713.33
2013-01-20,APSE,1999.00
2013-01-15,AQUAID NORTH,221.80
2013-01-12,AQUILA SHELTERS LTD,12060.00
2013-01-11,ARCO LTD,257.05
2013-01-31,ARCO LTD,294.43
2013-01-30,AREEEBA DISTRIBUTION,277.50
2013-01-30,AREEEBA DISTRIBUTION,277.50
2013-01-30,AREEEBA DISTRIBUTION,277.50
2013-01-30,AREEEBA DISTRIBUTION,277.50
2013-01-18,ARK ASSOCIATES,367.50
2013-01-10,ARMCON LTD,210.00
2013-01-10,ARMCON LTD,65.00
2013-01-11,ARNOLD CLARK,288.84
2013-01-26,ARNOLD CLARK,208.99
2013-01-19,ARRIVA NORTH EAST,7920.00
2013-02-01,ASA AWARD SCHEME,269.24
2013-02-02,ASA AWARD SCHEME,212.05
2013-01-13,ASH & LACY PERFORATORS LTD,10390.00
2013-01-30,ASHFIELD COURT,-2851.96
2013-01-30,ASHFIELD COURT,7411.77
2013-01-15,ASHMOLE MINICOACHES,515.00
2013-01-16,ASHTEAD PLANT HIRE CO LTD,380.00
2013-01-17,ASHTEAD PLANT HIRE CO LTD,352.93
2013-01-25,ASKEWS LIBRARY SERVICES LTD,1219.00
2013-01-25,ASKEWS LIBRARY SERVICES LTD,400.41
2013-01-25,ASKEWS LIBRARY SERVICES LTD,472.61
2013-01-04,ASKEWS LIBRARY SERVICES LTD,335.33
2013-01-04,ASKEWS LIBRARY SERVICES LTD,588.09
2013-01-04,ASKEWS LIBRARY SERVICES LTD,501.39
2013-01-17,ASKEWS LIBRARY SERVICES LTD,734.05
2013-01-17,ASKEWS LIBRARY SERVICES LTD,725.38
2013-01-18,ASKEWS LIBRARY SERVICES LTD,929.88
2013-01-18,ASKEWS LIBRARY SERVICES LTD,392.12
2013-01-09,ASKEWS LIBRARY SERVICES LTD,750.88
2013-01-21,ASKEWS LIBRARY SERVICES LTD,442.36
2013-01-03,ASKEWS LIBRARY SERVICES LTD,577.10
2013-01-03,ASKEWS LIBRARY SERVICES LTD,509.81
2013-01-03,ASKEWS LIBRARY SERVICES LTD,495.05
2013-01-16,ASPINDEN WOOD CENTRE,-476.80
2013-01-16,ASPINDEN WOOD CENTRE,2760.00
2013-01-07,ASPIRATIONS CARE LTD,10781.46
2013-01-07,ASPIRATIONS CARE LTD,17672.50
2013-01-30,ASSOCIATION OF ELECTORAL ADMINISTRATORS,350.00
2013-01-04,AT COMPUTERS,375.00
2013-01-15,AT COMPUTERS,620.00
2013-01-22,AT HOME IN THE COMMUNITY LTD,1851.80
2013-01-22,AT HOME IN THE COMMUNITY LTD,1851.80
2013-01-25,AT HOME IN THE COMMUNITY LTD,9648.00
2013-01-22,AT HOME IN THE COMMUNITY LTD,-570.69
2013-01-22,AT HOME IN THE COMMUNITY LTD,-570.69
2013-01-22,AT HOME IN THE COMMUNITY LTD,-570.69
2013-01-22,AT HOME IN THE COMMUNITY LTD,-570.69
2013-01-31,AT HOME IN THE COMMUNITY LTD,-611.77
2013-01-24,AT HOME IN THE COMMUNITY LTD,-806.94
2013-01-22,AT HOME IN THE COMMUNITY LTD,8576.39
2013-01-22,AT HOME IN THE COMMUNITY LTD,1448.57
2013-01-22,AT HOME IN THE COMMUNITY LTD,1108.28
2013-01-22,AT HOME IN THE COMMUNITY LTD,1514.24
2013-01-22,AT HOME IN THE COMMUNITY LTD,6533.36
2013-01-22,AT HOME IN THE COMMUNITY LTD,1448.57
2013-01-22,AT HOME IN THE COMMUNITY LTD,1108.28
2013-01-22,AT HOME IN THE COMMUNITY LTD,1514.24
2013-01-22,AT HOME IN THE COMMUNITY LTD,6825.99
2013-01-22,AT HOME IN THE COMMUNITY LTD,1448.57
2013-01-22,AT HOME IN THE COMMUNITY LTD,1108.28
2013-01-22,AT HOME IN THE COMMUNITY LTD,1514.24
