Payment Date,Benificiary Name,Amount
2012-11-28,LASA,990
2012-11-08,BERTRAMS BOOKS,901.36
2012-11-05,DEAFBLIND ENABLEMENT LTD,1060
2012-11-27,ICIS,892.1
2012-11-12,Redacted Personal Data,3000
2012-11-08,UNIVERSITY OF NORTHUMBRIA,3800
2012-11-08,UNIVERSITY OF NORTHUMBRIA,1680
2012-11-21,UNIVERSITY OF NORTHUMBRIA,761.67
2012-11-21,UNIVERSITY OF NORTHUMBRIA,761.67
2012-11-14,UNIVERSITY OF NORTHUMBRIA,1750
2012-11-21,UNIVERSITY OF NORTHUMBRIA,1523.33
2012-11-21,UNIVERSITY OF NORTHUMBRIA,1523.33
2012-11-12,FACE RECORDING & MEASUREMENT SYSTEMS LTD,2848
2012-11-13,FACE RECORDING & MEASUREMENT SYSTEMS LTD,2484
2012-11-08,N POWER NORTHERN LTD,582.91
2012-11-08,HEALTH PROTECTION AGENCY,964.06
2012-11-15,NALESTAR LTD,470.4
2012-11-26,NEOPOST LTD,432.05
2012-11-09,PREMIER HEALTHCARE & HYGIENE,627.5
2012-11-30,SUPPLIES TEAM LTD,1317.9
2012-11-09,BUILDING FUTURES EAST,721.5
2012-11-16,FOUNDRY DC,617
2012-11-06,JAMBOYOGA,720
2012-11-23,JAMBOYOGA,900
2012-11-29,OWEN PUGH & CO LTD,21674
2012-11-02,THURLOW COUNTRYSIDE MANAGEMENT LTD,600
2012-11-14,DR CATHERINE M LEE,9600
2012-11-23,AGE UK NEWCASTLE,593.32
2012-11-26,AGE UK NEWCASTLE,1506.12
2012-11-20,AGE UK NEWCASTLE,6846
2012-11-20,AGE UK NEWCASTLE,6328.79
2012-11-21,AGE UK NEWCASTLE,1460.48
2012-11-21,AGE UK NEWCASTLE,1369.2
2012-11-21,AGE UK NEWCASTLE,502.04
2012-11-21,AGE UK NEWCASTLE,1780
2012-11-21,AGE UK NEWCASTLE,1780
2012-11-09,AGE UK NEWCASTLE,7119.84
2012-11-09,AGE UK NEWCASTLE,6634
2012-11-09,AGE UK NEWCASTLE,524.86
2012-11-09,AGE UK NEWCASTLE,1460.48
2012-11-09,AGE UK NEWCASTLE,1842.75
2012-11-09,AGE UK NEWCASTLE,1842.75
2012-11-26,AZURE,4509.96
2012-11-21,AZURE,866.16
2012-11-13,CARE UK HOMECARE,1104.66
2012-11-20,COQUET TRUST,5938.83
2012-11-23,COQUET TRUST,3880.56
2012-11-09,DEMENTIA CARE PARTNERSHIP,1523.54
2012-11-09,DEMENTIA CARE PARTNERSHIP,1637.24
2012-11-09,DEMENTIA CARE PARTNERSHIP,1227.93
2012-11-23,DEMENTIA CARE PARTNERSHIP,2777.48
2012-11-23,DEMENTIA CARE PARTNERSHIP,2534.43
2012-11-09,GUARDIAN HOMECARE & NURSING (NCLE) LTD,2922.48
2012-11-09,GUARDIAN HOMECARE & NURSING (NCLE) LTD,3554.44
2012-11-30,GUARDIAN HOMECARE & NURSING (NCLE) LTD,7481.26
2012-11-30,GUARDIAN HOMECARE & NURSING (NCLE) LTD,7852.97
2012-11-30,GUARDIAN HOMECARE & NURSING (NCLE) LTD,4099.31
2012-11-30,GUARDIAN HOMECARE & NURSING (NCLE) LTD,586
2012-11-09,GUARDIAN HOMECARE & NURSING (NCLE) LTD,4103.73
2012-11-09,GUARDIAN HOMECARE & NURSING (NCLE) LTD,7210.99
2012-11-09,GUARDIAN HOMECARE & NURSING (NCLE) LTD,7206.42
2012-11-09,GUARDIAN HOMECARE & NURSING (NCLE) LTD,2922.48
2012-11-09,GUARDIAN HOMECARE & NURSING (NCLE) LTD,580.96
2012-11-21,JB SKILLCARE LTD,8018.43
2012-11-21,JB SKILLCARE LTD,7918.89
2012-11-28,KEY ENTERPRISES (1983) LTD,2234.37
2012-11-22,LEONARD CHESHIRE DISABILITY,622.16
2012-11-26,LS CARE LTD,2620.08
2012-11-26,LS CARE LTD,723.33
2012-11-22,LS CARE LTD,693.76
2012-11-22,LS CARE LTD,621.58
2012-11-22,LS CARE LTD,2620.08
2012-11-21,LS CARE LTD,2620.08
2012-11-23,LS CARE LTD,2620.08
2012-11-23,LS CARE LTD,707.63
2012-11-26,MOMENTUM,1718.8
2012-11-26,MOMENTUM,1562.4
2012-11-23,MOMENTUM,847
2012-11-21,NEURO PARTNERS LTD,7851
2012-11-21,NEURO PARTNERS LTD,1979.25
2012-11-28,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,3004.44
2012-11-30,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,1114.03
2012-11-30,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,10136.06
2012-11-30,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,1904.74
2012-11-19,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,10331.29
2012-11-21,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),647.66
2012-11-22,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),3695.84
2012-11-22,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),3695.84
2012-11-20,PHOENIX HOUSE,2289.3
2012-11-20,PHOENIX HOUSE,520
2012-11-21,POSITIVE LIFE CHOICES(F),501.3
2012-11-21,POSITIVE LIFE CHOICES(F),501.3
2012-11-21,POSITIVE LIFE CHOICES(F),1502.9
2012-11-21,POSITIVE LIFE CHOICES(F),1502.9
2012-11-28,POSITIVE LIFE CHOICES(F),1502.9
2012-11-09,POSITIVE LIFE CHOICES(F),1502.9
2012-11-14,DAVID JOHNSON TAXIS,975
2012-11-16,DJ MINIBUSES,435
2012-11-16,DJ MINIBUSES,435
2012-11-16,DJ MINIBUSES,435
2012-11-23,DJ MINIBUSES,435
2012-11-23,DJ MINIBUSES,435
2012-11-16,FIVE STAR SERVICES LTD,426.6
2012-11-16,FIVE STAR SERVICES LTD,533.4
2012-11-02,FIVE STAR SERVICES LTD,418.8
2012-11-16,LA TAXIS,950
2012-11-16,LA TAXIS,595
2012-11-08,LA TAXIS,952.6
2012-11-29,LA TAXIS,950
2012-11-19,BUNZL CLEANING & HYGIENE SUPPLIES,532.97
2012-11-22,ACCESS CONSTRUCTION,562
2012-11-30,NEWCASTLE ON TYNE HOSPITALS NHS TRUST,533.4
2012-11-30,NEWCASTLE ON TYNE HOSPITALS NHS TRUST,643.58
2012-11-06,NEWCASTLE ON TYNE HOSPITALS NHS TRUST,954.64
2012-11-06,NEWCASTLE ON TYNE HOSPITALS NHS TRUST,1631.7
2012-11-21,NEWCASTLE ON TYNE HOSPITALS NHS TRUST,1070.7
2012-11-07,SERVICE DIRECT,3319.38
2012-11-23,SERVICE DIRECT,13309.77
2012-11-16,NEWCASTLE AMBULANCE SERVICE,2203.2
2012-11-07,NEWCASTLE AMBULANCE SERVICE,2203.2
2012-11-07,NEWCASTLE AMBULANCE SERVICE,2203.2
2012-11-09,NEWCASTLE AMBULANCE SERVICE,2203.2
