Payment Date,Benificiary Name,Amount
2013-02-05,3663,451.73
2013-02-05,3663,632.93
2013-02-20,3663,331.85
2013-02-07,3A ENTERTAINMENT LTD,55767.11
2013-02-13,A WILDERNESS WAY,3500.00
2013-02-20,A WILDERNESS WAY,3500.00
2013-02-24,A WILDERNESS WAY,3500.00
2013-02-05,A&J KEITH LTD,86034.31
2013-02-10,A&J KEITH LTD,1820.00
2013-02-27,AA FLAGS LTD,669.00
2013-02-24,AAG,465.00
2013-02-20,AARAN BUILDERS (NE) LTD,1388.40
2013-02-20,AARAN BUILDERS (NE) LTD,2496.80
2013-02-20,AARAN BUILDERS (NE) LTD,492.40
2013-02-10,AAT (GB) LTD,4772.00
2013-02-25,ABBEYFIELD CASTLE FARM,-2212.48
2013-02-25,ABBEYFIELD CASTLE FARM,6976.00
2013-02-25,ABBEYFIELD THE GROVE,-3725.64
2013-02-25,ABBEYFIELD THE GROVE,6976.00
2013-02-25,ABBEYMOOR,-476.80
2013-02-25,ABBEYMOOR,-311.40
2013-02-25,ABBEYMOOR,3462.52
2013-02-25,ABBEYMOOR,2010.56
2013-02-25,ABBEYWELL COURT CARE HOMES,2300.00
2013-02-25,ABIGAIL HOUSE,-6038.95
2013-02-25,ABIGAIL HOUSE,18864.02
2013-02-18,ACCENTURE,6170.16
2013-02-18,ACCEPT CARE,-270.96
2013-02-18,ACCEPT CARE,1817.20
2013-02-18,ACCEPT CARE,4906.44
2013-02-05,ACCESS CONSTRUCTION,5147.51
2013-02-13,ACCESS CONSTRUCTION,4615.24
2013-02-14,ACCESS INDEPENDENT,2012.00
2013-02-10,ACCIDENT EXCHANGE LTD,362.96
2013-02-10,ACORN CURTAINS AND BLINDS,2190.00
2013-02-11,ACORN CURTAINS AND BLINDS,1065.72
2013-02-14,ACORN CURTAINS AND BLINDS,630.00
2013-02-26,ACORN TREATMENT AND HOUSING,4455.00
2013-02-26,ACORN TREATMENT AND HOUSING,2970.00
2013-02-04,ACP,735.47
2013-02-05,ACP,6750.00
2013-02-26,ACT TRAVELWISE,1500.00
2013-02-21,ACTION BUILDING MAINTENANCE LTD,1164.00
2013-02-10,ACTION FOR CHILDREN,6560.00
2013-02-14,ACTION FOR CHILDREN,9068.00
2013-02-14,ACTION FOR CHILDREN,8125.00
2013-02-18,ACTION FOR CHILDREN,5097.15
2013-02-18,ACTION FOR CHILDREN,5097.15
2013-02-18,ACTION FOR CHILDREN,5097.15
