Body,BodyName,ServiceLabel,ServiceDivisionLabel,ExpenditureCategory,DetailedExpenditureType,DetailedExpenditureCode,DatePaid,TransactionNumber,NetAmount,CapitalOrRevenue,SupplierName
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Supplies and Services,Other Hired And Contracted Services,265,11-Dec-2012,1212-00001,500.00,R,A Ali
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East     ,East - North East,Construction Services,Supplies and Services,Other Materials,205,05-Dec-2012,1212-00002,690.40,R,A Andrews & Sons (Marbles & Tiles)
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Operational Materials,205,28-Dec-2012,1212-00003,6863.60,R,A C Entertainment Technologies Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Roseville Enterprises,Supplies and Services,Operational Furniture And Equipment,203,27-Dec-2012,1212-00004,1159.22,R,A D G Engineering Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Roseville Enterprises,Supplies and Services,Operational Furniture And Equipment,203,20-Dec-2012,1212-00005,6080.00,R,A D G Engineering Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East     ,East - North East,Construction Services,Supplies and Services,Other Hired And Contracted Services,265,07-Dec-2012,1212-00006,1943.94,R,A D Simpson Construction Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East     ,East - North East,Construction Services,Supplies and Services,Other Hired And Contracted Services,265,07-Dec-2012,1212-00007,5243.29,R,A D Simpson Construction Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,07-Dec-2012,1212-00008,2028.34,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,21-Dec-2012,1212-00009,13675.20,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Capital,Construction,3,14-Dec-2012,1212-00010,57896.64,C,A E Yates Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Capital,Other Costs,7,05-Dec-2012,1212-00011,7417.18,C,A E Yates Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,21-Dec-2012,1212-00012,538.72,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Art Galleries Total Stores,003,12-Dec-2012,1212-00013,1275.00,R,A G Jones
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,18-Dec-2012,1212-00014,662.03,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,07-Dec-2012,1212-00015,730.38,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,21-Dec-2012,1212-00016,1962.48,R,REDACTED PERSONAL DATA
