Body,Body name,Service label,Service divison label,Expenditure category,Detailed expenses type,Detailed expense code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and Services,Waste Disposal Charges,236,30/12/2011,1112-00814,53877.92,R,Biffa Waste Services Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and Services,Waste Disposal Charges,236,30/12/2011,1112-00815,79750.11,R,Biffa Waste Services Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,07/12/2011,1112-00816,1275.63,R,Bilbeck (Merchants) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,13/12/2011,1112-00817,2983.98,R,Bilbeck (Merchants) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,16/12/2011,1112-00818,1763.76,R,Bilbeck (Merchants) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,16/12/2011,1112-00819,516.90,R,Bilbeck (Merchants) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,16/12/2011,1112-00820,1117.93,R,Bilbeck (Merchants) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,16/12/2011,1112-00821,464.04,R,Bilbeck (Merchants) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,23/12/2011,1112-00822,2847.98,R,Bilbeck (Merchants) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West,West - North West,Customer And Tenancy,Supplies and Services,Other Hired And Contracted Services,265,05/12/2011,1112-00823,2047.25,R,Bin Washers Llp,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Plant Spares,346,05/12/2011,1112-00824,1195.28,R,Binson Bearings,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Plant Spares,346,30/12/2011,1112-00825,1652.30,R,Binson Bearings,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and Services,Recycling & Reuse Charges,234,05/12/2011,1112-00826,3976.66,R,Biowise Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and Services,Recycling & Reuse Charges,234,05/12/2011,1112-00827,5889.88,R,Biowise Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and Services,Recycling & Reuse Charges,234,20/12/2011,1112-00828,7432.74,R,Biowise Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and Services,Recycling & Reuse Charges,234,28/12/2011,1112-00829,4055.08,R,Biowise Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and Services,Recycling & Reuse Charges,234,28/12/2011,1112-00830,3478.99,R,Biowise Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,21/12/2011,1112-00831,1100.72,R,Bistre Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Operational Materials,205,14/12/2011,1112-00832,500.00,R,Blachere Wonderland Illuminations Uk Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Operational Materials,205,30/12/2011,1112-00833,875.00,R,Blachere Wonderland Illuminations Uk Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Other Adult Services,Third Party Payments,Payments To Voluntary Organisations,561,13/12/2011,1112-00834,72425.25,R,Black Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Information Technology,Supplies and Services,Computer Software & Equipment,214,21/12/2011,1112-00835,3300.00,R,Blackburn It Services Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Operational Materials,205,07/12/2011,1112-00836,2984.10,R,Blackburns Metals Limited,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Belle Isle,Capital,Construction,3,30/12/2011,1112-00837,3291.60,C,Blackie Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Capital,Construction,3,05/12/2011,1112-00838,2141.80,C,Blakedown Landscapes Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Economic Development,Supplies and Services,Other Hired And Contracted Services,265,06/12/2011,1112-00839,1350.00,R,Blueclaw Media Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Action (West North West),Supplies and Services,Operational Furniture And Equipment,203,15/12/2011,1112-00840,1940.00,R,Bob Wild Grass Machinery,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Operational Materials,205,09/12/2011,1112-00841,560.00,R,Bocm Pauls Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,05/12/2011,1112-00842,514.00,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,05/12/2011,1112-00843,485.00,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,16/12/2011,1112-00844,576.36,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,16/12/2011,1112-00845,557.00,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,22/12/2011,1112-00846,495.72,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,22/12/2011,1112-00847,424.86,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,22/12/2011,1112-00848,730.00,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,22/12/2011,1112-00849,497.59,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,22/12/2011,1112-00850,620.00,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,23/12/2011,1112-00851,3476.00,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,30/12/2011,1112-00852,782.00,R,Boiler & Heating Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Resaleable Materials,204,05/12/2011,1112-00853,1215.00,R,Book Tokens Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Books & Audio-Visual Materials,206,22/12/2011,1112-00854,980.43,R,Books And More Bradford,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Books & Audio-Visual Materials,206,30/12/2011,1112-00855,1982.14,R,Books Asia,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Books & Audio-Visual Materials,206,30/12/2011,1112-00856,500.84,R,Books Asia,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,21/12/2011,1112-00857,1503.04,R,Boroughbridge Lodge,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Supplies and Services,Catering Service,233,09/12/2011,1112-00858,700.00,R,Boutique Catering Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Regeneration Management,Capital,Construction,3,13/12/2011,1112-00859,1207.28,C,Bps Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Learn/Dis,Supplies and Services,Other Hired And Contracted Services,265,23/12/2011,1112-00860,2250.00,R,Bps Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,23/12/2011,1112-00861,5500.00,R,Bps Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Premises,Maintenance Of Buildings,101,30/12/2011,1112-00862,1022.00,R,Bps Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Strategy & Commissioning,Third Party Payments,Supporting Ppl - Block Gross Chargeable,514,05/12/2011,1112-00863,1100.80,R,Bradford And Northern Housing,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Strategy & Commissioning,Third Party Payments,Supporting Ppl - Block Gross Chargeable,514,30/12/2011,1112-00864,1100.80,R,Bradford And Northern Housing,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Economic Development,Income,Admissions  Booking Fees & Ticket Sales,933,29/12/2011,1112-00865,483.14,R,Bradford Council,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,09/12/2011,1112-00866,26984.00,R,Bradford District Care Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Other Hired And Contracted Services,265,09/12/2011,1112-00867,761.60,R,Bradford Dragons Goalball,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,21/12/2011,1112-00868,1475.76,R,Bradford Independent (St Ives) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,21/12/2011,1112-00869,6249.40,R,Bradford Independent (St Ives) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Nursing Home,570,21/12/2011,1112-00870,1679.80,R,Bradford Independent (St Ives) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Residential,580,21/12/2011,1112-00871,1946.80,R,Bradford Independent (St Ives) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Nursing Home,570,21/12/2011,1112-00872,3306.84,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Nursing Home,570,21/12/2011,1112-00873,18936.40,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,21/12/2011,1112-00874,1152.16,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,21/12/2011,1112-00875,2625.20,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,21/12/2011,1112-00876,10074.12,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,21/12/2011,1112-00877,1656.32,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,21/12/2011,1112-00878,1727.88,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Care Emi,574,21/12/2011,1112-00879,3238.80,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Care Emi,574,21/12/2011,1112-00880,4341.28,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,21/12/2011,1112-00881,1257.00,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Nursing Home,570,21/12/2011,1112-00882,2235.32,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Nursing Home,570,21/12/2011,1112-00883,1808.20,R,Bradford Independent Health Care,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Nursing Home,570,21/12/2011,1112-00884,1420.08,R,Bradford Independent Health Care Owlett,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,21/12/2011,1112-00885,29860.01,R,Bradford Independent Health Care Owlett,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Care Emi,574,21/12/2011,1112-00886,3135.55,R,Bradford Independent Health Care Owlett,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Rent,552,23/12/2011,1112-00887,471.25,R,Bradford Metropolitan Council,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Aire Valley Homes Leeds,Aire Valley Homes Leeds,S. Offices,Premises,H.R.A. - Special Maintenance,106,07/12/2011,1112-00888,474.15,R,Bradley Environmental Consultants,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Nursing Home,570,21/12/2011,1112-00889,3782.20,R,Brain Injury Rehabilitation Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Sheltered Accommodation,569,21/12/2011,1112-00890,4930.56,R,Brain Injury Rehabilitation Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Sheltered Accommodation,569,21/12/2011,1112-00891,13187.08,R,Brain Injury Rehabilitation Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Sheltered Accommodation,569,21/12/2011,1112-00892,17621.04,R,Brain Injury Rehabilitation Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Residential,580,21/12/2011,1112-00893,4642.96,R,Brain Injury Rehabilitation Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,05/12/2011,1112-00894,633.08,R,Brain Injury Rehabillitation Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,05/12/2011,1112-00895,655.84,R,Brain Injury Rehabillitation Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,23/12/2011,1112-00896,1524.30,R,Brain Injury Rehabillitation Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,30/12/2011,1112-00897,655.84,R,Brain Injury Rehabillitation Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,30/12/2011,1112-00898,655.84,R,Brain Injury Rehabillitation Trust,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Provisions,231,18/11/2011,1112-00899,594.22,R,Brake Bros Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West,West - North West,Customer And Tenancy,Premises,General Maintenance,104,09/12/2011,1112-00900,4746.90,R,Brambledown Landscape Services Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Strategic Accounts,Miscellaneous,Supplies and Services,Non-Recurring Grants,227,22/12/2011,1112-00901,5000.00,R,Bramham Sports & Leisure Association,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,05/12/2011,1112-00902,807.49,R,Bramham Under Fives,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Payments To Voluntary Organisations,561,30/12/2011,1112-00903,41549.00,R,Bramley Elderly Action,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Contact,548,14/12/2011,1112-00904,423.96,R,Bramley Family Support Project,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Contact,548,15/12/2011,1112-00905,447.45,R,Bramley Family Support Project,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Contact,548,28/12/2011,1112-00906,659.40,R,Bramley Family Support Project,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Contact,548,28/12/2011,1112-00907,518.10,R,Bramley Family Support Project,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Bought In Professional Services,277,30/12/2011,1112-00908,1010.00,R,Brand F Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,21/12/2011,1112-00909,25992.72,R,Brandon House,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Care Emi,574,21/12/2011,1112-00910,1178.52,R,Brandon House,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,21/12/2011,1112-00911,1126.60,R,Brandon House,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Strategy Policy Planning & Participation,Supplies and Services,Licences,266,30/12/2011,1112-00912,1600.00,R,Bre Global Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Strategy Policy Planning & Participation,Supplies and Services,Licences,266,30/12/2011,1112-00913,1500.00,R,Bre Global Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Insurance,Insurance,Supplies and Services,Insurance Claims,248,01/12/2011,1112-00914,3500.00,R,Brearleys Solicitors,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West,West - North West,Regeneration/Customer Research,Precepts,Stationery & External Printing,210,05/12/2011,1112-00915,1094.00,R,Breeze Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West,West - North West,Regeneration/Customer Research,Supplies and Services,Information Technology (Computers),214,23/12/2011,1112-00916,1242.00,R,Breeze Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West,West - North West,Customer And Tenancy,Premises,General Maintenance,104,29/12/2011,1112-00917,1720.26,R,Breeze Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,09/12/2011,1112-00918,495.00,R,Brenntag Uk Limited,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,09/12/2011,1112-00919,495.00,R,Brenntag Uk Limited,,,,,,,,,,,,,,,,,,,,,,,,,
