Supplier Name,Category Family,Invoice GL Date,Spend
1Spatial Group Ltd,Information Technology,2018-07-20,277500.00
1Spatial Group Ltd,Information Technology,2018-07-22,73813.00
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-07-03,48678.91
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-07-17,30000.00
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-07-18,49510.00
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-07-31,27519.50
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-07-03,47908.91
ABB Ltd,Electrification and Fixed Plant,2018-07-06,391225.11
ABB Ltd,Professional Services Direct,2018-07-27,37500.00
ABC Electrification Ltd,Electrification and Fixed Plant,2018-07-18,90000.00
ABC Electrification Ltd,Regulatory Charges,2018-07-24,85676.33
ABC Electrification Ltd,Electrification and Fixed Plant,2018-07-10,590248.43
ABC Electrification Ltd,Electrification and Fixed Plant,2018-07-09,1727839.12
ABC Electrification Ltd,Electrification and Fixed Plant,2018-07-18,248750.15
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-07-22,39761.11
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-17,66384.66
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-07-10,26742.57
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-07-22,44763.29
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-04,235424.00
AECOM Infrastructure & Environment UK Ltd,General Civils,2018-07-22,30165.72
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-07-24,98629.09
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-07-16,67463.11
AECOM Infrastructure & Environment UK Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-07-22,51390.78
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-05,30011.21
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-10,63634.58
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-05,371645.66
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-09,42432.36
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-09,195967.48
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-05,86287.96
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-05,48940.18
AECOM Infrastructure & Environment UK Ltd,General Civils,2018-07-22,147910.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-11,101000.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-03,58891.34
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-04,119311.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-03,38613.43
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-04,178242.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-07-04,198567.55
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-07-11,27847.72
AECOM Ltd,Professional Services Direct,2018-07-23,391924.09
AECOM Ltd,General Civils,2018-07-22,63999.32
AECOM Ltd,General Civils,2018-07-23,138247.10
AECOM Ltd,Professional Services Direct,2018-07-11,788104.00
AECOM Ltd,General Civils,2018-07-23,129870.41
AECOM Ltd,Professional Services Direct,2018-07-17,174420.71
AECOM Ltd,Professional Services Direct,2018-07-10,90380.13
APCOA Parking (UK) Ltd,Buildings,2018-07-05,74962.13
APCOA Parking (UK) Ltd,Facilities - Soft Services,2018-07-24,30668.00
ASE Corporate Eyecare Ltd,HR and Training,2018-07-07,41850.00
Abellio East Anglia Ltd t/a Greater Anglia,Supplies and Services,2018-07-02,39530.75
Abellio ScotRail Ltd,Regulatory Charges,2018-07-08,500000.00
Abellio ScotRail Ltd,Regulatory Charges,2018-07-20,35000.00
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-07-10,270095.28
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-07-19,274044.85
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-07-24,185577.92
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-07-27,540795.68
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-07-06,308143.20
Abtus Ltd,Railway Spares,2018-07-11,39995.00
Addleshaw Goddard,Land & Property Acquisitions (incl. Business Consultancy),2018-07-12,27144.00
Addleshaw Goddard,Land & Property Acquisitions (incl. Business Consultancy),2018-07-25,29776.81
Advanced Power Services Ltd,Electrification and Fixed Plant,2018-07-09,49322.34
Adviserplus Business Solutions Ltd,HR and Training,2018-07-02,106000.00
Adviserplus Business Solutions Ltd,HR and Training,2018-07-30,106000.00
Afiniti Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-07-13,71570.00
Alan Dick Communications Ltd,Telecoms,2018-07-28,52754.11
Allbatteries UK Ltd,,2018-07-13,28749.28
Allstar Business Solutions Ltd,Road Fleet,2018-07-22,333658.26
Allstar Business Solutions Ltd,Road Fleet,2018-07-24,400024.89
Allstar Business Solutions Ltd,Road Fleet,2018-07-24,381783.19
Allstar Business Solutions Ltd,Road Fleet,2018-07-24,390134.37
Allstar Business Solutions Ltd,Road Fleet,2018-07-24,382480.56
Allstar Business Solutions Ltd,Road Fleet,2018-07-24,374153.47
Allstar Business Solutions Ltd,Road Fleet,2018-07-24,372508.42
Allstar Business Solutions Ltd,Road Fleet,2018-07-24,374153.47
Alstom Transport UK Ltd,Signalling,2018-07-11,79274.80
Alstom Transport UK Ltd,Signalling,2018-07-27,54916.78
Alstom Transport UK Ltd,Signalling,2018-07-12,1383671.41
Alstom Transport UK Ltd,Signalling,2018-07-13,134385.00
Alstom Transport UK Ltd,Signalling,2018-07-14,49400.00
Alstom Transport UK Ltd,Signalling,2018-07-14,157542.00
Alstom Transport UK Ltd,Signalling,2018-07-09,36555.00
Alstom Transport UK Ltd,Signalling,2018-07-09,34118.00
Alstom Transport UK Ltd,Signalling,2018-07-16,199413.08
Alstom Transport UK Ltd,Signalling,2018-07-16,599937.14
Alstom Transport UK Ltd,Signalling,2018-07-13,2186065.99
Alstom Transport UK Ltd,Signalling,2018-07-06,36823.76
Alstom Transport UK Ltd,Signalling,2018-07-04,106022.13
Alstom Transport UK Ltd,Professional Services Direct,2018-07-26,29890.39
Alstom Transport UK Ltd,Professional Services Direct,2018-07-26,26474.85
Alstom Transport UK Ltd,Signalling,2018-07-30,102727.02
Altran UK Ltd,Professional Services Direct,2018-07-17,54969.35
Altran UK Ltd,Professional Services Direct,2018-07-12,46388.62
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-03,172151.38
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-31,84245.52
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-09,144560.75
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-31,225195.23
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-31,275314.81
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-05,101464.74
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-02,46457.99
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-06,163024.91
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-27,224286.66
Alun Griffiths (Contractors) Ltd,Buildings,2018-07-03,30000.00
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-06,132902.23
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-06,31491.13
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-04,56640.32
Alun Griffiths (Contractors) Ltd,Buildings,2018-07-05,93009.90
Alun Griffiths (Contractors) Ltd,Buildings,2018-07-03,1035932.10
Alun Griffiths (Contractors) Ltd,General Civils,2018-07-31,600625.31
Amalgamated Construction Ltd,General Civils,2018-07-10,236405.24
Amalgamated Construction Ltd,Buildings,2018-07-23,175136.02
Amalgamated Construction Ltd,Buildings,2018-07-17,63338.11
Amalgamated Construction Ltd,Buildings,2018-07-17,32955.62
Amalgamated Construction Ltd,General Civils,2018-07-17,56969.10
Amalgamated Construction Ltd,General Civils,2018-07-09,32563.41
Amalgamated Construction Ltd,General Civils,2018-07-10,138837.03
Amalgamated Construction Ltd,General Civils,2018-07-05,52097.10
Amalgamated Construction Ltd,General Civils,2018-07-04,128878.68
Amalgamated Construction Ltd,Buildings,2018-07-10,29216.98
Amalgamated Construction Ltd,General Civils,2018-07-26,35412.33
Amalgamated Construction Ltd,General Civils,2018-07-26,30971.17
Amalgamated Construction Ltd,General Civils,2018-07-28,230000.00
Amalgamated Construction Ltd,Professional Services Direct,2018-07-13,91472.46
Amalgamated Construction Ltd,General Civils,2018-07-11,35831.27
Amalgamated Construction Ltd,General Civils,2018-07-11,98323.25
Amalgamated Construction Ltd,General Civils,2018-07-18,50346.92
Amalgamated Construction Ltd,General Civils,2018-07-18,116178.96
Amalgamated Construction Ltd,General Civils,2018-07-11,74988.51
Amalgamated Construction Ltd,General Civils,2018-07-10,29275.77
Amalgamated Construction Ltd,General Civils,2018-07-11,55258.24
Amalgamated Construction Ltd,General Civils,2018-07-25,43419.89
Amalgamated Construction Ltd,General Civils,2018-07-26,488628.94
Amalgamated Construction Ltd,General Civils,2018-07-11,50511.25
Amalgamated Construction Ltd,General Civils,2018-07-10,40000.00
Amalgamated Construction Ltd,General Civils,2018-07-11,50000.00
Amalgamated Construction Ltd,General Civils,2018-07-06,1068925.42
Amalgamated Construction Ltd,Buildings,2018-07-11,45027.51
Amalgamated Construction Ltd,General Civils,2018-07-26,40165.41
Amalgamated Construction Ltd,General Civils,2018-07-26,54672.88
Amalgamated Construction Ltd,General Civils,2018-07-26,68886.61
Amalgamated Construction Ltd,General Civils,2018-07-26,55131.50
Amalgamated Construction Ltd,General Civils,2018-07-26,98476.44
Amalgamated Construction Ltd,General Civils,2018-07-09,34550.86
Amalgamated Construction Ltd,General Civils,2018-07-26,56780.51
Amalgamated Construction Ltd,General Civils,2018-07-31,44025.44
Amalgamated Construction Ltd,General Civils,2018-07-13,60914.95
Amalgamated Construction Ltd,General Civils,2018-07-10,45000.00
Amalgamated Construction Ltd,Buildings,2018-07-11,43952.58
Amalgamated Construction Ltd,General Civils,2018-07-26,30985.47
Amalgamated Construction Ltd,General Civils,2018-07-17,229037.37
Amalgamated Construction Ltd,General Civils,2018-07-26,151917.50
Amalgamated Construction Ltd,General Civils,2018-07-06,207112.45
Amalgamated Construction Ltd,General Civils,2018-07-26,98053.31
Amalgamated Construction Ltd,General Civils,2018-07-26,38498.30
Amalgamated Construction Ltd,General Civils,2018-07-09,303070.37
Amalgamated Construction Ltd,General Civils,2018-07-26,345000.00
Amalgamated Construction Ltd,General Civils,2018-07-26,52024.79
Amalgamated Construction Ltd,General Civils,2018-07-03,92352.35
Amalgamated Construction Ltd,Professional Services Direct,2018-07-17,36674.52
Amalgamated Construction Ltd,Professional Services Direct,2018-07-30,47376.67
Amalgamated Construction Ltd,General Civils,2018-07-03,531710.82
Amalgamated Construction Ltd,General Civils,2018-07-09,283697.44
Amalgamated Construction Ltd,General Civils,2018-07-26,48642.15
Amalgamated Construction Ltd,General Civils,2018-07-06,62333.46
Amalgamated Construction Ltd,General Civils,2018-07-06,28254.13
Amalgamated Construction Ltd,General Civils,2018-07-30,26730.23
Amalgamated Construction Ltd,General Civils,2018-07-06,47181.56
Amalgamated Construction Ltd,General Civils,2018-07-09,180688.57
Amalgamated Construction Ltd,General Civils,2018-07-30,57109.68
Amalgamated Construction Ltd,General Civils,2018-07-16,111621.60
Amalgamated Construction Ltd,General Civils,2018-07-03,31111.64
Amalgamated Construction Ltd,General Civils,2018-07-26,134540.85
Amalgamated Construction Ltd,Buildings,2018-07-11,39204.00
Amalgamated Construction Ltd,General Civils,2018-07-26,52749.09
Amalgamated Construction Ltd,General Civils,2018-07-26,39090.31
Amalgamated Construction Ltd,General Civils,2018-07-04,125874.28
Amalgamated Construction Ltd,General Civils,2018-07-25,154699.85
Amalgamated Construction Ltd,Buildings,2018-07-04,65386.55
Amalgamated Construction Ltd,General Civils,2018-07-17,148715.16
Amalgamated Construction Ltd,General Civils,2018-07-30,55317.20
Amalgamated Construction Ltd,Professional Services Direct,2018-07-30,30513.18
Amalgamated Construction Ltd,Professional Services Direct,2018-07-30,33338.29
Amalgamated Construction Ltd,Professional Services Direct,2018-07-30,28589.41
Amalgamated Construction Ltd,General Civils,2018-07-30,94359.92
Amalgamated Construction Ltd,General Civils,2018-07-30,41939.01
Amalgamated Construction Ltd,General Civils,2018-07-30,49357.96
Amalgamated Construction Ltd,General Civils,2018-07-30,418685.89
Amalgamated Construction Ltd,General Civils,2018-07-30,233847.15
Amalgamated Construction Ltd,General Civils,2018-07-31,31368.09
Amalgamated Construction Ltd,General Civils,2018-07-31,25420.00
Amalgamated Construction Ltd,General Civils,2018-07-06,37230.86
Amalgamated Construction Ltd,General Civils,2018-07-06,183905.93
Amalgamated Construction Ltd,General Civils,2018-07-06,44628.61
Amalgamated Construction Ltd,General Civils,2018-07-06,26534.78
Amalgamated Construction Ltd,General Civils,2018-07-06,118662.48
Amalgamated Construction Ltd,General Civils,2018-07-06,92052.51
Amalgamated Construction Ltd,General Civils,2018-07-06,64343.62
Amalgamated Construction Ltd,General Civils,2018-07-06,106437.59
Amalgamated Construction Ltd,General Civils,2018-07-19,302375.97
Amalgamated Construction Ltd,General Civils,2018-07-06,242848.93
Amalgamated Construction Ltd,General Civils,2018-07-26,35468.70
Amalgamated Construction Ltd,General Civils,2018-07-26,56975.14
Amalgamated Construction Ltd,Buildings,2018-07-11,31970.43
Amalgamated Construction Ltd,General Civils,2018-07-27,43464.97
Amalgamated Construction Ltd,General Civils,2018-07-03,55878.96
Amalgamated Construction Ltd,General Civils,2018-07-27,31992.15
Amalgamated Construction Ltd,General Civils,2018-07-03,169867.18
Amalgamated Construction Ltd,General Civils,2018-07-30,673701.54
Amalgamated Construction Ltd,General Civils,2018-07-13,59647.37
Amalgamated Construction Ltd,General Civils,2018-07-03,247020.55
Amalgamated Construction Ltd,General Civils,2018-07-27,105801.25
Amalgamated Construction Ltd,General Civils,2018-07-13,520318.67
Amalgamated Construction Ltd,General Civils,2018-07-16,197831.31
Amalgamated Construction Ltd,General Civils,2018-07-27,1537859.64
Amalgamated Construction Ltd,Buildings,2018-07-10,334208.62
Amalgamated Construction Ltd,General Civils,2018-07-06,683050.31
Amalgamated Construction Ltd,Buildings,2018-07-18,219624.75
Amaro Signalling Ltd,Signalling,2018-07-10,77226.72
Amey OWR Ltd,General Civils,2018-07-19,202046.93
Amey OWR Ltd,General Civils,2018-07-19,151793.69
Amey OWR Ltd,General Civils,2018-07-19,121722.76
Amey OWR Ltd,General Civils,2018-07-20,272590.50
Amey OWR Ltd,General Civils,2018-07-20,59683.32
Amey OWR Ltd,General Civils,2018-07-20,125768.09
Amey OWR Ltd,General Civils,2018-07-20,495438.86
Amey OWR Ltd,Professional Services Direct,2018-07-14,659895.37
Amey OWR Ltd,Professional Services Direct,2018-07-27,725000.00
Amey OWR Ltd,General Civils,2018-07-18,34814.44
Amey OWR Ltd,General Civils,2018-07-12,60778.87
Amey OWR Ltd,General Civils,2018-07-12,291377.66
Amey OWR Ltd,Professional Services Direct,2018-07-03,63453.42
Amey OWR Ltd,Buildings,2018-07-19,37066.36
Amey OWR Ltd,General Civils,2018-07-19,168021.15
Amey OWR Ltd,General Civils,2018-07-22,320723.61
Amey OWR Ltd,General Civils,2018-07-04,306711.79
Amey OWR Ltd,General Civils,2018-07-19,63609.92
Amey OWR Ltd,General Civils,2018-07-10,106795.79
Amey OWR Ltd,General Civils,2018-07-30,48556.35
Amey OWR Ltd,General Civils,2018-07-20,117264.99
Amey OWR Ltd,General Civils,2018-07-12,808682.36
Amey OWR Ltd,General Civils,2018-07-12,109301.51
Amey OWR Ltd,Professional Services Direct,2018-07-13,889036.12
Amey OWR Ltd,General Civils,2018-07-20,233806.19
Amey OWR Ltd,Professional Services Direct,2018-07-20,33393.61
Amey OWR Ltd,Professional Services Direct,2018-07-10,27185.35
Amey Rail,Electrification and Fixed Plant,2018-07-06,6384698.99
Amey Rail,Track,2018-07-12,220237.30
Amey Rail,Track,2018-07-12,44649.00
Amey Rail,Track,2018-07-12,86562.88
Amey Rail,Electrification and Fixed Plant,2018-07-11,33275.37
Amey Rail,Electrification and Fixed Plant,2018-07-11,133804.70
Amey Rail,Track,2018-07-13,2278907.00
Amey Rail,Track,2018-07-13,263845.63
