Supplier Name,Category Family,Invoice GL Date,Spend
A P Webb Plant Hire Ltd,On Track Plant,2020-04-17,29504.00
A P Webb Plant Hire Ltd,On Track Plant,2020-04-30,29998.00
ABB Ltd,Electrification and Fixed Plant,2020-04-14,304009.89
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2020-04-14,25578.82
AECOM Ltd,Professional Services Direct,2020-04-24,58078.47
AECOM Ltd,Professional Services Direct,2020-04-28,37487.91
AECOM Ltd,Track,2020-04-16,104360.93
AECOM Ltd,Track,2020-04-17,74490.06
AECOM Ltd,Track,2020-04-17,126137.18
AECOM Ltd,Track,2020-04-17,108724.72
AECOM Ltd,Track,2020-04-17,38856.80
AECOM Ltd,Track,2020-04-19,188128.89
AECOM Ltd,Track,2020-04-20,50435.73
AECOM Ltd,Track,2020-04-20,112770.64
AECOM Ltd,Track,2020-04-21,208206.00
AECOM Ltd,Track,2020-04-27,123999.00
AMT-Sybex Ltd,Information Technology,2020-04-15,1037223.00
Abellio ScotRail Ltd,Regulatory Charges,2020-04-15,83337.28
Affinity Water Ltd,Professional Services Direct,2020-04-15,28352.79
Alstom Transport UK Ltd,Professional Services Direct,2020-04-22,448966.13
Alstom Transport UK Ltd,Professional Services Direct,2020-04-30,30599.00
Alstom Transport UK Ltd,Signalling,2020-04-07,136473.86
Alstom Transport UK Ltd,Signalling,2020-04-07,478520.45
Alstom Transport UK Ltd,Signalling,2020-04-07,114900.53
Alstom Transport UK Ltd,Signalling,2020-04-09,335675.66
Alstom Transport UK Ltd,Signalling,2020-04-15,86037.97
Alstom Transport UK Ltd,Signalling,2020-04-16,102869.86
Alstom Transport UK Ltd,Signalling,2020-04-16,429323.58
Alstom Transport UK Ltd,Signalling,2020-04-16,118651.44
Alstom Transport UK Ltd,Signalling,2020-04-17,181321.65
Alstom Transport UK Ltd,Signalling,2020-04-21,747400.98
Alstom Transport UK Ltd,Signalling,2020-04-22,198026.94
Altran UK Ltd,Professional Services Direct,2020-04-15,109643.86
Alun Griffiths (Contractors) Ltd,Buildings,2020-04-09,52777.00
Alun Griffiths (Contractors) Ltd,Buildings,2020-04-09,199218.04
Alun Griffiths (Contractors) Ltd,Buildings,2020-04-14,96381.28
Alun Griffiths (Contractors) Ltd,General Civils,2020-04-03,26966.60
Alun Griffiths (Contractors) Ltd,General Civils,2020-04-03,401658.55
Alun Griffiths (Contractors) Ltd,General Civils,2020-04-06,205332.37
Alun Griffiths (Contractors) Ltd,General Civils,2020-04-08,89816.00
Alun Griffiths (Contractors) Ltd,General Civils,2020-04-08,175889.17
