Supplier Name,Category Family,Invoice GL Date,Spend
1Spatial Group Ltd,Information Technology,2018-03-06,34839.00
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-03-09,49510.00
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-03-25,32000.00
A D Modular Ltd,Plant and Tools,2018-03-14,49162.00
ABB Ltd,Electrification and Fixed Plant,2018-03-23,459396.01
ABC Electrification Ltd,Electrification and Fixed Plant,2018-03-20,1868781.54
ABC Electrification Ltd,Electrification and Fixed Plant,2018-03-06,668747.10
ABC Electrification Ltd,Electrification and Fixed Plant,2018-03-23,226887.02
ABC Electrification Ltd,Electrification and Fixed Plant,2018-03-09,2354539.23
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-03-08,47605.13
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-03-28,29474.13
AECOM Infrastructure & Environment UK Ltd,Track,2018-03-19,57597.59
AECOM Infrastructure & Environment UK Ltd,Track,2018-03-19,58400.03
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-03-01,30001.05
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-03-07,25731.57
AECOM Infrastructure & Environment UK Ltd,Track,2018-03-27,146956.63
AECOM Infrastructure & Environment UK Ltd,General Civils,2018-03-15,67917.43
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-03-20,30275.29
AECOM Infrastructure & Environment UK Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-03-07,62140.71
AECOM Infrastructure & Environment UK Ltd,Track,2018-03-25,70001.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-03-23,136762.41
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-03-22,97989.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-03-21,47930.42
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-03-26,449999.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-03-23,198172.47
AECOM Infrastructure & Environment UK Ltd,Track,2018-03-26,207246.36
AECOM Infrastructure & Environment UK Ltd,Track,2018-03-26,128802.73
AECOM Infrastructure & Environment UK Ltd,Track,2018-03-26,442314.37
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-03-05,60248.65
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-03-20,35319.66
AECOM Ltd,General Civils,2018-03-15,158232.61
AECOM Ltd,General Civils,2018-03-15,328528.55
AM1 Projects Ltd,Electrification and Fixed Plant,2018-03-28,56565.59
AMT Sybex,Information Technology,2018-03-21,960492.00
APCOA Parking (UK) Ltd,Facilities - Soft Services,2018-03-13,25223.80
APCOA Parking (UK) Ltd,Facilities - Soft Services,2018-03-12,29937.20
APCOA Parking (UK) Ltd,Facilities - Soft Services,2018-03-15,188431.32
ASE Corporate Eyecare Ltd,HR and Training,2018-03-06,39557.60
AXA PPP Healthcare Admin Services Ltd T/A PPP Healthcare,HR and Training,2018-03-12,211525.92
Abellio East Anglia Ltd t/a Greater Anglia,Supplies and Services,2018-03-14,39530.75
Abellio East Anglia Ltd t/a Greater Anglia,Telecoms,2018-03-19,27531.69
Abellio East Anglia Ltd t/a Greater Anglia,Telecoms,2018-03-21,27531.69
Abellio ScotRail Ltd,Regulatory Charges,2018-03-14,336000.00
Abellio ScotRail Ltd,Regulatory Charges,2018-03-07,336000.00
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-03-05,234383.15
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2018-03-12,412725.06
