Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2022-07-29,7014096,146.98,SOLO PRESS,393572,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,PRINTING SERVICES.PRINTING
2022-07-29,7014036,38.99,GM PACKAGING (UK) LTD,312623,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,CATERING.DISPOSABLES
2022-07-29,7014073,5.77,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,EDUCATIONAL SUPPLIES.SUPPLIES
2022-07-29,7013951,150,HSQE LTD,403356,Resources,Children's & Education Services,103,Employees,501,Indirect Employee Expenses,5002,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2022-07-29,7014073,0.01,AMAZON GENERAL PAYMENTS,375398,Resources,Children's & Education Services,103,Employees,501,Indirect Employee Expenses,5002,Revenue,EDUCATIONAL SUPPLIES.SUPPLIES
2022-07-29,7014073,67.53,AMAZON GENERAL PAYMENTS,375398,Resources,Children's & Education Services,103,Employees,501,Indirect Employee Expenses,5002,Revenue,EDUCATIONAL SUPPLIES.SUPPLIES
2022-07-29,7014003,-0.01,B&Q PLC,002053,Commissioning & Asset Management,Planning Services,110,Supplies and Services,504,Equipment,5023,Revenue,BUILDING MATERIALS.GENERAL MATERIALS
2022-07-29,7014003,24.48,B&Q PLC,002053,Commissioning & Asset Management,Planning Services,110,Supplies and Services,504,Equipment,5023,Revenue,BUILDING MATERIALS.GENERAL MATERIALS
2022-07-29,7014077,35.21,ZORO.CO.UK,398018,Commissioning & Asset Management,Planning Services,110,Supplies and Services,504,Equipment,5023,Revenue,BUILDING MATERIALS.HAND TOOLS
2022-07-29,7013936,15.17,TAKEAWAY,403381,Corporate Strategy,Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2022-07-29,7013968,31.23,SIDHU FISH AND CHIPS,402229,Corporate Strategy,Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2022-07-29,7014073,0.01,AMAZON GENERAL PAYMENTS,375398,Corporate Strategy,Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,EDUCATIONAL SUPPLIES.SUPPLIES
2022-07-29,7014073,3.32,AMAZON GENERAL PAYMENTS,375398,Corporate Strategy,Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,EDUCATIONAL SUPPLIES.SUPPLIES
2022-07-29,7014073,28.5,AMAZON GENERAL PAYMENTS,375398,Corporate Strategy,Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,EDUCATIONAL SUPPLIES.SUPPLIES
2022-07-29,7014073,33.9,AMAZON GENERAL PAYMENTS,375398,Corporate Strategy,Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,EDUCATIONAL SUPPLIES.SUPPLIES
2022-07-29,7014073,34.7,AMAZON GENERAL PAYMENTS,375398,Corporate Strategy,Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,EDUCATIONAL SUPPLIES.SUPPLIES
2022-07-29,7014063,11,MARKS & SPENCER PLC,013098,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,CATERING.FOOD & BEVERAGES
2022-07-29,7014073,39.16,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,EDUCATIONAL SUPPLIES.SUPPLIES
2022-07-29,7014042,100,ODEON CINEMAS LIMITED,349238,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,ADVERTISING & MARKETING.EVENTS & PROMOTIONS
2022-07-29,7013969,8.32,VUE CINEMAS,401845,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2022-07-29,7013971,8.33,ETSY,401830,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2022-07-29,7013976,1.91,EBAY,400312,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,ICT.ONLINE SERVICES
2022-07-29,7013998,77,DUNELM LTD,391723,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,FURNITURE.SOFT FURNISHINGS
2022-07-29,7013999,15.35,ALDI STORES LTD,391717,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CATERING.FOOD & BEVERAGES
2022-07-29,7014034,-25,NEXT PLC,338362,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2022-07-29,7014034,65,NEXT PLC,338362,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2022-07-29,7014042,31.67,ODEON CINEMAS LIMITED,349238,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,ADVERTISING & MARKETING.EVENTS & PROMOTIONS
2022-07-29,7014048,6.87,WM MORRISON SUPERMARKETS PLC,013562,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CATERING.FOOD & BEVERAGES
