Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2021-07-28,301,115.83,CURRYS,310317,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,FURNITURE.DOMESTIC
2021-07-28,7011773,23.33,INFLATE SPACE,401702,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,SPORTS & PLAYGROUND EQUIPMENT.SPORTS EQUIPMENT
2021-07-28,7011774,14.99,LET IT BE MUSIC,401701,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,EDUCATIONAL SUPPLIES.MUSICAL INSTRUMENTS
2021-07-28,7011775,83.33,NEWCASTLE FURNITURE,401700,Central Items,Planning Services,110,Supplies and Services,504,Equipment,5023,Revenue,FURNITURE.COMMERCIAL
2021-07-28,7011776,30.25,FLAG AND BUNTING STORE,401699,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011777,164.24,MAILCHIMP,401698,Corporate Strategy,Central Services,102,Supplies and Services,504,Grants and Subscriptions,5031,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011778,57.5,TINKER TRAY PLAY,401697,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.INDIVIDUAL
2021-07-28,7011779,3.66,BROCKSBUSHES LTD,401693,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.INDIVIDUAL
2021-07-28,7011779,6.67,BROCKSBUSHES LTD,401693,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.INDIVIDUAL
2021-07-28,7011780,7.99,UNLIMITED,401692,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011781,392.25,HIGHFIELD QUAL,401691,Resources,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.INDIVIDUAL
2021-07-28,7011781,509,HIGHFIELD QUAL,401691,Resources,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.INDIVIDUAL
2021-07-28,7011782,509.98,DRUGS CABINETS,401690,"Health, Education, Care and Safeguarding",Capital,Capital,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011783,237.27,PUCKATOR,401689,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011784,114.1,GEORDIE MUGS,401688,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011785,52.5,AMPULLA LTD,401687,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011786,65,MINERVA SIPP,390298,Housing Operations,Housing Services,108,Supplies and Services,504,Equipment,5023,Revenue,LEGAL.REAL ESTATE
2021-07-28,7011787,4.17,GREENE KING PLC,393089,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,NON INFLUENCIBLE.INDIVIDUAL
2021-07-28,7011788,0.83,LINSKILL TRADING LTD,393264,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,HUMAN RESOURCES.TRAINING & CONFERENCES
2021-07-28,7011789,45.74,W HURST AND SON,274633,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011790,99.26,OPUS ENERGY LIMITED,380331,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,ELECTRICITY.ELECTRICITY
2021-07-28,7011791,312.8,POLAR KRUSH,401685,"Environment, Housing & Leisure",Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011791,312.8,POLAR KRUSH,401685,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011791,312.8,POLAR KRUSH,401685,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-07-28,7011792,26.76,COOKHOUSE AND PUB,401576,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,CATERING.BANQUET & CATERING
2021-07-28,7011793,23.92,SPOTTED PENGUIN,401565,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,EDUCATIONAL SUPPLIES.ADULT & FURTHER EDUCATION SERVICES
2021-07-28,7011794,16.99,TSO HOST,401173,Regeneration & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,SUBSCRIPTIONS & PUBLICATIONS.MEMBERSHIPS
2021-07-28,7011795,-22,NCS CITB,401170,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,EDUCATIONAL SUPPLIES.CURRICULUM
