Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2021-08-26,302,-19.97,PREMIER INN,381529,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,HUMAN RESOURCES.ACCOMMODATION
2021-08-26,303,-100,TRAVIS PERKINS TRADING CO LTD,323511,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
2021-08-26,303,5,TRAVIS PERKINS TRADING CO LTD,323511,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
2021-08-26,303,77.2,TRAVIS PERKINS TRADING CO LTD,323511,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
2021-08-26,7011949,29.67,GOLFGEAR4LESS,401847,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011950,12.5,FRESHA FIDGETS,401846,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011951,4.99,VUE CINEMAS,401845,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011951,9.98,VUE CINEMAS,401845,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011951,10.24,VUE CINEMAS,401845,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011952,49.33,VF NORTHERN EUROPE,401844,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011953,37.5,DAMAGED SOCIETY,401843,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011953,58.33,DAMAGED SOCIETY,401843,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011954,-45.44,DRAGON TOUCH,401842,Central Items,Planning Services,110,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011954,45.44,DRAGON TOUCH,401842,Central Items,Planning Services,110,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011955,86,PPE SUPPLIES DIRECT,401841,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011956,394.39,HCE UK,401840,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011957,30.5,DELIVEROO,401839,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011958,41.65,ASTORWI,401837,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011959,2042,STAC,401831,Central Items,Planning Services,110,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011960,8,ETSY,401830,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011961,140,REID & SONS,229112,Law & Governance,Central Services,102,Supplies and Services,504,Expenses,5030,Revenue,DEFAULT
2021-08-26,7011962,438.92,PLASTICRAFT DISPLAYS,401821,Central Items,Planning Services,110,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011963,40.5,WEARSIDE FASTENERS,401820,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011964,-37.79,JJ ROOFING SUPPLIES,401819,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Equipment,5023,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
2021-08-26,7011964,37.79,JJ ROOFING SUPPLIES,401819,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Equipment,5023,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
2021-08-26,7011965,263.9,WOW INTERIORS,401818,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Equipment,5023,Revenue,FURNITURE.DOMESTIC
2021-08-26,7011966,18.15,DRAINAGE CENTRAL,401817,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Equipment,5023,Revenue,ENVIRONMENTAL SERVICES.ENVIRONMENTAL SERVICES
2021-08-26,7011967,215.83,CYBERMARKET LIMITED,367457,Central Items,Planning Services,110,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,
2021-08-26,7011968,76.58,LAWSON HIS LTD,401804,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Equipment,5023,Revenue,ENVIRONMENTAL SERVICES.EQUIPMENT
2021-08-26,7011969,168.78,MAILCHIMP,401698,Corporate Strategy,Central Services,102,Supplies and Services,504,Grants and Subscriptions,5031,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-08-26,7011970,4.33,GREENE KING PLC,393089,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,NON INFLUENCIBLE.INDIVIDUAL
