Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2021--17,7011107,665.83,LIBERTY GAMES,401174,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,EDUCATIONAL SUPPLIES.SUPPLIES
2021--17,7011108,14.39,TSO HOST,401173,Regeneration & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,SUBSCRIPTIONS & PUBLICATIONS.MEMBERSHIPS
2021--17,7011109,36.79,MY ACCESSORIES,401172,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Equipment,5023,Revenue,FIRE & SECURITY.EQUIPMENT
2021--17,7011110,1060,DEVELOPMENT AND TRAINING,401171,Resources,Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,HUMAN RESOURCES.TRAINING & CONFERENCES
2021--17,7011111,21,NCS CITB,401170,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,EDUCATIONAL SUPPLIES.CURRICULUM
2021--17,7011112,181.07,CHRISTY TOWELS,401143,Central Items,Planning Services,110,Supplies and Services,504,Equipment,5023,Revenue,CLOTHING.CHILDRENS & ADULTS
2021--17,7011113,251.34,XL DISPLAYS LIMITED,399397,Central Items,Planning Services,110,Supplies and Services,504,Equipment,5023,Revenue,PUBLIC HEALTH.EQUIPMENT
2021--17,7011114,673.98,MOOANGEL,401142,Central Items,Planning Services,110,Supplies and Services,504,Equipment,5023,Revenue,SPORTS & PLAYGROUND EQUIPMENT.PLAYGROUND EQUIPMENT
2021--17,7011115,31.25,PP MULTICOLOUR,401141,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Premises-Related Expenditure,502,"Repairs, alterations and maintenance of buildings",5005,Revenue,FURNITURE.DOMESTIC
2021--17,7011116,31.57,SKATE HUT,401140,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,SPORTS & PLAYGROUND EQUIPMENT.PLAYGROUND EQUIPMENT
2021--17,7011117,-0.01,SOFTWARE KEEP,401139,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,ICT.SOFTWARE
2021--17,7011117,55.83,SOFTWARE KEEP,401139,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,ICT.SOFTWARE
2021--17,7011118,0.01,GROUNDSMAN TOOLS & SUPPLIES,375882,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,BUILDING MATERIALS.HAND TOOLS
2021--17,7011118,106.22,GROUNDSMAN TOOLS & SUPPLIES,375882,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,BUILDING MATERIALS.HAND TOOLS
2021--17,7011119,543.65,KAEFER LTD,401138,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Premises-Related Expenditure,502,"Repairs, alterations and maintenance of buildings",5005,Revenue,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
2021--17,7011120,189.97,BABY CENTRE,401134,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Transfer Payments,506,School Children and Students,5046,Revenue,SOCIAL CARE.CHILDREN'S CENTRES
2021--17,7011121,107.5,KIDDIES KINGDOM,401133,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Transfer Payments,506,School Children and Students,5046,Revenue,SOCIAL CARE.CHILDCARE SERVICES
2021--17,7011122,37.3,THE CONSUMABLES COMPANY,401132,Central Items,Planning Services,110,Supplies and Services,504,Equipment,5023,Revenue,PUBLIC HEALTH.CONSUMABLES
2021--17,7011123,146,WATCH PILOT,401131,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,ADVERTISING & MARKETING.PUBLIC RELATIONS & IMAGE
2021--17,7011124,59.99,DISNEY PLUS,401130,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,TELECOMMUNICATIONS.EQUIPMENT
2021--17,7011125,231,PORTAL PLAN QUEST LTD,397269,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,FINANCIAL SERVICES.FINANCIAL SERVICES
2021--17,7011126,214.8,NESTBOX CO LTD,401129,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,CLOTHING.CHILDRENS & ADULTS
2021--17,7011127,65.97,BIRDFOOD,401128,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,ENVIRONMENTAL SERVICES.ANIMAL SERVICES
2021--17,7011128,110,MAC PENNYS NURSERY,401127,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,SOCIAL CARE.CHILDCARE SERVICES
