Payment Date,Transaction Number,Amount,Supplier Name,Supplier ID,Organisational Unit,Service Label,Service Code,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
2014-09-30,7015220,72.45,ENDSLEIGH INSURANCE,391469,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,09.FINANCIAL SERVICES
2014-09-30,7015220,77.68,ENDSLEIGH INSURANCE,391469,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,09.FINANCIAL SERVICES
2014-09-30,7015220,84.04,ENDSLEIGH INSURANCE,391469,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,09.FINANCIAL SERVICES
2014-09-30,7015220,84.04,ENDSLEIGH INSURANCE,391469,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,09.FINANCIAL SERVICES
2014-09-30,7015220,84.04,ENDSLEIGH INSURANCE,391469,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,09.FINANCIAL SERVICES
2014-09-30,7015221,42.92,COLMAN'S OF SOUTH,391468,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,16.EVENTS & PROMOTIONS
2014-09-30,7015222,22.71,CEX,391467,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,01.ELECTRICAL
2014-09-30,7015223,208.33,CASH CONVERTERS,391466,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,09.FINANCIAL SERVICES
2014-09-30,7015224,340.77,BOX LIMITED,391465,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,15.SOFTWARE
2014-09-30,7015225,16.67,ADRENALIN (N YORK),391463,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,16.EVENTS & PROMOTIONS
2014-09-30,7015226,62.32,KINGS CATERING,326868,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015227,71.67,ENGLISH HERITAGE,005033,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,18.EQUIPMENT
2014-09-30,7015228,196.98,EMAP PUBLISHING LTD,208794,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Grants and Subscriptions,5031,Revenue,18.SUBSCRIPTIONS
2014-09-30,7015229,6.92,DRURIDGE BAY COUNTRY PARK,346522,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,NULL
2014-09-30,7015230,70.83,BRITISH HEART FOUNDATION,276949,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,00.NON INFLUENCIBLE
2014-09-30,7015230,114.58,BRITISH HEART FOUNDATION,276949,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,00.NON INFLUENCIBLE
2014-09-30,7015231,297.00,MY DISTANCE LEARNING,391393,"Children, Young People & Learning",Children's & Education Services,103,Employees,501,Indirect Employee Expenses,5002,Revenue,06.TUITION
2014-09-30,7015231,297.00,MY DISTANCE LEARNING,391393,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.TUITION
2014-09-30,7015232,45.58,OAKENCLOUGH BUILDING L,391160,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,13.EQUIPMENT
2014-09-30,7015232,45.58,OAKENCLOUGH BUILDING L,391160,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,13.EQUIPMENT
2014-09-30,7015232,204.59,OAKENCLOUGH BUILDING L,391160,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,13.EQUIPMENT
2014-09-30,7015232,1.08,OAKENCLOUGH BUILDING L,391160,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,13.EQUIPMENT
2014-09-30,7015233,136.08,STANDS-OUT LTD,391040,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,18.EQUIPMENT
2014-09-30,7015234,128.85,BRITISH FOSSILS,302516,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,16.EVENTS & PROMOTIONS
2014-09-30,7015235,16.00,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.20,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.26,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.26,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.28,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.34,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.45,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.45,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.45,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.45,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.45,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.46,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.46,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.46,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.46,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.46,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.50,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.50,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.50,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.50,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.50,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.50,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.50,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.51,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.52,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.52,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.52,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.52,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.52,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.62,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.62,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.62,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.62,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.62,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.62,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.62,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.65,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.65,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.65,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.65,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.65,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
