Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2021-02-23,294,-6.66,AMAZON DIGITAL DWNLDS,386594,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,SUBSCRIPTIONS & PUBLICATIONS.BOOKS & PUBLICATIONS
2021-02-23,294,-6.66,AMAZON DIGITAL DWNLDS,386594,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,SUBSCRIPTIONS & PUBLICATIONS.BOOKS & PUBLICATIONS
2021-02-23,295,-144,CASTLECARY HOUSE HOTEL,400907,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,HUMAN RESOURCES.ACCOMMODATION
2021-02-23,296,-249.17,DISPLAYSENSE LTD,372699,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,OFFICE & REPROGRAPHICS EQUIPMENT.LEASING
2021-02-23,297,27.08,PREMIER INN,381529,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,HUMAN RESOURCES.ACCOMMODATION
2021-02-23,297,-110.48,PREMIER INN,381529,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,HUMAN RESOURCES.ACCOMMODATION
2021-02-23,298,-18.75,TICKETMASTER,374472,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,ADVERTISING & MARKETING.EVENTS & PROMOTIONS
2021-02-23,7010959,0.01,HEDGE NURSERIES,401062,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,SOCIAL CARE.CHILDCARE SERVICES
2021-02-23,7010959,105.32,HEDGE NURSERIES,401062,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,SOCIAL CARE.CHILDCARE SERVICES
2021-02-23,7010960,0.01,JACKSONS NURSERIES,401061,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,SOCIAL CARE.CHILDCARE SERVICES
