Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2021-11-26,309,-352,CREDIT ADJUSTMENT,382385,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,310,-250,DREAMS LTD,401526,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,FURNITURE.DOMESTIC
2021-11-26,311,-390,EB  OFFSHORE WIND NORTH,399075,Regeneration & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,NON INFLUENCIBLE.INDIVIDUAL
2021-11-26,7012430,33.33,THE CONAIR GROUP,402247,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012431,16.8,GYMCATCH LIMITED,402246,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012432,166.67,WESTLYNNE HOTEL,402245,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,HUMAN RESOURCES.ACCOMMODATION
2021-11-26,7012433,20.22,STRESS FREE PRINT,402244,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,NON INFLUENCIBLE.INDIVIDUAL
2021-11-26,7012434,0.01,TOASTD,402243,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012434,19.12,TOASTD,402243,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012435,2.5,OUSEBURN COFFEE,402242,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012436,10,BLACKHAWK NETWORK,402241,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012437,5.58,ARTISAN COFFEE,402240,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,CATERING.FOOD & BEVERAGES
2021-11-26,7012438,13.33,BOLT EU,402239,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012439,-23.99,EMP MAIL ORDER,402238,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,
2021-11-26,7012439,23.32,EMP MAIL ORDER,402238,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,
2021-11-26,7012440,118.08,CANMAC,402237,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.INDIVIDUAL
2021-11-26,7012441,25.8,BUY BACK DROP,402236,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012442,47.91,EVAN LEISURE,402235,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012443,50.69,BULK SUPERMARKET,402234,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012444,14.29,BOOST POWER,402233,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012445,146.2,TREND MACHINERY,402232,Housing Property and Construction,Housing Services,108,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.INDIVIDUAL
2021-11-26,7012446,62.6,PRO CATERING EQUIPMENT,402231,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CATERING.BANQUET & CATERING
2021-11-26,7012446,189,PRO CATERING EQUIPMENT,402231,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CATERING.BANQUET & CATERING
2021-11-26,7012446,387.5,PRO CATERING EQUIPMENT,402231,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CATERING.BANQUET & CATERING
2021-11-26,7012447,0.01,JELLY COMB UK,402230,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012447,18.32,JELLY COMB UK,402230,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2021-11-26,7012448,10,VIMEO PLUS,395248,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,ICT.SOFTWARE
2021-11-26,7012449,636.38,HOTEL ONBOOKING.COM,395243,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,HUMAN RESOURCES.ACCOMMODATION
2021-11-26,7012450,7.99,UNLIMITED WEBHOSTING,394828,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,ICT.WEBSITE DEVELOPMENT
2021-11-26,7012451,116.64,MOJO HELPDESK,394317,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,ICT.SOFTWARE
2021-11-26,7012451,118.98,MOJO HELPDESK,394317,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,ICT.SOFTWARE
2021-11-26,7012452,0.01,W BOYES & CO LTD,393691,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CLEANING & JANITORIAL.EQUIPMENT
2021-11-26,7012452,2.62,W BOYES & CO LTD,393691,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CLEANING & JANITORIAL.EQUIPMENT
2021-11-26,7012453,5.67,TOOLSTATION LTD,393689,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,HORTICULTURAL.TOOLS & EQUIPMENT
2021-11-26,7012453,44.84,TOOLSTATION LTD,393689,Central Items,Planning Services,110,Third Party Payments,505,Private Contractors,5042,Revenue,HORTICULTURAL.TOOLS & EQUIPMENT
2021-11-26,7012453,57.1,TOOLSTATION LTD,393689,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,HORTICULTURAL.TOOLS & EQUIPMENT
2021-11-26,7012454,15,MOORPARK CONVENIENCE,393460,Housing Operations,Housing Revenue Account,N/A,Premises-Related Expenditure,502,Energy Costs,5006,Revenue,CATERING.FOOD & BEVERAGES
2021-11-26,7012454,35,MOORPARK CONVENIENCE,393460,Housing Operations,Housing Revenue Account,N/A,Premises-Related Expenditure,502,Energy Costs,5006,Revenue,CATERING.FOOD & BEVERAGES
2021-11-26,7012455,48,TAHDAH VERIFIED,393356,Resources,Children's & Education Services,103,Employees,501,Indirect Employee Expenses,5002,Revenue,ICT.SOFTWARE
2021-11-26,7012455,61.5,TAHDAH VERIFIED,393356,Resources,Children's & Education Services,103,Employees,501,Indirect Employee Expenses,5002,Revenue,ICT.SOFTWARE
2021-11-26,7012455,456,TAHDAH VERIFIED,393356,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,ICT.SOFTWARE
