Body Name,Expenditure Category,Capital /Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net amount,Narrative
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,15/04/2015,NIDDERDALE AGRICULTURAL SOCIETY,4626906,625.00,ACCR1516 Lease of Land for Car Park Bewerley Park AprSept 201 5
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,29/04/2015,NORTHGATE VEHICLE HIRE LTD,4628395,279.40,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,29/04/2015,NORTHGATE VEHICLE HIRE LTD,4628395,-279.40,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,29/04/2015,NORTHGATE VEHICLE HIRE LTD,4628397,279.40,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,29/04/2015,NORTHGATE VEHICLE HIRE LTD,4628397,-279.40,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,29/04/2015,PATROL,4628449,"3,152.50",
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,22/04/2015,SAS LINING SERVICES LTD,4626870,797.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Water & Sewerage,27/04/2015,YORKSHIRE WATER PLC,4628688,376.34,York Place Car  and  Coach Park
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,951.06,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,14.27,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,462.60,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,456.14,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,231.30,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,303.12,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,14.27,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,308.40,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,454.92,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,223.62,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,895.70,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,162.04,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,14.27,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,231.30,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,24.70,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,8.06,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,231.30,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,33.48,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,73.30,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,11.73,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,72.40,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,68.30,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,14.27,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,687.44,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,223.62,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,447.24,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/04/2015,ATS EUROMASTER LTD,4628990,87.17,CA00935232
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,15/04/2015,BARRY CARTER MOTOR PRODUCTS LTD,4627883,523.25,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,29/04/2015,BENFIELD FORD,4629263,325.03,Claro
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Protective Clothing,27/04/2015,BERENDSEN UK LTD,4628666,432.64,HARROGATE BC COMMUNITY SERVICES
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/04/2015,CHATFIELDS OF LEEDS,4625808,276.88,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,01/04/2015,CROSSROADS TRUCK & BUS,4625584,659.12,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,29/04/2015,DENNIS EAGLE LTD,4629010,208.98,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,01/04/2015,DENNIS EAGLE LTD,4625033,139.06,MONTHLY ORDER
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,01/04/2015,DENNIS EAGLE LTD,4625033,84.31,MONTHLY ORDER
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/04/2015,DENNIS EAGLE LTD,4626882,230.51,Claro
