Body Name,Expenditure category,Capital/ Revenue,Service label,Service code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net amount,Narrative
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,26/08/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4636547,41.63,Fuel card
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,24/08/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4636305,44.63,Fuel
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,24/08/2015,BERENDSEN UK LTD,4636501,233.6,STONEFALL CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Computer Consumables,12/08/2015,DASH INFORMATION SYSTEMS LTD,4634448,"1,096.50",
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,05/08/2015,DR K M COATS,4635157,"1,591.00",DrK Coats July 2015
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,05/08/2015,DR VIVIENNE JAYNE POSKITT,4635159,518,DrV Poskitt July 201 5
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,05/08/2015,FACULTATIEVE TECHNOLOGIES LTD,4633938,"1,689.96",
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,26/08/2015,FALON NAMEPLATES LTD,4636959,344.6,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,26/08/2015,FALON NAMEPLATES LTD,4636959,17.5,
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,19/08/2015,HALL FUELS,4634852,413.14,Stonefall Cemetry
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hire of Equipment,26/08/2015,PMC HIRE & SALES CENTRE,4636269,310,various
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hire of Equipment,26/08/2015,PMC HIRE & SALES CENTRE,4636269,50,various
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hire of Equipment,10/08/2015,PMC HIRE & SALES CENTRE,4635204,40,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Burial/Mortuary Fees,19/08/2015,W BOWERS,4636070,"1,616.37",
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,26/08/2015,WETHERBY SKIP HIRE SERVICES,4636100,160,various
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,26/08/2015,WETHERBY SKIP HIRE SERVICES,4636100,172.71,various
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,26/08/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4636547,-56.98,Fuel card
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,26/08/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4636547,-53.77,Fuel card
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,26/08/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4636547,56.98,Fuel card
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,26/08/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4636547,53.77,Fuel card
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,24/08/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4636305,55.38,Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,24/08/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4636305,-55.38,Fuel
Harrogate Borough Council,Premises,R,Community,Car Parking,Planned Maintenance,12/08/2015,CAPITA,4586508,"-12,345.75",BRIDGE LINK
Harrogate Borough Council,Premises,R,Community,Car Parking,Planned Maintenance,12/08/2015,CAPITA,4586504,"5,288.12",BRIDGE LINK
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,172,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,688,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,126,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,86,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,208,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,204,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,104,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,89,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,172,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,74,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,74,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,26/08/2015,COLTON SIGNS,4636531,280,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,12/08/2015,HARROGATE IN BLOOM,4635605,264,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,26/08/2015,KELTIC LTD,4635994,215.8,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,12/08/2015,KELTIC LTD,4634823,377.7,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,26/08/2015,NORTHGATE VEHICLE HIRE LTD,4635499,300.89,29052013
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,26/08/2015,NORTHGATE VEHICLE HIRE LTD,4635573,300.89,29052013
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,26/08/2015,NORTHGATE VEHICLE HIRE LTD,4636169,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,26/08/2015,NORTHGATE VEHICLE HIRE LTD,4636169,-19,Vehicle Monitoring
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,10/08/2015,ODEON CINEMAS LTD,4635564,"4,525.34",Quarterly rent in advance
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,05/08/2015,PATROL,4634631,668.93,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,05/08/2015,PATROL,4634631,"-4,379.55",
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,05/08/2015,PATROL,4634631,"4,379.55",
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,05/08/2015,ZURICH INSURANCE PLC,4634159,402.8,Wheelie bins whilst in storage
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,67.62,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,65.66,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,162.36,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,75.46,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,687.92,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,434.45,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,219.56,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,456.14,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,219.56,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,14.27,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,219.56,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,227.38,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,102.3,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,"1,139.50",Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,227.24,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,354.03,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,215.25,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,"1,122.50",Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,14.27,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,22,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,"1,342.06",Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,454.48,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,439.12,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,22,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,69.34,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,902.94,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,439.12,Jul-15
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,26/08/2015,ATS EUROMASTER LTD,4635425,71.77,Jul-15
