Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Employees,R,Community,Arboriculture,Non Qualification Training,2016-05-18,QUANTIFIED TREE RISK ASSESSMENT LTD,4651407,459.45,
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2016-05-25,ALLSTAR BUSINESS SOLUTIONS LTD,4652441,16.45,April Fuel
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2016-05-09,DR K M COATS,4652560,1332.00,Kathleen Coats April 2016 payment Medical Referee
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2016-05-18,FALON NAMEPLATES LTD,4651918,483.25,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hort Materials - Direct Purchase,2016-05-25,HURRELL & McLEAN SEEDS LTD,4652693,358.8,
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Non Qualification Training,2016-05-04,ICCM PAYMENTS,4650927,1280.00,
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Non Qualification Training,2016-05-04,ICCM PAYMENTS,4650927,1094.00,
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Non Qualification Training,2016-05-04,ICCM PAYMENTS,4650927,1094.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hort Materials - Direct Purchase,2016-05-18,NOMIX ENVIRO,4651900,206,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2016-05-18,BERENDSEN UK LTD,4652302,265.67,HARROGATE BC CEMETERY
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,2016-05-18,DUFFIELDS,4651824,3010.25,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,2016-05-18,DUFFIELDS,4651881,7190.41,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Footpath Repairs,2016-05-18,DUFFIELDS,4651825,1351.37,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2016-05-25,FACULTATIEVE TECHNOLOGIES LTD,4652208,1664.96,STONEFALL CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2016-05-09,DR R SPENCER,4652561,536.5,Dr R Spencer April 2016 monthly payment
Harrogate Borough Council,Premises,R,Community,Bereavement Services,External Security,2016-05-25,G4S SECURE SOLUTIONS (UK) LIMITED,4652531,260,Contract Number 9249
Harrogate Borough Council,Premises,R,Community,Bereavement Services,External Security,2016-05-18,G4S SECURE SOLUTIONS (UK) LIMITED,4652168,1300.00,Contract Number 9249
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2016-05-09,DR VIVIENNE JAYNE POSKITT,4652565,573.5,Dr V Poskitt April 2016 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2016-05-18,PROFESSIONAL PAPER SUPPLIES LTD,4653050,873.55,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2016-05-25,PROFESSIONAL PAPER SUPPLIES LTD,4652032,990.8,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,2016-05-04,BISHOP SPORT & LEISURE,4650672,319.2,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,2016-05-25,COLTON SIGNS,4652421,96,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2016-05-04,NORTH YORKSHIRE COUNTY COUNCIL,4652357,36653.28,COMMERCIAL WASTE
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2016-05-04,NORTH YORKSHIRE COUNTY COUNCIL,4652356,37655.70,COMMERCIAL WASTE
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2016-05-09,NORTH YORKSHIRE COUNTY COUNCIL,4652618,40110.45,COMMERCIAL WASTE
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,2016-05-25,UK CONTAINER MAINTENANCE LTD,4652166,436,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,2016-05-25,UK CONTAINER MAINTENANCE LTD,4652167,2280.00,Container Refurbished
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-05-04,EDEN FARM LTD,4650885,251.23,Valley Gardens Games Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-05-25,EDEN FARM LTD,4651969,320.61,Valley Gardens Games Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-05-04,EDEN FARM LTD,4651028,347.08,Valley Gardens Games Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-05-25,EDEN FARM LTD,4652247,409.62,Valley Gardens Games Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-05-11,EDEN FARM LTD,4651039,418.35,Valley Gardens Games Hut
