Payment Date,Amount,Benificiary Name,Organisational Unit
2018-07-11,26.82,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2018-07-04,910.00,ASHTEAD PLANT HIRE CO LTD,Community
2018-07-23,3250.00,STEEL AND MAW TREE EXPERTS,Community
2018-07-30,615.00,A A FOSTER,Community
2018-07-30,20.23,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2018-07-11,36.13,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2018-07-04,34.75,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2018-07-18,265.32,BERENDSEN UK LTD,Community
2018-07-25,258.20,BIFFA WASTE SERVICES LTD,Community
2018-07-09,647.50,DR CHRISTIAN LACHMANN,Community
2018-07-09,462.50,DR R SPENCER,Community
2018-07-09,666.00,DR VIVIENNE JAYNE POSKITT,Community
2018-07-25,828.40,FALON NAMEPLATES LTD,Community
2018-07-25,18.00,FALON NAMEPLATES LTD,Community
2018-07-09,359.40,HARROGATE TIMBER LTD,Community
2018-07-30,5996.25,NPS LEEDS LTD,Community
2018-07-30,70.00,PMC HIRE & SALES CENTRE,Community
2018-07-30,230.00,STEPHENSONS MEMORIAL WORKS,Community
2018-07-04,262.00,TELESHORE UK LTD,Community
2018-07-30,400.00,WETHERBY SKIP HIRE SERVICES,Community
2018-07-30,309.40,BULLOUGHS CLEANING SERVICES LTD,Community
2018-07-30,653.57,BULLOUGHS CLEANING SERVICES LTD,Community
2018-07-30,790.97,BULLOUGHS CLEANING SERVICES LTD,Community
2018-07-16,215.43,CORDANT PEOPLE LIMITED,Community
2018-07-18,216.66,CORDANT PEOPLE LIMITED,Community
2018-07-18,227.74,CORDANT PEOPLE LIMITED,Community
2018-07-25,240.05,CORDANT PEOPLE LIMITED,Community
2018-07-25,222.60,NORTHGATE VEHICLE HIRE LTD,Community
2018-07-25,222.60,NORTHGATE VEHICLE HIRE LTD,Community
2018-07-25,241.50,NORTHGATE VEHICLE HIRE LTD,Community
2018-07-25,241.50,NORTHGATE VEHICLE HIRE LTD,Community
2018-07-18,344.40,PROFESSIONAL PAPER SUPPLIES LTD,Community
2018-07-11,499.00,PROFESSIONAL PAPER SUPPLIES LTD,Community
2018-07-18,32.25,CLAAS EASTERN LTD,Community
2018-07-18,290.25,CLAAS EASTERN LTD,Community
2018-07-18,261.32,EDEN FARM LTD,Community
2018-07-11,316.96,EDEN FARM LTD,Community
2018-07-11,330.77,EDEN FARM LTD,Community
2018-07-11,335.99,EDEN FARM LTD,Community
2018-07-04,562.98,EDEN FARM LTD,Community
2018-07-25,569.70,EDEN FARM LTD,Community
2018-07-25,735.46,EDEN FARM LTD,Community
2018-07-25,862.38,EDEN FARM LTD,Community
2018-07-11,6900.00,LOGIC STREET & PARK FURNITURE LTD,Community
2018-07-18,225.21,P P SNACK FOODS LTD,Community
2018-07-18,11.98,P P SNACK FOODS LTD,Community
2018-07-18,11.98,P P SNACK FOODS LTD,Community
2018-07-04,33.96,P P SNACK FOODS LTD,Community
2018-07-04,33.96,P P SNACK FOODS LTD,Community
2018-07-04,270.13,P P SNACK FOODS LTD,Community
2018-07-25,441.46,SELECTA UK LIMITED,Community
2018-07-25,330.98,SELECTA UK LIMITED,Community
2018-07-25,330.98,SELECTA UK LIMITED,Community
