Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Computer Consumables,2019-01-21,CLEAR SKIES SOFTWARE LTD,3575510,3050.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2019-01-07,FALON NAMEPLATES LTD,3574043,18,Plaques
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2019-01-07,FALON NAMEPLATES LTD,3574043,207.1,Plaques
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2019-01-14,FALON NAMEPLATES LTD,3575159,207.1,Plaques
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2019-01-14,FALON NAMEPLATES LTD,3575159,18,Plaques
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2019-01-14,FALON NAMEPLATES LTD,3575156,310.65,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2019-01-14,FALON NAMEPLATES LTD,3575156,18,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2019-01-02,HARROGATE TIMBER LTD,3574335,299.4,Wrong PO Stone Fall Cemetery
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2019-01-16,HILTON CABINET CO LTD,3574673,256.72,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Other Premises Related Costs,2019-01-28,MOOR & VALLEY LTD,3575278,2400.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Consultants Fees,2019-01-30,NPS LEEDS LTD,3575830,1695.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Consultants Fees,2019-01-23,NPS LEEDS LTD,3575829,4237.50,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Miscellaneous Expenditure,2019-01-09,REDACTED - PERSONAL DATA,3574935,400,PQ OMBUDSMAN INVESTIGATION
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2019-01-09,TELESHORE UK LTD,3574012,1302.50,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2019-01-14,TURNSIDE MARKETING LIMITED,3574992,795,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Subscriptions,2019-01-14,VIVEDIA LTD T/A OBITUS,3574962,7500.00,Subscriptions
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Protective Clothing,2019-01-02,ARCO LTD,3573557,314.1,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2019-01-02,BULLOUGHS CLEANING SERVICES LTD,3574198,309.4,PO  Closed Blossomgate Hostel
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2019-01-30,BULLOUGHS CLEANING SERVICES LTD,3574943,309.4,Blossomgate Hostel Blossomgate
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2019-01-02,BULLOUGHS CLEANING SERVICES LTD,3574199,653.57,PO  Closed Cavendish House 23
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2019-01-30,BULLOUGHS CLEANING SERVICES LTD,3575367,653.57,PO  Closed  Cavendish House 23 Robert Street
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2019-01-30,BULLOUGHS CLEANING SERVICES LTD,3575368,790.97,PO  Closed Avondale House The Avondale Hostel
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-01-23,CORDANT PEOPLE LIMITED,3575412,147.72,Redacted - Personal Data
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-01-23,CORDANT PEOPLE LIMITED,3575412,98.48,Redacted - Personal Data
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-01-16,CORDANT PEOPLE LIMITED,3575160,251.73,Redacted - Personal Data
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-01-02,CORDANT PEOPLE LIMITED,3574351,260.64,Redacted - Personal Data
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-01-30,CORDANT PEOPLE LIMITED,3575932,276.66,Redacted - Personal Data
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-01-16,CORDANT PEOPLE LIMITED,3575189,358.71,Redacted - Personal Data
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-01-23,CORDANT PEOPLE LIMITED,3575413,404.64,Redacted - Personal Data
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Fuel/Oil,2019-01-21,NORTHGATE VEHICLE HIRE LTD,3573146,231.8,NX18YXH SWAP
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2019-01-23,NORTHGATE VEHICLE HIRE LTD,3574792,222.6,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2019-01-23,NORTHGATE VEHICLE HIRE LTD,3574786,241.5,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2019-01-23,NORTHGATE VEHICLE HIRE LTD,3574798,241.5,IHMT
