Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code(T),Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318782/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318783/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318796/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318781/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318797/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318801/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318779/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318784/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318785/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318804/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318798/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318776/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318780/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318778/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318803/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318794/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318775/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318777/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318811/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318802/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318805/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318809/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318810/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318786/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318795/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318813/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318812/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-18,BLUE FLAME ASSOCIATES LTD,1745726,42.98,318814/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-30,BOSA CONTRACTS LTD,1745727,5319.00,316215/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-30,BOSA CONTRACTS LTD,1745727,1773.00,316214/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-02,CITY ELECTRICAL FACTORS LTD,3596978,218.87,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-02,CITY ELECTRICAL FACTORS LTD,3597525,606.63,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-04,CITY ELECTRICAL FACTORS LTD,3597527,1053.37,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-09,CITY ELECTRICAL FACTORS LTD,3597532,915.86,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-11,CITY ELECTRICAL FACTORS LTD,3597543,248.67,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-04,CITY ELECTRICAL FACTORS LTD,3597955,1298.26,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-04,CITY ELECTRICAL FACTORS LTD,3597956,1086.43,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-04,CITY ELECTRICAL FACTORS LTD,3597964,1033.36,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-04,CITY ELECTRICAL FACTORS LTD,3598006,582.90,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-09,CITY ELECTRICAL FACTORS LTD,3598018,501.47,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-09,CITY ELECTRICAL FACTORS LTD,3598028,364.84,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-11,CITY ELECTRICAL FACTORS LTD,3598061,237.28,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-11,CITY ELECTRICAL FACTORS LTD,3598066,365.81,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-11,CITY ELECTRICAL FACTORS LTD,3598067,597.59,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-16,CITY ELECTRICAL FACTORS LTD,3598104,446.16,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-11,CITY ELECTRICAL FACTORS LTD,3598109,341.76,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-18,CITY ELECTRICAL FACTORS LTD,3598110,218.87,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-18,CITY ELECTRICAL FACTORS LTD,3598111,986.70,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-18,CITY ELECTRICAL FACTORS LTD,3598120,410.47,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-23,CITY ELECTRICAL FACTORS LTD,3598446,867.75,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-23,CITY ELECTRICAL FACTORS LTD,3599529,232.05,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-23,CITY ELECTRICAL FACTORS LTD,3599530,333.98,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-30,CITY ELECTRICAL FACTORS LTD,3599565,222.66,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Equipment,2019-12-30,CITY ELECTRICAL FACTORS LTD,3599800,437.01,IHMT goods
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2019-12-11,CLARKES ENVIRONMENTAL LTD,1744174,595.00,316813/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2019-12-18,CLARKES ENVIRONMENTAL LTD,1745729,500.00,317426/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2019-12-18,CLARKES ENVIRONMENTAL LTD,1745730,528.00,317525/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2019-12-05,CLARKES ENVIRONMENTAL LTD,1746146,524.65,317935/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,40.00,318612/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,15.00,318663/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,46.00,318613/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,16.00,318622/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,4.00,318633/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,6.00,318641/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,7.00,318646/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,12.50,318656/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,12.00,318627/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,12.00,318625/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,6.00,318655/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,20.00,318669/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,4.00,318623/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,8.75,318638/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,6.00,318648/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,8.00,318628/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,30.00,318626/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,23.00,318657/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,7.00,318645/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,12.00,318652/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,12.00,318610/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,21.00,318660/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,95.00,318609/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,10.00,318661/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,35.00,318664/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,5.00,318662/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,20.00,318640/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,8.75,318636/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,62.00,318606/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,30.00,318670/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,70.00,318603/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,18.00,318667/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,40.00,318614/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,22.00,318620/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,12.00,318617/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,12.00,318619/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,18.00,318618/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,7.00,318624/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,4.00,318630/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,15.00,318658/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,12.00,318659/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,8.00,318635/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2019-12-18,COXON BROTHERS,1745732,8.00,318634/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-30,CSY HOLDINGS LIMITED,3599696,400.00,
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2019-12-18,ENVIROVENT LTD,1743732,754.08,311655/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2019-12-11,ENVIROVENT LTD,1744177,1394.41,316563/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-04,FSH MAINTENANCE LTD,1743972,922.80,307151/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-18,FSH MAINTENANCE LTD,1745736,918.36,302499/2
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-30,G & G SIGNS,3599342,608.40,Please Supply
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-04,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1743539,350.00,313818/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-04,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1743540,480.00,317040/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-11,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1743543,440.00,317046/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-18,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1744214,852.00,315389/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-23,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1744218,1400.00,317864/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-23,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1744219,950.00,318291/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-30,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1744220,480.00,315244/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-30,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1744222,864.00,316084/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-30,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1744223,250.00,318290/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-30,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1745742,2190.00,318820/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-04,GRAFTON MERCHANTING GB LTD,3596240,298.88,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-04,GRAFTON MERCHANTING GB LTD,3596588,479.72,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-30,GRAFTON MERCHANTING GB LTD,3598154,419.13,IHMT goods
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2019-12-30,GRAFTON MERCHANTING GB LTD,3598559,253.44,IHMT goods
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-11,HAMBLETON ROOFING LTD,1744230,1190.00,318245/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2019-12-11,HAMBLETON ROOFING LTD,1744231,624.00,311519/1
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2019-12-02,HAYS SPECIALIST RECRUITMENT,3597754,763.68,Redacted - Personal Data
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2019-12-18,HAYS SPECIALIST RECRUITMENT,3599091,763.68,Redacted - Personal Data
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2019-12-18,HAYS SPECIALIST RECRUITMENT,3599093,763.68,Redacted - Personal Data
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2019-12-30,HAYS SPECIALIST RECRUITMENT,3599682,763.68,Redacted - Personal Data
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2019-12-30,HAYS SPECIALIST RECRUITMENT,3599712,619.20,Redacted - Personal Data
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314361/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314363/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314394/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314392/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314676/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314387/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314383/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314384/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314382/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314385/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314141/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314189/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314358/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314360/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314354/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314346/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314376/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314380/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314377/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314378/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314396/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314397/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314391/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314350/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314381/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314417/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314663/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314365/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314129/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314373/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314395/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314388/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314362/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314353/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314403/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314364/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314371/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314386/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314352/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314374/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314420/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314393/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314349/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744178,30.58,314359/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744210,30.58,314171/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744210,30.58,314169/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744210,30.58,314127/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744210,30.58,314137/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744210,30.58,314108/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2019-12-11,HELP-LINK UK LTD,1744210,30.58,314180/1
