Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code(T),Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2019-12-04,DR CHRISTIAN LACHMANN,3597901,684.50,PQ Dr C Lachmann November 201 9 Monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2019-12-04,DR R SPENCER,3597900,777.00,PQ Dr R Spencer November 201 9 Monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2019-12-04,DR VIVIENNE JAYNE POSKITT,3597902,943.50,PQ Dr V Poskitt November 201 9 Monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2019-12-11,FACULTATIEVE TECHNOLOGIES LTD,3596815,1628.18,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2019-12-11,FACULTATIEVE TECHNOLOGIES LTD,3597887,2041.56,CARBON REAGENT FACTIVATE 20
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Other Premises Related Costs,2019-12-23,INGENIOUS MEDIA SOLUTIONS LTD,3599547,275.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hire of Equipment,2019-12-16,PMC HIRE & SALES CENTRE,3598500,50.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2019-12-18,TELESHORE UK LTD,3598873,870.00,Stonefall Cemetery
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Miscellaneous Expenditure,2019-12-23,VIVEDIA LTD T/A OBITUS,3599402,475.00,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2019-12-30,BULLOUGHS CLEANING SERVICES LTD,3597915,347.10,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2019-12-30,BULLOUGHS CLEANING SERVICES LTD,3597916,694.20,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2019-12-30,BULLOUGHS CLEANING SERVICES LTD,3597917,867.75,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2019-12-30,BULLOUGHS CLEANING SERVICES LTD,3598540,600.00,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-23,CORDANT PEOPLE LIMITED,3599396,520.14,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-30,CORDANT PEOPLE LIMITED,3599745,324.24,Temporary Staff
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2019-12-23,NORTHGATE VEHICLE HIRE LTD,3597805,229.88,IHMT goods
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2019-12-23,NORTHGATE VEHICLE HIRE LTD,3597807,229.88,IHMT goods
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2019-12-23,NORTHGATE VEHICLE HIRE LTD,3597809,229.88,IHMT goods
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2019-12-23,NORTHGATE VEHICLE HIRE LTD,3597814,211.96,NU67VFA
