Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2018-05-09,ALLSTAR BUSINESS SOLUTIONS LTD,4697750,50.42,AS60046921
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2018-05-23,ALLSTAR BUSINESS SOLUTIONS LTD,4698858,33.34,AS60046921
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2018-05-16,BELL GROUP,4697041,4790.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2018-05-16,BERENDSEN UK LTD,4697673,331.65,HARROGATE BC CEMETERY
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2018-05-02,BROOK STREET (UK) LTD,4697308,612.75,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2018-05-09,C PRESTON MASONRY,4697326,320.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2018-05-09,C PRESTON MASONRY,4697326,300.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2018-05-09,C PRESTON MASONRY,4697326,300.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2018-05-09,C PRESTON MASONRY,4697325,4250.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2018-05-09,C PRESTON MASONRY,4697325,3420.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2018-05-09,C PRESTON MASONRY,4697325,3420.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2018-05-02,DR CHRISTIAN LACHMANN,4697682,703.00,PQ  DrC Lachmann April 2018 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2018-05-02,DR R SPENCER,4697691,555.00,PQ  Dr R Spencer April 201 8 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2018-05-02,DR VIVIENNE JAYNE POSKITT,4697684,1480.00,PQ  Dr V Poskitt April 201 8 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2018-05-24,FACULTATIEVE TECHNOLOGIES LTD,4697688,1689.96,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2018-05-16,FALON NAMEPLATES LTD,4697375,724.85,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2018-05-16,FALON NAMEPLATES LTD,4697375,18.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2018-05-30,MEND A HOSE HYDRAULICS LTD,4698897,386.40,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Burial/Mortuary Fees,2018-05-14,NEIL & SONYA MILSTED,4698315,1650.00,
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2018-05-02,RIX PETROLEUM (HULL) LIMITED,4696763,545.05,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2018-05-16,TELESHORE UK LTD,4697348,12488.20,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2018-05-23,TURNSIDE MARKETING LIMITED,4698974,795.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,2018-05-02,WETHERBY SKIP HIRE SERVICES,4697105,200.00,
