Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,TransNo,Net Amount,Narrative,,,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,29/07/2015,A A FOSTER,4633860,615.00,Grass cutting,,,
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,27/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,16.67,Jun Fuel,,,
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,13/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4632546,104.67,Fuel June 15,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Software Purchases Wiring etc,01/07/2015,CLEAR SKIES SOFTWARE LTD,4633384,"12,450.00",,,,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Signs,01/07/2015,COLTON SIGNS,4632189,168.00,,,,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Signs,01/07/2015,COLTON SIGNS,4632189,38.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,01/07/2015,COLTON SIGNS,4632189,204.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,06/07/2015,DR K M COATS,4633587,943.50,June 2015 payment Medical Referee,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,06/07/2015,DR R SPENCER,4633589,832.50,Dr R Spencer June 2015 monthly payment,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,06/07/2015,DR VIVIENNE JAYNE POSKITT,4633588,518.00,Dr V Poskitt June 2015 monthly payment,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,15/07/2015,FALON NAMEPLATES LTD,4632939,258.45,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,15/07/2015,FALON NAMEPLATES LTD,4632939,17.50,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,27/07/2015,FALON NAMEPLATES LTD,4629823,689.20,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,27/07/2015,FALON NAMEPLATES LTD,4629823,17.50,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,29/07/2015,TELESHORE UK LTD,4635003,250.00,1500 BURGANDY PLASTIC CARRIER BAGS,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,01/07/2015,TELESHORE UK LTD,4631943,275.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Burial/Mortuary Fees,08/07/2015,W BOWERS,4632445,"1,616.37",,,,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,172.71,Valley Gardens Depot,,,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,01/07/2015,PROFESSIONAL PAPER SUPPLIES LTD,4631910,"1,037.85",,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,27/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,-58.74,Jun Fuel,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,27/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,-51.27,Jun Fuel,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,27/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,58.74,Jun Fuel,,,
