Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code ,Payment date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Arboriculture,Fuel/Oil,06/09/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4681655,20.52,AS60046921
Harrogate Borough Council,Premises,R,Community,Arboriculture,Payments to Ext Contractors,06/09/2017,LANDMARK TRADING (STAMFORD) LTD,4681185,270.3,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,13/09/2017,BERENDSEN UK LTD,4682393,240.68,HARROGATE BC CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,13/09/2017,BERENDSEN UK LTD,4682396,773.08,HARROGATE BC COMMUNITY SERVICES
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,06/09/2017,BROOK STREET (UK) LTD,4682339,470.4,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,27/09/2017,BROOK STREET (UK) LTD,4683581,605.62,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,18/09/2017,CHIPPINDALE PLANT LTD,4683079,"2,100.00",
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,04/09/2017,DR CHRISTIAN LACHMANN,4682153,370,Dr C Lachmann August 2017 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,04/09/2017,DR R SPENCER,4682156,740,Dr R Spencer August 2017 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,04/09/2017,DR VIVIENNE JAYNE POSKITT,4682154,"1,091.50",Dr V Poskitt August 201 7 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,06/09/2017,FACULTATIEVE TECHNOLOGIES LTD,4681404,"2,011.74",
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,20/09/2017,FACULTATIEVE TECHNOLOGIES LTD,4681927,557.25,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,20/09/2017,FALON NAMEPLATES LTD,4681941,506.5,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Reactive Repairs & Maint - Bldgs,13/09/2017,HIGHWAY ROAD SERVICES,4681667,"2,000.00",
