Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,10/05/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4674538,26.88,AS60046921
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,24/05/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4675391,92.26,AS60046921
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,03/05/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4674093,16.67,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,03/05/2017,BERENDSEN UK LTD,4673980,240.68,HARROGATE BC CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,17/05/2017,BERENDSEN UK LTD,4674299,300.85,HARROGATE BC CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,10/05/2017,DR CHRISTIAN LACHMANN,4674756,573.50,April 2017 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,10/05/2017,DR R SPENCER,4674755,721.50,April 2017 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,10/05/2017,DR VIVIENNE JAYNE POSKITT,4674754,980.50,April 2017 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,10/05/2017,FACULTATIEVE TECHNOLOGIES LTD,4674050,"1,614.96",
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,10/05/2017,FACULTATIEVE TECHNOLOGIES LTD,4674050,75.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,08/05/2017,MEMSAFE LTD,4674668,"5,015.81",
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Burial/Mortuary Fees,08/05/2017,NEIL & SONYA MILSTED,4674476,"1,550.00",
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Grounds Maintenance Grants,08/05/2017,ST CUTHBERTS CHURCH,4674555,352.76,Cemetery maintenance grant 2016  17
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,03/05/2017,TURNSIDE MARKETING LIMITED,4673984,695.00,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,31/05/2017,CORDANT PEOPLE LIMITED,4675804,304.75,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,10/05/2017,PROFESSIONAL PAPER SUPPLIES LTD,4673598,629.90,Claro Rd
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,03/05/2017,EDEN FARM LTD,4673171,333.86,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,10/05/2017,EDEN FARM LTD,4673658,497.84,Valley Gardens Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,10/05/2017,EDEN FARM LTD,4673646,538.24,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,24/05/2017,EDEN FARM LTD,4674326,541.88,Valley Gardens Games Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,17/05/2017,EDEN FARM LTD,4673953,564.64,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,03/05/2017,EDEN FARM LTD,4673860,592.82,Valley Gardens Games Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,03/05/2017,EDEN FARM LTD,4673170,805.30,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,24/05/2017,KILLGERM CHEMICALS LTD,4674014,237.44,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,31/05/2017,NORTH YORKSHIRE COUNTY COUNCIL,4675203,"39,114.19",
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,10/05/2017,P P SNACK FOODS LTD,4673986,261.21,THE VALLEY GDN GAMES PAVILLION
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,10/05/2017,P P SNACK FOODS LTD,4673986,-22.36,THE VALLEY GDN GAMES PAVILLION
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,10/05/2017,P P SNACK FOODS LTD,4673986,22.36,THE VALLEY GDN GAMES PAVILLION
Harrogate Borough Council,Premises,R,Community,Business Development,Cleaning & Hygiene Services,24/05/2017,PAUL WHITAKER,4675480,704.00,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,03/05/2017,PELICAN ROUGE COFFEE SOLUTIONS LTD,4674132,237.58,CLARO ROAD DEPOT
