Payment Date,Amount,Benificiary Name,Organisational Unit
2015-09-28,54.58,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2015-09-09,119.31,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2015-09-02,1202.50,DR K M COATS,Community
2015-09-02,444.00,DR R SPENCER,Community
2015-09-02,610.50,DR VIVIENNE JAYNE POSKITT,Community
2015-09-16,250.00,REDACTED - PERSONAL DATA,Community
2015-09-09,470.00,STEPHENSONS MEMORIAL WORKS,Community
2015-09-07,1096.37,W BOWERS,Community
2015-09-16,1452.37,W BOWERS,Community
2015-09-02,782.25,PROFESSIONAL PAPER SUPPLIES LTD,Community
2015-09-02,1199.80,PROFESSIONAL PAPER SUPPLIES LTD,Community
2015-09-30,497.44,ACORN LIGHTING SERVICES,Community
2015-09-02,8540.00,ACORN LIGHTING SERVICES,Community
2015-09-28,56.15,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2015-09-28,50.91,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2015-09-28,56.15,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2015-09-28,50.91,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2015-09-09,60.01,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2015-09-09,51.29,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2015-09-09,60.01,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2015-09-09,51.29,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2015-09-16,45.00,BEMROSE BOOTH PARAGON LTD,Community
2015-09-09,588.00,BOB COWELL,Community
2015-09-21,1060.39,DESIGNA UK LTD,Community
2015-09-02,334.35,KELTIC LTD,Community
2015-09-30,356.15,KELTIC LTD,Community
2015-09-16,274.72,NORTHGATE VEHICLE HIRE LTD,Community
2015-09-16,274.72,NORTHGATE VEHICLE HIRE LTD,Community
2015-09-30,19.00,NORTHGATE VEHICLE HIRE LTD,Community
2015-09-30,19.00,NORTHGATE VEHICLE HIRE LTD,Community
2015-09-30,695.15,NPOWER LTD,Community
2015-09-30,688.72,NPOWER LTD,Community
2015-09-30,665.05,NPOWER LTD,Community
2015-09-30,590.08,NPOWER LTD,Community
2015-09-30,590.08,NPOWER LTD,Community
2015-09-30,665.05,NPOWER LTD,Community
2015-09-30,695.15,NPOWER LTD,Community
2015-09-30,36.80,NPOWER LTD,Community
2015-09-30,36.44,NPOWER LTD,Community
2015-09-30,35.18,NPOWER LTD,Community
2015-09-30,31.43,NPOWER LTD,Community
2015-09-30,31.43,NPOWER LTD,Community
2015-09-30,35.18,NPOWER LTD,Community
2015-09-30,36.44,NPOWER LTD,Community
2015-09-30,688.72,NPOWER LTD,Community
2015-09-30,36.80,NPOWER LTD,Community
2015-09-21,4250.00,ODEON CINEMAS LTD,Community
2015-09-16,12500.00,PARK SQUARE PROPERTY MANAGEMENT LTD,Community
2015-09-16,63.91,PARKEON LTD,Community
2015-09-16,35.00,PARKEON LTD,Community
2015-09-16,292.46,PARKEON LTD,Community
2015-09-14,220.00,ALLIANCE ELECTRONICS LTD,Community
2015-09-14,9.80,ALLIANCE ELECTRONICS LTD,Community
2015-09-30,456.14,ATS EUROMASTER LTD,Community
2015-09-30,683.38,ATS EUROMASTER LTD,Community
