Payment Date,Amount,Benificiary Name,Organisational Unit
2018-05-09,50.42,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2018-05-23,33.34,ALLSTAR BUSINESS SOLUTIONS LTD,Community
2018-05-16,4790.00,BELL GROUP,Community
2018-05-16,331.65,BERENDSEN UK LTD,Community
2018-05-02,612.75,BROOK STREET (UK) LTD,Community
2018-05-09,320.00,C PRESTON MASONRY,Community
2018-05-09,300.00,C PRESTON MASONRY,Community
2018-05-09,300.00,C PRESTON MASONRY,Community
2018-05-09,4250.00,C PRESTON MASONRY,Community
2018-05-09,3420.00,C PRESTON MASONRY,Community
2018-05-09,3420.00,C PRESTON MASONRY,Community
2018-05-02,703.00,DR CHRISTIAN LACHMANN,Community
2018-05-02,555.00,DR R SPENCER,Community
2018-05-02,1480.00,DR VIVIENNE JAYNE POSKITT,Community
2018-05-24,1689.96,FACULTATIEVE TECHNOLOGIES LTD,Community
2018-05-16,724.85,FALON NAMEPLATES LTD,Community
2018-05-16,18.00,FALON NAMEPLATES LTD,Community
2018-05-30,386.40,MEND A HOSE HYDRAULICS LTD,Community
2018-05-14,1650.00,NEIL & SONYA MILSTED,Community
2018-05-02,545.05,RIX PETROLEUM (HULL) LIMITED,Community
2018-05-16,12488.20,TELESHORE UK LTD,Community
2018-05-23,795.00,TURNSIDE MARKETING LIMITED,Community
2018-05-02,200.00,WETHERBY SKIP HIRE SERVICES,Community
2018-05-30,309.40,BULLOUGHS CLEANING SERVICES LTD,Community
2018-05-30,653.57,BULLOUGHS CLEANING SERVICES LTD,Community
2018-05-30,790.97,BULLOUGHS CLEANING SERVICES LTD,Community
2018-05-23,212.35,CORDANT PEOPLE LIMITED,Community
2018-05-23,222.60,NORTHGATE VEHICLE HIRE LTD,Community
2018-05-23,222.60,NORTHGATE VEHICLE HIRE LTD,Community
2018-05-23,236.10,NORTHGATE VEHICLE HIRE LTD,Community
2018-05-23,236.10,NORTHGATE VEHICLE HIRE LTD,Community
2018-05-16,268.10,PROFESSIONAL PAPER SUPPLIES LTD,Community
2018-05-16,330.78,EDEN FARM LTD,Community
2018-05-09,331.50,EDEN FARM LTD,Community
2018-05-30,337.13,EDEN FARM LTD,Community
2018-05-02,356.92,EDEN FARM LTD,Community
2018-05-23,370.73,EDEN FARM LTD,Community
2018-05-09,523.06,EDEN FARM LTD,Community
2018-05-23,795.20,EDEN FARM LTD,Community
2018-05-02,499.00,HIRING WIZARD LTD,Community
2018-05-02,456.00,PAUL WHITAKER,Community
2018-05-30,456.00,PAUL WHITAKER,Community
2018-05-09,1455.38,SELECTA UK LIMITED,Community
2018-05-09,1333.00,SELECTA UK LIMITED,Community
2018-05-09,1333.00,SELECTA UK LIMITED,Community
2018-05-09,8015.04,STRAIGHT MANUFACTURING LTD,Community
2018-05-23,603.23,TRAVAIL EMPLOYMENT GROUP LTD,Community
2018-05-30,718.13,TRAVAIL EMPLOYMENT GROUP LTD,Community
2018-05-30,2292.54,UK CONTAINER MAINTENANCE LTD,Community
