Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2016-12-12,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4664729,33.75,Nov Fuel
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2016-12-28,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4666448,69.67,Premium Diesel
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2016-12-28,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4666825,86.11,DEC FUEL
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2016-12-14,204247,BERENDSEN UK LTD,4665541,224.13,HARROGATE BC CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2016-12-07,225136,DR CHRISTIAN LACHMANN,4666166,573.50,Dr C Lachmann November 2016 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2016-12-07,210807,DR R SPENCER,4666168,888.00,Dr R Spencer November 2016 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2016-12-07,223395,DR VIVIENNE JAYNE POSKITT,4666165,1295.00,Dr V Poskitt November 2016 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2016-12-05,204645,FACULTATIEVE TECHNOLOGIES LTD,4665780,1983.33,STONEFALL CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2016-12-07,201423,FALON NAMEPLATES LTD,4664323,390.20,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2016-12-28,201423,FALON NAMEPLATES LTD,4666063,390.20,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2016-12-28,201804,HARROGATE TIMBER LTD,4665817,490.00,
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Staff Advertising,2016-12-14,201837,HEMMING GROUP LTD,4665671,450.00,
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Staff Advertising,2016-12-07,201951,ICCM PAYMENTS,4664272,960.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2016-12-14,204114,TELESHORE UK LTD,4665046,209.00,Brighton Moulded Casket 1 15x825525 Oak
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2016-12-14,201136,VIEWTOUCH LIMITED,4665281,218.59,January  March BOR Vols filmed November 2016
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,2016-12-05,208373,WETHERBY SKIP HIRE SERVICES,4664630,225.00,VARIOUS
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,2016-12-21,208373,WETHERBY SKIP HIRE SERVICES,4664595,225.00,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2016-12-14,203378,PROFESSIONAL PAPER SUPPLIES LTD,4665324,897.80,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,2016-12-28,204635,BOB COWELL,4666641,310.00,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2016-12-07,203024,NORTH YORKSHIRE COUNTY COUNCIL,4666073,43569.14,COMMERCIAL WASTE
