Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name(T),Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,27/07/2016,ALLSTAR BUSINESS SOLUTIONS LTD,4656465,58.33,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,27/07/2016,ALLSTAR BUSINESS SOLUTIONS LTD,4656465,51.36,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,27/07/2016,ALLSTAR BUSINESS SOLUTIONS LTD,4656465,-58.33,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,27/07/2016,ALLSTAR BUSINESS SOLUTIONS LTD,4656465,-51.36,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,13/07/2016,ALLSTAR BUSINESS SOLUTIONS LTD,4655315,-51.42,June Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,13/07/2016,ALLSTAR BUSINESS SOLUTIONS LTD,4655315,-47.69,June Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,13/07/2016,ALLSTAR BUSINESS SOLUTIONS LTD,4655315,47.69,June Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,13/07/2016,ALLSTAR BUSINESS SOLUTIONS LTD,4655315,51.42,June Fuel
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,13/07/2016,BEMROSE BOOTH PARAGON LTD,4655057,"-2,223.00",credit trans 4655051
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,13/07/2016,BEMROSE BOOTH PARAGON LTD,4655200,"-1,185.60",credit trans 4654696
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,20/07/2016,BEMROSE BOOTH PARAGON LTD,4655975,566.4,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,20/07/2016,BEMROSE BOOTH PARAGON LTD,4655975,22.5,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,20/07/2016,BEMROSE BOOTH PARAGON LTD,4655975,566.4,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,20/07/2016,BEMROSE BOOTH PARAGON LTD,4655975,22.5,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,13/07/2016,BEMROSE BOOTH PARAGON LTD,4654696,45,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,13/07/2016,BEMROSE BOOTH PARAGON LTD,4654696,"1,185.60",
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,13/07/2016,BEMROSE BOOTH PARAGON LTD,4655051,"2,268.00",
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,13/07/2016,DESIGNA UK LTD,4654907,209,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,06/07/2016,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS,4654844,210,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,06/07/2016,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS,4654844,15,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,06/07/2016,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS,4654844,270,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,13/07/2016,KELTIC LTD,4655793,365.65,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,06/07/2016,KELTIC LTD,4655628,372.25,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,04/07/2016,NIDDERDALE FLOORING LTD,4656291,"3,211.79",RETURNED BACS
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,13/07/2016,NORTHGATE VEHICLE HIRE LTD,4656953,287.8,NA13SOE
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,27/07/2016,NORTHGATE VEHICLE HIRE LTD,4656977,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,27/07/2016,NORTHGATE VEHICLE HIRE LTD,4656977,-19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,04/07/2016,NORTHGATE VEHICLE HIRE LTD,4655800,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,04/07/2016,NORTHGATE VEHICLE HIRE LTD,4655800,-19,Vehicle Monitoring
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,20/07/2016,PARKEON LTD,4656257,686,
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,13/07/2016,WHARFEDALE FINANCE CO.,4656354,850,Car Park Station Road Pannal
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,210.86,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,203.3,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,233.52,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,203.3,
